MI Holder,Common Stock Equivalent Held (actual),Market Value ($M),DT Holder,Current,Market Value
SoftBank Group Corp.,673758371,121276.5068,"T. Rowe Price Associates, Inc. (Investment Management)",65655896,11125391577
Altaba Inc.,148712628,26768.27304,BlackRock Fund Advisors,50353653,8532426501
Yun Ma,103563564,18641.44152,Baillie Gifford & Co.,48050056,8142081989
BlackRock Inc.,78533960,14136.1128,"The Vanguard Group, Inc.",42989163,7284513670
T. Rowe Price Group Inc.,65655896,11818.06128,"SSgA Funds Management, Inc.",30749408,5210487186
APN Ltd,50000000,9000,Capital Research & Management Co. (Global Investors),30279619,5130881440
Capital Research & Mgmt Co.,49290926,8872.36668,"Invesco Advisers, Inc.",26441860,4480573177
Baillie Gifford & Co,48050056,8649.01008,Temasek Holdings Pte Ltd. (Investment Management),26075175,4418438404
Vanguard Group Inc.,43961866,7913.13588,HSBC Global Asset Management (UK) Ltd.,25821633,4375475712
Chung Tsai,35220517,6339.69306,Fidelity Management & Research Co.,21290992,3607758594
Invesco Ltd.,32002529,5760.45522,Capital Research & Management Co. (World Investors),18436187,3124011887
State Street Global Advisors Inc.,30749408,5534.89344,PRIMECAP Management Co.,15211650,2577614093
UBS Asset Management AG,28032246,5045.80428,Sands Capital Management LLC,14272259,2418434288
Temasek Holdings (Pte.) Ltd.,26075175,4693.5315,Norges Bank Investment Management,13986336,1917107076
HSBC Global Asset Management (UK) Ltd.,25821633,4647.89394,Jennison Associates LLC,13785493,2335951789
FMR LLC,23496818,4229.42724,Wellington Management Co. LLP,13378670,2267015632
JP Morgan Asset Management,18632127,3353.78286,"Loomis, Sayles & Co. LP",12907801,2187226879
FIL Ltd.,16159662,2908.73916,UBS AG (Investment Management),11870664,2011484015
PRIMECAP Management Co.,15211650,2738.097,Fisher Asset Management LLC,11555309,1958047110
Sands Capital Management LLC,14272259,2569.00662,Legal & General Investment Management Ltd.,9998959,1694323603
Jennison Associates LLC,13785493,2481.38874,BlackRock Investment Management (UK) Ltd.,9656643,1636318156
Wellington Management Group LLP,13378670,2408.1606,FIL Investment Management (Hong Kong) Ltd.,9362094,1586406828
Loomis Sayles & Co. L.P.,12907801,2323.40418,"Northern Trust Investments, Inc.(Investment Management)",9317821,1578904768
Norges Bank Investment Management,12650620,2277.1116,BlackRock Advisors (UK) Ltd.,8871171,1503219926
Phatra Asset Management Co. Ltd.,11648921,2096.80578,"JPMorgan Investment Management, Inc.",8615335,1459868516
Jack Ma Philanthropic Foundation,11648921,2096.80578,Goldman Sachs & Co. LLC (Private Banking),8449848,1431826744
Fisher Asset Management LLC,11555309,2079.95562,Canada Pension Plan Investment Board,8261279,1399873727
Morgan Stanley,10736082,1932.49476,Schroder Investment Management Ltd.,7598227,1287519565
Legal & General Investment Management Ltd.,9998019,1799.64342,T. Rowe Price International Ltd.,7579020,1285648177
Northern Trust Global Investments,9317821,1677.20778,"Schroder Investment Management North America, Inc.",6973077,1181587898
Goldman Sachs Group Inc.,8712419,1568.23542,D. E. Shaw & Co. LP,6194320,1049627524
Canada Pension Plan Investment Board,8261279,1487.03022,William Blair Investment Management LLC,6173575,1046112284
Schroder Investment Management Ltd.,7816622,1406.99196,JPMorgan Asset Management (UK) Ltd.,6014005,1019073147
Franklin Resources Inc.,7239849,1303.17282,Lone Pine Capital LLC,5875662,995630926
Columbia Management Investment Advisers LLC,7222348,1300.02264,"Vontobel Asset Management, Inc.",5782211,979795654
