Company Name,Shares Equivalent Held(actual),Company Name (DT),Current Position
Microsoft Corporation,613005516,Microsoft Corporation,602101376
Apple Inc.,335113666,Apple Inc.,328525375
"Amazon.com, Inc.",31312832,"Amazon.com, Inc.",30711692
"Facebook, Inc.",180682575,"Facebook, Inc. Class A",177208919
JPMorgan Chase & Co.,252550479,Johnson & Johnson,221426477
Johnson & Johnson,225158988,Berkshire Hathaway Inc. Class B,137397896
Berkshire Hathaway Inc.,139274396,JPMorgan Chase & Co.,248032235
Alphabet Inc.,22708312,Exxon Mobil Corporation,341898035
Alphabet Inc.,22536432,Visa Inc. Class A,144414403
The Procter & Gamble Company,218459217,Alphabet Inc. Class C,22259843
Visa Inc.,146976797,Alphabet Inc. Class A,22103897
Exxon Mobil Corporation,347643903,Procter & Gamble Company,214946788
AT&T Inc.,563398685,Chevron Corporation,154938470
Verizon Communications Inc.,324299254,Pfizer Inc.,437368521
Home Depot Inc.,83324407,"Cisco Systems, Inc.",344198815
Bank of America Corporation,655150889,Bank of America Corp,642813794
Intel Corporation,363624758,AT&T Inc.,553229531
Mastercard Incorporated,71012814,Mastercard Incorporated Class A,69690550
Chevron Corporation,157513617,Verizon Communications Inc.,318511032
Comcast Corp.,391492214,Walt Disney Company,128654701
Walt Disney Company,131103772,"Merck & Co., Inc.",205724139
"Cisco Systems, Inc.",350465831,Intel Corporation,357410066
"Merck & Co., Inc.",209505775,"Home Depot, Inc.",81732594
Coca-Cola Company,308293644,UnitedHealth Group Incorporated,69144943
Pfizer Inc.,445149343,Comcast Corporation Class A,385063868
UnitedHealth Group Incorporated,70535500,Coca-Cola Company,302550308
Wells Fargo & Company,324144678,Wells Fargo & Company,318510278
"PepsiCo, Inc.",114097547,"PepsiCo, Inc.",112030430
Boeing Company,40214155,Boeing Company,39482204
Walmart Inc.,130107288,Walmart Inc.,128165532
McDonald's Corporation,66926245,McDonald's Corporation,65837732
Citigroup Inc.,183611098,Citigroup Inc.,180374044
Abbott Laboratories,148332948,Abbott Laboratories,145827513
American Tower Corporation (REIT),57494934,"Netflix, Inc.",32060295
Medtronic plc,112334285,American Tower Corporation,56758693
Texas Instruments Incorporated,86131319,Adobe Inc.,37347469
Costco Wholesale Corporation,37343168,Medtronic Plc,110430909
Accenture plc,55373798,Oracle Corporation,176732684
Adobe Inc.,38052601,Accenture Plc Class A,54429952
International Business Machines Corporation,71871784,PayPal Holdings Inc,87439339
Oracle Corporation,180333620,Union Pacific Corporation,58729907
Union Pacific Corporation,59824760,International Business Machines Corporation,70586121
Nestlé S.A.,88611684,Philip Morris International Inc.,123881944
Amgen Inc.,48972360,Texas Instruments Incorporated,84755255
"NextEra Energy, Inc.",43282619,Costco Wholesale Corporation,36701385
Broadcom Inc.,31797832,Tencent Holdings Ltd.,201936218
"Netflix, Inc.",32688805,Honeywell International Inc.,53060190
Philip Morris International Inc.,125492442,Nestle S.A.,84407895
United Technologies Corporation,68834966,Broadcom Inc.,31222085
"PayPal Holdings, Inc.",89109876,Amgen Inc.,48079654
Honeywell International Inc.,54098206,Thermo Fisher Scientific Inc.,30095503
"NIKE, Inc.",105374269,Linde plc,44010465
Tencent Holdings Limited,203700893,United Technologies Corporation,67710169
"salesforce.com, inc.",58771856,"salesforce.com, inc.",57664674
Thermo Fisher Scientific Inc.,30670985,"NextEra Energy, Inc.",42505525
NVIDIA Corporation,45990868,"NIKE, Inc. Class B",103526465
AbbVie Inc.,121523538,"AbbVie, Inc.",119373080
Linde plc,44772473,3M Company,48867987
3M Company,49688700,Lockheed Martin Corporation,21298986
Lockheed Martin Corporation,21642359,Eli Lilly and Company,69855437
Starbucks Corporation,90534329,QUALCOMM Incorporated,98129050
QUALCOMM Incorporated,99900654,Starbucks Corporation,88719725
Eli Lilly and Company,71134378,NVIDIA Corporation,45131802
Alibaba Group Holding Ltd.,43961866,Alibaba Group Holding Ltd. Sponsored ADR,42989163
Lowe's Cos. Inc.,66234867,Crown Castle International Corp,53350721
Crown Castle International Corp. (REIT),54057163,Altria Group Inc,145081644
"Gilead Sciences, Inc.",102062449,"Gilead Sciences, Inc.",100269650
"United Parcel Service, Inc.",55758854,Danaher Corporation,47371569
"Prologis, Inc.",82772891,Caterpillar Inc.,49408576
Booking Holdings Inc.,3314056,General Electric Company,636094463
Danaher Corporation,48262218,"Lowe's Companies, Inc.",65073803
Caterpillar Inc.,50200890,"Prologis, Inc.",81178766
Bristol-Myers Squibb Company,134058636,"Simon Property Group, Inc.",40101846
"Altria Group, Inc.",147103311,"Automatic Data Processing, Inc.",37568809
CVS Health Corporation,102367899,Booking Holdings Inc.,3249802
U.S. Bancorp,115821380,American Express Company,49123351
"Simon Property Group, Inc.",40901816,Bristol-Myers Squibb Company,131732900
"Automatic Data Processing, Inc.",38214507,U.S. Bancorp,113703466
General Electric Company,648159140,Novartis AG,63423906
"Becton, Dickinson and Company",23018011,"Mondelez International, Inc. Class A",108086379
"Mondelez International, Inc.",110134622,"Becton, Dickinson and Company",22633168
Chubb Limited,37548387,"Taiwan Semiconductor Manufacturing Co., Ltd.",677865896
American Express Company,50113980,"United Parcel Service, Inc. Class B",54742828
Novartis AG,65983998,CVS Health Corporation,100574328
