,MI name,MI Pos,MI Market Val,DT Name,DT Pos,DT Market Val,Pos Diff (Percentage),Market Val Diff (Percent),MI Not Matched,DT Not Matched
0,BlackRock Inc.,78533960.0,14136.1128,BlackRock Investment Management LLC,1658748,281074849.0,191.73,192.2,SoftBank Group Corp.,Susquehanna International Group Ltd.
1,T. Rowe Price Group Inc.,65655896.0,11818.06128,"T. Rowe Price Associates, Inc. (Investment Management)",65655896,11125391577.0,0,6.04,Altaba Inc.,
2,Capital Research & Mgmt Co.,49290926.0,8872.36668,Capital Research & Management Co.,1531,252248.0,199.99,199.99,Yun Ma,
3,Baillie Gifford & Co,48050056.0,8649.01008,Baillie Gifford & Co.,48050056,8142081989.0,0,6.04,APN Ltd,
4,Vanguard Group Inc.,43961866.0,7913.13588,"The Vanguard Group, Inc.",42989163,7284513670.0,2.24,8.27,Chung Tsai,
5,Invesco Ltd.,32002529.0,5760.455220000001,Invesco Asset Management Ltd.,2006035,339922631.0,176.41,177.71,Phatra Asset Management Co. Ltd.,
6,State Street Global Advisors Inc.,30749408.0,5534.89344,State Street Global Advisors Ltd.,889765,152950422.0,188.75,189.24,Jack Ma Philanthropic Foundation,
7,UBS Asset Management AG,28032246.0,5045.804279999999,UBS AG (Investment Management),11870664,2011484015.0,81.0,85.99,The Joe And Clara Tsai Foundation,
8,Temasek Holdings (Pte.) Ltd.,26075175.0,4693.5315,Temasek Holdings Pte Ltd. (Investment Management),26075175,4418438404.0,0,6.04,Allianz Asset Management GmbH,
9,HSBC Global Asset Management (UK) Ltd.,25821633.0,4647.89394,HSBC Global Asset Management (UK) Ltd.,25821633,4375475712.0,0,6.04,Janus Henderson Group PLC,
10,FMR LLC,23496818.0,4229.42724,"FMR Co., Inc.",7913,1340858.0,199.87,199.87,Genesis Asset Managers LLP,
11,JP Morgan Asset Management,18632127.0,3353.7828600000003,"JPMorgan Investment Management, Inc.",8615335,1459868516.0,73.52,78.69,Stichting Pensioenfonds ABP,
12,FIL Ltd.,16159662.0,2908.73916,FIL Investment Management (Hong Kong) Ltd.,9362094,1586406828.0,53.27,58.83,Ivy Investment Management Co.,
13,PRIMECAP Management Co.,15211650.0,2738.097,PRIMECAP Management Co.,15211650,2577614093.0,0,6.04,BNP Paribas Securities Corp.,
14,Sands Capital Management LLC,14272259.0,2569.00662,Sands Capital Management LLC,14272259,2418434288.0,0,6.04,"Wellcome Trust, Investment Division",
15,Jennison Associates LLC,13785493.0,2481.38874,Jennison Associates LLC,13785493,2335951789.0,0,6.04,Bank of America Corp.,
16,Wellington Management Group LLP,13378670.0,2408.1606,Wellington Management Co. LLP,13378670,2267015632.0,0,6.04,Flossbach & Von Storch Vermoegensmanagement AG,
17,Loomis Sayles & Co. L.P.,12907801.0,2323.40418,"Loomis, Sayles & Co. LP",12907801,2187226879.0,0,6.04,Neuberger Berman BD LLC,
18,Norges Bank Investment Management,12650620.0,2277.1116,Norges Bank Investment Management,13986336,1917107076.0,-10.03,17.17,AIA Investment Management Pvt. Ltd.,
19,Fisher Asset Management LLC,11555309.0,2079.9556199999997,Fisher Asset Management LLC,11555309,1958047110.0,0,6.04,Deutsche Bank AG,
20,Morgan Stanley,10736082.0,1932.49476,Morgan Stanley & Co. LLC,4131900,700150455.0,88.84,93.62,Alecta pensionsförsäkring ömsesidigt,
21,Legal & General Investment Management Ltd.,9998019.0,1799.6434199999999,Legal & General Investment Management Ltd.,9998959,1694323603.0,-0.01,6.03,Sjunde AP-fonden,
