,MI name,MI Pos,MI Market Val,DT Name,DT Pos,DT Market Val,Pos Diff (Percentage),Market Val Diff (Percent),MI Not Matched,DT Not Matched
0,Vanguard Group Inc.,613005516.0,84913.52407999999,"The Vanguard Group, Inc.",602101376,80657500329.0,1.79,5.14,William Henry Gates III,The Capital Management Corp.
1,BlackRock Inc.,505715724.0,70051.74209,BlackRock Investment Management LLC,29942617,4011112973.0,177.64,178.34,Janus Henderson Group PLC,
2,Capital Research & Mgmt Co.,373214600.0,51697.686389999995,M&G Investment Management Ltd.,4786638,641218026.0,194.93,195.1,Allianz Asset Management GmbH,
3,State Street Global Advisors Inc.,313098610.0,43370.419460000005,State Street Global Advisors Ltd.,3435287,463180934.0,195.66,195.77,Ivy Investment Management Co.,
4,FMR LLC,237138127.0,32848.37335,"FMR Co., Inc.",61366,8220589.0,199.9,199.9,State Farm Mutual Automobile Insurance Co.,
5,T. Rowe Price Group Inc.,194055628.0,26880.58559,"T. Rowe Price Associates, Inc. (Investment Management)",194055628,25995691927.0,0,3.35,Alecta pensionsförsäkring ömsesidigt,
6,Geode Capital Management LLC,104568209.0,14484.78831,Geode Capital Management LLC,104568209,14007957278.0,0,3.35,Stichting Pensioenfonds ABP,
7,Northern Trust Global Investments,96567563.0,13376.53883,Northern Trust Global Investments Ltd.,1909051,257657659.0,192.25,192.44,Toronto-Dominion Bank,
8,UBS Asset Management AG,82417851.0,11416.52072,UBS AG (Investment Management),14200956,1902360066.0,141.21,142.87,GWL Investment Management Ltd.,
9,Wellington Management Group LLP,76661703.0,10619.1791,Wellington Management Co. LLP,76661703,10269601734.0,0,3.35,State of New Jersey Common Pension Fund,
10,BNY Asset Management,76214690.0,10557.25886,BNY Mellon Investment Adviser Inc.,7060281,945795243.0,166.09,167.11,Asset Management Inc.,
11,Norges Bank Investment Management,76093255.0,10540.43768,Norges Bank Investment Management,76093253,7728791708.0,0.0,30.78,New York Life Investment Management LLC,
12,JP Morgan Asset Management,75600585.0,10472.19303,"JPMorgan Investment Management, Inc.",59918673,8026705435.0,23.14,26.44,STRS Ohio,
13,Invesco Capital Management LLC,66333429.0,9188.506585,Invesco Capital Management LLC,66335561,8886311752.0,-0.0,3.34,North Carolina Department of State Treasurer,
14,TIAA,62418059.0,8646.149533,TIAA-CREF Investment Management LLC,42339501,5671799554.0,38.33,41.55,Polar Capital Holdings PLC,
15,Wells Fargo & Co.,46565211.0,6450.213028,Wells Fargo Clearing Services LLC,25902990,3469964540.0,57.02,60.08,ZKB Asset Management,
16,Legal & General Investment Management Ltd.,44101515.0,6108.941858,Legal & General Investment Management Ltd.,44141906,5913249728.0,-0.09,3.26,ING Groep NV,
17,AllianceBernstein LP,43808032.0,6068.288593,AllianceBernstein LP,43808032,5868523967.0,0,3.35,Norinchukin Zenkyoren Asset Management Co. Ltd.,
18,Columbia Management Investment Advisers LLC,41118091.0,5695.677965,Columbia Management Investment Advisers LLC,34724444,4651686518.0,16.86,20.18,SPP Fonder AB,
19,Morgan Stanley,40441677.0,5601.981097999999,Morgan Stanley Investment Management Ltd.,17235341,2308846280.0,80.47,83.26,Och-Ziff Capital Mgmt Grp,
20,Charles Schwab Investment Management Inc.,37639376.0,5213.806364,"Charles Schwab Investment Management, Inc.",34372428,4604530455.0,9.07,12.41,Canadian Imperial Bank of Commerce,
21,PRIMECAP Management Co.,35056893.0,4856.080818,PRIMECAP Management Co.,35056893,4696221386.0,0,3.35,Plymouth Rock Co. Inc.,
22,Massachusetts Financial Services Co.,32065765.0,4441.749768,Massachusetts Financial Services Co.,32065765,4295529879.0,0,3.35,Candriam Luxembourg S.C.A.,
23,Managed Account Advisors LLC,31769552.0,4400.718343,Managed Account Advisors LLC,31769552,4255849186.0,0,3.35,Flossbach & Von Storch Vermoegensmanagement AG,
24,Jennison Associates LLC,31504877.0,4364.055562,Jennison Associates LLC,31504877,4220393323.0,0,3.35,Oregon Public Employees Retirement Fund,
25,Dodge & Cox,31360290.0,4344.027371,Dodge & Cox,31360290,4201024448.0,0,3.35,Texas Education Agency,
26,Sumitomo Mitsui Trust Asset Management Co. Ltd.,28752030.0,3982.731196,"Sumitomo Mitsui Trust Asset Management Co., Ltd.",1032925,112049520.0,186.13,189.05,Zurich Insurance Group AG,
27,Invesco Ltd.,27926694.0,3868.4056530000003,Invesco Capital Management LLC,66335561,8886311752.0,-81.49,-78.68,BNPP Asset Management Holding,
28,Goldman Sachs Asset Management LP,26703288.0,3698.939454,Goldman Sachs Asset Management LP,26657518,3571041111.0,0.17,3.52,WisdomTree Asset Management Inc.,
29,Bank of America Corp.,26173038.0,3625.4892240000004,The Capital Management Corp.,0,0.0,200.0,200.0,Dai-ichi Life Holdings Inc.,
30,Magellan Asset Management Ltd.,24512213.0,3395.4317450000003,Magellan Asset Management Ltd.,24512213,3283656053.0,0,3.35,Keskinäinen työeläkevakuutusyhtiö Varma,
31,Franklin Resources Inc.,24435973.0,3384.8709799999997,Resource Management LLC,28309,3792274.0,199.54,199.55,Boston Pvt. Wealth LLC,
32,ClearBridge Investments LLC,24221351.0,3355.141541,ClearBridge Investments LLC,24221351,3244692180.0,0,3.35,Universal Investment GmbH,
33,Schweizerische Nationalbank,24023270.0,3327.70336,Schweizerische Nationalbank (Investment Portfolio),24023270,3218157249.0,0,3.35,Frontegra Asset Management Inc.,
34,Parametric Portfolio Associates LLC,23639325.0,3274.519299,Parametric Portfolio Associates LLC,23639325,3166723977.0,0,3.35,3G Capital Inc.,
35,Dimensional Fund Advisors LP,21814631.0,3021.762686,Dimensional Fund Advisors LP,21814631,2922287969.0,0,3.35,Fonds de Réserve pour les Retraites,
