FactSet Fund ID,Fund_name,AI_Targeting vs. Profile Page
04JCDQ-E,Stanlib Funds Ltd. - Global Balanced Fund,API REQUEST FAILED
04BF4W-E,Vanguard Wellington Fund,
04B9QJ-E,Franklin Income Fund,
04BCJ6-E,Jpmorgan Equity Income Fund,
04CJ3W-E,Dws Top Dividende,
04BNX6-E,American Funds Income Fund Of America,
04B8NM-E,Washington Mutual Investors Fund,
04BCQ0-E,Putnam Equity Income Fund,
04BF56-E,Vanguard Windsor Funds - Vanguard Windsor Ii Fund,
04CQ2D-E,Primecap Odyssey Stock Fund,
04BF55-E,Vanguard Windsor Funds - Vanguard Windsor Fund,
04BR6M-E,Fidelity Funds Sicav - America Fund,
04CDMH-E,Thornburg Investment Income Builder Fund,
04BQ1F-E,American Balanced Fund,
04G3H1-E,American Funds Global Balanced Fund,
04DLR3-E,Edgepoint Global Portfolio,
04D4MS-E,M&g Global Dividend Fund,
04CRHV-E,Parnassus Mid Cap Fund,
04BJ6T-E,Vanguard Selected Value Fund,
04B9GH-E,American Funds Growth Fund Of America,
04BFN6-E,Cref Growth Account,
04B9KG-E,Fidelity Contrafund,
04BJRP-E,Franklin Mutual Ser. Fds. - Quest Fund,
04BGYZ-E,T Rowe Price Mid Cap Growth Fund,
04BF29-E,Vanguard Dividend Growth Fund,
04CB9D-E,Nordea North America Fund,
04J75W-E,Ab Sicav I - Global Core Equity Portfolio,
04B9VD-E,Franklin Rising Dividends Fund,
04FCCV-E,Wells Fargo Large Cap Core Fund,
04B8K7-E,American Funds Fundamental Investors,
04BNZH-E,Columbia Variable Portfolio-disciplined Core Fund,
04BB6F-E,Harbor Capital Appreciation Fund,
04BHQ5-E,Hartford Mid Cap Fund,
04BCJC-E,Jpmorgan Large Cap Growth Fund,
04CN7N-E,Gmo Quality Fund,
04BCWS-E,Parnassus Core Equity Fund,
04BV64-E,Folksams Lo VÌ_rlden,
04BH32-E,Oppenheimer Main Street Fund,
04BTBQ-E,Uniglobal,
04G1RX-E,Blackrock Resources & Commodities Strategy Trust,
04G6ZK-E,Sentry Us Growth & Income Fund,
04CSKX-E,Lazard Us Equity Concentrated Portfolio,
04BGG6-E,Jnl/blackrock Large Cap Select Growth Fund,
04D5RC-E,Bny Mellon Global Fds. Plc - Long Term Global Equity Fund,
