FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
000TNX-E,"T. Rowe Price Associates, Inc. (Investment Management)",
06NPXD-E,Capital Research & Management Co. (World Investors),
060S25-E,"Berkshire Hathaway, Inc. (Investment Management)",
0D5G47-E,Capital Research & Management Co. (International Investors),
000PHW-E,Massachusetts Financial Services Co.,
000YS6-E,Wellington Management Co. LLP,
001NP4-E,PRIMECAP Management Co.,
000LH7-E,Harris Associates LP,
001MVX-E,Franklin Mutual Advisers LLC,Discrepancy: turnover 
002HTK-E,Henderson Global Investors Ltd.,
002HP5-E,Teachers Advisors LLC,
000CM9-E,"Barrow, Hanley, Mewhinney & Strauss LLC",
0B1W7T-E,Fiera Capital Corp. (Investment Management),
0024N0-E,Capital Research & Management Co.,
000JTR-E,First Pacific Advisors LP,
0011QK-E,"PPM America, Inc.",
05Z5C4-E,Standard Life Investments (USA) Ltd.,
061S4H-E,Generation Investment Management LLP,
002JWC-E,Winslow Capital Management LLC,
06SHF5-E,Harvest Fund Advisors LLC,Discrepancy: aum 
002JSD-E,Newton Investment Management Ltd.,
002HN1-E,RE Advisers Corp.,
002KM8-E,"Victory Capital Management, Inc.(Investment Management)",
001TCP-E,"NewSouth Capital Management, Inc.",
004GLH-E,SPF Beheer BV,
05XF2G-E,Flossbach von Storch AG,
002HHL-E,"Timucuan Asset Management, Inc.",
001ZY1-E,Frontier Capital Management Co. LLC,
002WCB-E,Santa Barbara Asset Management LLC,
001150-E,Manning & Napier Advisors LLC,
000BQ0-E,"Fred Alger Management, Inc.",
0605XC-E,Mondrian Investment Partners Ltd.,
00D17K-E,Salient Capital Advisors LLC,
001D77-E,Temasek Holdings Pte Ltd. (Investment Management),
000CZG-E,The Boston Company Asset Management LLC,
002HWS-E,Parnassus Investments,
064HJF-E,"Boston Partners Global Investors, Inc.",
05K75W-E,Findlay Park Partners LLP,
0CFF4J-E,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",
002H12-E,Sands Capital Management LLC,
006VY9-E,Champlain Investment Partners LLC,
05PZV5-E,Sustainable Growth Advisers LP,
09N7PK-E,Allianz Global Investors U.S. LLC,
00104F-E,"Thornburg Investment Management, Inc.",
001GM8-E,Shapiro Capital Management LLC,
0073CD-E,RR Advisors LLC,
05QBT3-E,"Nikko Asset Management Co., Ltd.",
09Q5CD-E,Columbia Management Investment Advisers LLC,
002C2Z-E,"American Century Investment Management, Inc.",
002XG1-E,Riverbridge Partners LLC,
001PKW-E,"Wasatch Advisors, Inc.",
001091-E,Cramer Rosenthal McGlynn LLC,
07WHGF-E,Independent Franchise Partners LLP,
05G2B9-E,Kames Capital Plc,
002HZX-E,Chilton Investment Co. LLC,
000KLZ-E,Fidelity Management & Research Co.,
0011M0-E,Dodge & Cox,
002HL1-E,"Invesco Advisers, Inc.",
001L2N-E,Artisan Partners LP,
005HGK-E,Cantillon Capital Management LLC,
002HB7-E,Hotchkis & Wiley Capital Management LLC,
002HTZ-E,Kayne Anderson Rudnick Investment Management LLC,
001M89-E,"Sound Shore Management, Inc.",
0DKF4G-E,Bill & Melinda Gates Foundation Trust (Investment Management),
0090MJ-E,Lyrical Asset Management LP,
05V7SP-E,Barclays Bank Plc (Private Banking),
002TRD-E,Viking Global Investors LP,
073S3G-E,Capital Research & Management Co. (Global Investors),
000WWX-E,State Farm Investment Management Corp.,
05F9M2-E,"Franklin Advisers, Inc.",
000Q6S-E,"JPMorgan Investment Management, Inc.",
002187-E,"Fiduciary Management, Inc.",
002HPC-E,TIAA-CREF Investment Management LLC,
001XC9-E,"Greenhaven Associates, Inc.",
05YQZJ-E,"Epoch Investment Partners, Inc.",
002F4J-E,Perkins Investment Management LLC,
0CQD0W-E,Montag & Caldwell LLC,
002HFZ-E,GW&K Investment Management LLC,
002T43-E,TimesSquare Capital Management LLC,
009ZVL-E,Meritage Group LP,
0037CW-E,Glenview Capital Management LLC,
05KFYG-E,Norges Bank Investment Management,
0CKQWQ-E,Aristotle Capital Management LLC,
05H6R0-E,Burgundy Asset Management Ltd.,
000C8Y-E,Ariel Investments LLC,
05K8XH-E,Hamlin Capital Management LLC,
0C88Z6-E,Clarkston Capital Partners LLC,
05LV4J-E,"Bares Capital Management, Inc.",
002JYR-E,The Haverford Trust Co.,
05HCR0-E,1832 Asset Management LP,
00D132-E,Madison Investment Advisors LLC,
07HKTT-E,Federated Global Investment Management Corp.,
078SQY-E,Sandhill Capital Partners LLC,
00346G-E,Golden Capital Management LLC,
06BJ1G-E,ClearBridge Investments LLC,
002DJT-E,Eagle Capital Management LLC,
05F9FS-E,AllianceBernstein LP,
089DR7-E,"BlackRock Financial Management, Inc.",
002HJB-E,BlackRock Advisors LLC,
05PCMH-E,Impax Asset Management Ltd.,
05L9XV-E,PGGM Vermogensbeheer BV,
001YF6-E,"Donald Smith & Co., Inc.",
00716H-E,Morningstar Investment Services LLC,
000N8F-E,Janus Capital Management LLC,
05FQ8V-E,Polaris Capital Management LLC,
0010BP-E,"Weitz Investment Management, Inc.",
00367N-E,Miller Value Partners LLC,
000F6K-E,"Omega Advisors, Inc.",
09Y6NM-E,Global Thematic Partners LLC,Discrepancy: turnover 
002GXF-E,Newfleet Asset Management LLC,
007BH7-E,Cushing Asset Management LP,
002TK0-E,MFP Investors LLC,
05KQS8-E,Artemis Investment Management LLP,
005DH0-E,Snow Capital Management LP,
002V15-E,"Bridgeway Capital Management, Inc.",
002WC7-E,"Penn Davis McFarland, Inc.",
0DYJ10-E,Liberty Mutual Insurance Co. (Investment Portfolio),
06KMJB-E,BlackRock Investment Management (UK) Ltd.,
05FGHP-E,Principal Global Investors LLC,
002H1F-E,WCM Investment Management LLC,
0090BK-E,Energy Income Partners LLC,
002J5L-E,Waddell & Reed Investment Management Co.,
06L8XD-E,BlackRock Investment Management LLC,
09YDZ6-E,Cincinnati Financial Corp. (Investment Portfolio),
000TGV-E,"Amundi Pioneer Asset Management, Inc.",
002G6D-E,"Bahl & Gaynor, Inc.",
002CH3-E,Select Equity Group LP,
05GSG8-E,Threadneedle Asset Management Ltd.,
05HPFF-E,Canada Pension Plan Investment Board,
07NGPL-E,St. James Investment Co. LLC,
06DYV7-E,ClariVest Asset Management LLC,
07M25W-E,Todd Asset Management LLC,
003BXJ-E,Darrell & King LLC,
060R5H-E,Praesidium Investment Management Co. LLC,
002FVQ-E,Egerton Capital (UK) LLP,
005GTL-E,Scopia Capital Management LP,
06WRQY-E,National Pension Service of Korea,
002K96-E,Putnam Investment Management LLC,
009TC5-E,Nationwide Fund Advisors,
002H7Y-E,Russell Investment Management LLC,
00C8HT-E,Vulcan Value Partners LLC,
0CXXXG-E,Personal Capital Advisors Corp.,
002G25-E,Cambiar Investors LLC,
0C7JDM-E,Vantage Investment Partners LLC,
05TZ2D-E,British Airways Pension Investment Management Ltd.,
05K9Q7-E,National Mutual Insurance Fed. of Agricultural Cooperatives,
00BQPP-E,Poplar Forest Capital LLC,
0DQRFF-E,Shigeta Yasumitsu (Investment Portfolio),
002GL5-E,"McDonald Capital Investors, Inc.",
001XJ8-E,OMERS Administration Corp.,
0041LW-E,"Scout Investments, Inc.",
002HYZ-E,"Allen Holding, Inc.",
0D9VKG-E,BlueSpruce Investments LP,
002K8G-E,Baillie Gifford & Co.,
004189-E,First Eagle Investment Management LLC,
002K0M-E,Goldman Sachs Asset Management LP,
002D91-E,"Vontobel Asset Management, Inc.",
000SX3-E,"OppenheimerFunds, Inc.",
005CJ2-E,Chickasaw Capital Management LLC,
002JMH-E,"Boston Trust Investment Management, Inc.",
000BPX-E,APG Asset Management NV,
000P8M-E,"Lord, Abbett & Co. LLC",
002YBS-E,Capital Counsel LLC,
005HHB-E,The Golub Group LLC,
002H5F-E,E.S. Barr & Co.,
