Fund_Entity_ID,Fund Name, Profile Equity AUM , Calculated Equity AUM ,DIFFERENCE
04B8NM-E,Washington Mutual Investors Fund,"112,905,152,619","112,905,152,619",0
04BF4M-E,Vanguard Total Stock Market Index Fund,"810,186,058,502","810,185,568,950",489552
04BNKR-E,Delaware Value Fund,"13,979,281,058","13,979,281,058",0
04BF1T-E,Vanguard 500 Index Fund,"480,589,946,801","480,560,193,600",29753201
04B8HJ-E,American Funds Investment Company Of America,"88,772,766,946","88,772,766,946",0
04CC29-E,Government Pension Fund - Global (the),"623,345,534,571","628,251,006,170",4905471599
04BH81-E,Spdr Series - Utilities Select Sector Spdr Fund,"10,063,004,010","10,063,004,010",0
04B8VJ-E,Capital Income Builder,"72,862,257,850","72,128,188,928",734068922
04CKSS-E,Ishares Tr. - Select Dividend Etf,"17,363,459,018","17,363,459,018",0
04BH50-E,Spdr S&p 500 Etf,"267,989,744,592","267,960,439,193",29305399
04BF2N-E,Vanguard Institutional Index Fund,"228,082,862,156","228,042,059,480",40802676
04B9QW-E,Franklin Utilities Fund,"6,271,273,367","6,271,273,367",0
04B9ZS-E,Fidelity 500 Index Fund,"182,411,379,953","197,735,991,594",15324611641
04BHN1-E,T Rowe Price Equity Income Fund,"18,989,786,825","19,182,146,025",192359200
04BHCS-E,Ishares Tr. - Core S&p 500 Etf,"176,061,335,014","176,054,702,472",6632542
04BDWC-E,T Rowe Price Value Fund,"24,120,308,788","24,120,308,788",0
04BF2R-E,Vanguard Value Index Fund,"80,114,689,819","80,108,838,616",5851203
04CLDB-E,Vanguard Utilities Index Fund,"4,960,664,342","4,960,664,342",0
04BF55-E,Vanguard Windsor Funds - Vanguard Windsor Fund,"17,923,150,935","17,923,150,935",0
04BQKV-E,American Funds Insurance Series - Growth Income Fund,"31,429,259,644","31,429,259,644",0
04DJL7-E,John Hancock Iii - Disciplined Value Fund,"14,160,907,816","14,160,907,816",0
04BCQ0-E,Putnam Equity Income Fund,"11,963,105,649","11,960,306,829",2798820
04B9YH-E,Fidelity Select Utilities Portfolio,"1,134,960,062","1,207,231,894",72271832
04CWPK-E,Pictet Global Selection Fund - Global Utilities Equity Fund,"5,583,293,819","5,598,454,685",15160866
04BSXD-E,Jpmorgan Mid Cap Value Fund,"15,604,296,807","16,257,312,238",653015431
04B8JW-E,American Mutual Fund,"49,377,673,673","49,520,647,720",142974047
