Fund_Entity_ID,Fund Name,Profile Equity AUM,Calculated Equity AUM
04B95K-E,Dodge & Cox Funds - Stock Fund,69145177034.0,69063333843
04BF45-E,Vanguard Primecap Fund,61324238509.0,62383088480
04BF4M-E,Vanguard Total Stock Market Index Fund,810186058502.0,810185568950
04BF1T-E,Vanguard 500 Index Fund,480589946801.0,480560193600
04CDHZ-E,Canada Pension Plan,110913906619.0,111628343835
04BCWS-E,Parnassus Core Equity Fund,16386593561.0,16386593561
04BH50-E,Spdr S&p 500 Etf,267989744592.0,267960439193
04BF2N-E,Vanguard Institutional Index Fund,228082862156.0,228042059480
04CWDQ-E,Vanguard Dividend Appreciation Index Fund,44237181794.0,44209499758
04BJK5-E,Vanguard Capital Opportunity Fund,16173921710.0,16411081986
04B9ZS-E,Fidelity 500 Index Fund,182411379953.0,197735991594
04BK4V-E,Dodge & Cox Funds - Balanced Fund,9508705615.0,11105109583
04CC29-E,Government Pension Fund - Global (the),623345534571.0,628251006170
04BHCS-E,Ishares Tr. - Core S&p 500 Etf,176061335014.0,176054702472
04BF2R-E,Vanguard Value Index Fund,80114689819.0,80108838616
04D831-E,Dodge & Cox Funds - Global Stock Fund,8862586875.0,9421767421
04BCH6-E,Oakmark Fund,17092921754.0,17092921754
04BH7Z-E,Spdr Series - Industrial Select Sector Spdr Fund,10458456263.0,10458456263
04GXK3-E,Dfa Us Large Cap Value Series,30018955691.0,30014047663
04CQXC-E,Vanguard Primecap Core Fund,10190941656.0,10190941656
04CQ2D-E,Primecap Odyssey Stock Fund,9671315486.0,9745754446
04BQ1F-E,American Balanced Fund,89028006465.0,89961137298
04BHDC-E,Ishares Tr. - Russell 1000 Growth Etf,48553556757.0,0
04B8K7-E,American Funds Fundamental Investors,95452704719.0,95595888551
04BBQH-E,Longleaf Partners Fund,1949253334.0,1949253334
04CDFL-E,Manulife Monthly High Income Fund,3436308262.0,3436308262
04G7JB-E,Dodge & Cox Worldwide Funds - Global Stock Fund,4024409791.0,4256458198
04B9L0-E,Fidelity Dividend Growth Fund,6387963561.0,6569065343
04CXH6-E,St. James's Place Unit Trust - Global,3725184937.0,3728719433
04D20S-E,Artisan Global Value Fund,2946476704.0,2946476704
04G7JD-E,Dodge & Cox Worldwide Funds - Us Stock Fund,2095971977.0,2107592707
04BFN4-E,Cref Stock Account,107619959033.0,108342083867
04B9YF-E,Fidelity Total Market Index Fund,44010410093.0,47922366207
04D105-E,Stichting Pensioenfonds Abp (global Equity Portfolio),187749632733.0,187739814118
04BJKY-E,Schwab S&p 500 Index Fund,38384070468.0,38379332155
04FCKQ-E,Ishares Vii Plc - Core S&p 500 Ucits Etf,34064823482.0,34064596420
04BVBK-E,Vanguard Institutional Total Stock Market Index Fund,39348963785.0,39348713531
04CP9B-E,Vanguard Industrials Index Fund,3795918487.0,3795918487
04B9G4-E,Eaton Vance Tax Managed Growth Portfolio,17296030528.0,17296030528
04HD32-E,Artisan Partners Global Funds Plc - Global Value Fund,2096365887.0,2169320655
04CJGC-E,Ishares Tr. - Transportation Average Etf,507179349.0,507179349
04J9RL-E,Bridge Builder Large Cap Value Fund,6889843640.0,6889843640
04BGZ0-E,T Rowe Price Equity Index 500 Fund,29254338355.0,29249894528
04CT15-E,Dfa Us Core Equity 2 Portfolio,24707075717.0,24713941982
04FHR6-E,Ap7 Aktiefond,49225830027.0,49872438584
04CX14-E,Fidelity Industrials Central Fund,1782774098.0,1782774098
04GSZY-E,Fidelity Series Large Cap Stock Fund,12890192857.0,13786689370
04CCKJ-E,Vanguard Variable Insurance - Capital Growth Portfolio,1592097931.0,1624734535
04B8YF-E,Invesco Charter Fund,3201835134.0,3201835134
04KQ5D-E,Northern Trust Russell 1000 Growth Index Fund-non-lending,12828444136.0,12828444136
04H3RK-E,Pioneer Core Equity Fund,1640128304.0,1640128304
04CT14-E,Dfa Us Core Equity 1 Portfolio,23341629836.0,23342001692
04GX8P-E,Vanguard Funds Plc - S&p 500 Ucits Etf,22789336202.0,22788312099
04GWDY-E,Ishares Tr. - Edge Msci Usa Value Factor Etf,3247782260.0,3247782260
04BXDB-E,Investors Us Large Cap Value Fund,3215491676.0,3215491676
04CMFZ-E,Vanguard Large Cap Index Fund,22671763573.0,22670359249
04CTMZ-E,Nordea 1 - Stable Return Fund,8611596600.0,8710426788
04BPQQ-E,Vanguard Balanced Index Fund (us),25149917655.0,25152357828
04CQ2B-E,Primecap Odyssey Growth Fund,12762265883.0,12844643060
04BF6L-E,Blackrock S&p 500 Stock Master Portfolio,18550837461.0,18550208924
04BHCT-E,Ishares Tr. - S&p 500 Growth Etf,23441403870.0,23439868131
