factset_entity_id,total_aum,Desktop Institution Position
000BDX-E,,
000BKZ-E,,
000BMG-E,,
000BY7-E,,
000BY9-E,,0
000BYR-E,,
000BZV-E,,
000C4S-E,,
000C90-E,,
000CCW-E,,
000CK2-E,,
000CKR-E,,
000CKS-E,,
000CPH-E,,
000CS6-E,,
000CW1-E,,
000CX8-E,,
000CY5-E,,
000CZG-E,,
000DMV-E,189.0,
000DW1-E,,
000DZH-E,,
000FBM-E,,
000FCS-E,,
006F32-E,9994.0,
000FH6-E,,
000HHF-E,,
000HHL-E,,
000HJ2-E,,
000HJ6-E,,
000HK7-E,,
000HSW-E,,
000HYP-E,,
000J6G-E,,
000JCY-E,,
000JJ3-E,,
000JN7-E,,
000JPP-E,,
000JQF-E,,
000JQM-E,,
000JVD-E,14344.0,
000JVK-E,,
000KHM-E,,
0FL8ZQ-E,,
000KQ7-E,,
000KR6-E,,
000KS1-E,1357.0,
000KYJ-E,,
000L1V-E,,
000L2N-E,,
000L8P-E,,
000LGC-E,,
0GLX49-E,,
000LM8-E,,
000LT6-E,,
000C65-E,40215.0,
000LVH-E,,
000LVP-E,,
000N3W-E,,
000N98-E,,
000NXG-E,,
000P1Y-E,,
000P2P-E,,
000P30-E,,
05SGS1-E,34071.0,
000BL3-E,7803.0,
000PF7-E,,
000PPH-E,,
000PPJ-E,,
000PPL-E,,
0GX4L3-E,,
000BKX-E,36000.0,
00CDX2-E,,
05FWCZ-E,,530
0K9VSC-E,,
0KGF9F-E,,
002SGG-E,5.0,
05T09G-E,,
05T09M-E,,
05T0CK-E,,
06NRRM-E,,
000LLN-E,1731.0,
06Q41M-E,,
000DS6-E,,
000BJX-E,2512.0,
06TMNK-E,,
003GWP-E,107.0,
000C8Y-E,11566.0,
000BPX-E,565954.0,368527
0030CJ-E,,
05T28R-E,,
000CXT-E,294.0,
000D9W-E,3170.0,
05V7ZP-E,,
000D1Q-E,179440.0,152438
000C6K-E,,
000C8R-E,895.0,0
000CGW-E,246845.0,0
000D7G-E,,518404
000DPG-E,2601.0,
000FF4-E,,420436
000P57-E,,
000PQ2-E,,
000PQ4-E,,
000PZ3-E,,
000PZ6-E,,
000Q6V-E,,
000Q9Z-E,,
000QVM-E,,
000R3V-E,,
000RBJ-E,,
009VC4-E,239.0,
000SSQ-E,,
000SSY-E,,
000SWB-E,,
05FWB8-E,,
000T57-E,,
000T90-E,,
000TBC-E,,
000F6K-E,3300.0,
05FFH1-E,,
05QBT3-E,201816.0,1047730
000TRY-E,,
05L7D5-E,,
000TTB-E,,
06XM2Y-E,,
000V4B-E,,
000V67-E,,
000VCJ-E,,
08BW9N-E,1561.0,
000VKD-E,,
000VRV-E,,
000VVS-E,,
000W5D-E,,
000W78-E,,
000WHF-E,,
000WX9-E,,
000WYY-E,,
000X3M-E,,
000XRL-E,,
000XTC-E,,
000XTG-E,,
000XTX-E,,
000XYT-E,,
09S82D-E,,
000YM9-E,,
000YNK-E,,
0KGGLG-E,,
000YRF-E,,
05NR69-E,,
000YSW-E,,
000Z08-E,,
000Z1B-E,,
000Z45-E,694.0,
000Z85-E,,
000Z9P-E,,
05P4TS-E,,
000ZCB-E,,
0KGFWM-E,,
000ZF0-E,,
000ZFK-E,,
000ZGN-E,,
001018-E,,
0D754C-E,11229.0,
00DXTN-E,,
0DS9XT-E,1682.0,
0010BM-E,,
05R3F3-E,,
0010D8-E,,
0010H1-E,,
0010RQ-E,,
0DTT62-E,,
0F9QQQ-E,,
0010TK-E,,
0010Z7-E,,
00112V-E,,
0G64MB-E,145.0,0
0G6BF8-E,256.0,4263
00116S-E,,
0011BN-E,11201.0,
0011BY-E,,
0011D1-E,,
0011HZ-E,,
0011J1-E,,
0011JT-E,,
0011L0-E,,
0GCW37-E,560.0,
0011MR-E,,
0011NS-E,,
0011QF-E,,
0GCW47-E,189.0,
0GCW71-E,289.0,
0GDF54-E,704.0,
000Y7M-E,,
05L98Q-E,,
0HY1P5-E,,
000FFT-E,182.0,
0J5HCN-E,,
0J5T8M-E,,
0JSTH6-E,,
0JT9XD-E,,
000LXL-E,,
0KQB8F-E,,
0L7TJW-E,,
0L8FRY-E,,
000PVR-E,24270.0,
05FWHD-E,,
05QW89-E,,
000VN1-E,157.0,
05Q6KK-E,,
000JGK-E,33643.0,
000P8J-E,230318.0,0
05QWDD-E,91347.0,
000P8M-E,182625.0,28300
000Q6S-E,1401287.0,0
000R62-E,,
000R9G-E,118100.0,362015
000RBG-E,4906.0,
000V62-E,,10000
0011S4-E,,
0011SJ-E,,
0011TB-E,,
0011TN-E,574.0,
0011TZ-E,,
0011WG-E,,
0011XG-E,,
0011XL-E,,
0FSC2H-E,521.0,
00121H-E,,
00121Y-E,,
0L8GB5-E,,
00127C-E,,
0L8H6L-E,,
0L8JMR-E,,
0012L0-E,,
0L8JP7-E,,
0L8JPV-E,,
0L8JR6-E,,
0012NF-E,,
0L8JRP-E,,
0012RH-E,,
0012WM-E,,
0012YB-E,,
0L8JSK-E,,
0L8JT0-E,,
0L8JVQ-E,,
00134V-E,,
00134W-E,,
001357-E,,
0L8JZL-E,,
0013MY-E,,
0011QK-E,108404.0,
00141F-E,,
0FL2ZS-E,179.0,
00146Q-E,,
0014MW-E,,
0014VV-E,,
0015NZ-E,,
00161G-E,,
001685-E,,
0016C1-E,,
0L8JZN-E,,
0016HY-E,,
0016JR-E,,
0016L3-E,,
0016VC-E,,
0016XJ-E,,
0L8KF0-E,,
000TGV-E,75348.0,818207
0FQY4G-E,,
0017G2-E,,
0017HB-E,,
0017ZB-E,,
0017ZL-E,,
0011TW-E,,
001850-E,,
0018BF-E,,
0018FV-E,,
0018FW-E,,
0018NJ-E,,
0018PD-E,,
0011V4-E,673.0,
001980-E,,
0019H9-E,,
0FV7HT-E,1591.0,0
0013X9-E,25066.0,
001BK5-E,,
001BL6-E,,
001BNZ-E,,
001BP9-E,,
0KVPYV-E,,6492
001BR5-E,,
001BRN-E,,
001BRP-E,,
001BS2-E,,
