factset_fund_id,aum,equity_aum,Desktop AUM,Desktop Equity AUM,Difference AUM,Difference Equity AUM
04DF37-E ,,,None,None,-,-
04KMG8-E ,92411656,28050845,92411656,29215047,0,-1164202
04HMN6-E ,42947685,47322662,42947685,47620410,0,-297748
04C311-E ,,1114760280,None,1174443524,-,-59683244
04CG6L-E ,555080823,12771379,554725440,14445934,355383,-1674555
04BW9N-E ,1437059594,1831328098,1437059594,1716970511,0,114357587
04HYJW-E ,294193540,263296491,None,258389789,-,4906702
04BW9L-E ,109910541,479923373,109910541,492115479,0,-12192106
04B8VC-E ,1227586077,2200718367,1227586077,2260276723,0,-59558356
04BW9K-E ,80371335,141982874,80371335,133325525,0,8657349
04B9GM-E ,836930818,1088418132,820521025,1124158533,16409793,-35740401
04B9FD-E ,68645154,254908313,65884127,257963388,2761027,-3055075
04B8R6-E ,494918954,361687027,494918954,337067709,0,24619318
04F5J4-E ,18479801,,18479801,None,0,-
04F989-E ,317030616,376848,317030616,376848,0,0
04KMSK-E ,,372459301,None,348318889,-,24140412
04BVXM-E ,,52991025,None,52956184,-,34841
04B8FN-E ,1.46576E+11,1.90214E+11,1.46576E+11,1.89135E+11,384782,1078746022
04B8V5-E ,71431411,321817547,71431411,313023646,0,8793901
04B8YF-E ,3217101404,11781347772,3217101404,11570858806,0,210488966
04B8DG-E ,2676817327,15869311159,2676817318,15688933265,9,180377894
04B8NL-E ,,3394912208,None,3397595461,-,-2683253
04B9G4-E ,18874976377,12456162987,17304610409,11672989606,1570365968,783173381
04BBV1-E ,150051973,645741070,150051973,635190985,0,10550085
04B8FJ-E ,96439087,549787183,None,578964238,-,-29177055
04FGRF-E ,251931591,20056058,257109859,11508418,-5178268,8547640
04CZHQ-E ,,249277497,None,240404384,-,8873113
04B8KR-E ,46267741,58928930,46267741,60879406,0,-1950476
04BDS2-E ,4668856388,8774428840,4668856388,8143328165,0,631100675
04B8VY-E ,6428440049,5133760090,6428440049,5478835172,0,-345075082
04BB6S-E ,186670223,1172720043,186670223,1153721131,0,18998912
04B8VF-E ,213335799,284951423,213335746,360550330,53,-75598907
04BBSG-E ,56264131,268891202,56264131,268234901,0,656301
04BHCT-E ,,18317045887,None,18208437648,-,108608239
04B8YG-E ,2567806007,5500604336,2567806007,5494121876,0,6482460
04BBT5-E ,17141386034,37766941545,17141386004,35976206463,30,1790735082
04BBT3-E ,493562453,1863890947,493562453,1848742454,0,15148493
04BBBV-E ,441190335,3443375035,413089689,3724347142,28100646,-280972107
04BY2C-E ,164138983,744307224,145793861,687874059,18345122,56433165
04BCZ9-E ,609918666,2905774013,609918666,2840701297,0,65072716
04B8XY-E ,2464188836,4319795402,2464188836,4497827399,0,-178031997
04B8DY-E ,2580574260,3229237340,2580574260,3182981713,0,46255627
04B8JW-E ,47507934939,41153750238,47507934924,37683950059,15,3469800179
04BFZ7-E ,1058252858,3271229914,1058252858,3238445718,0,32784196
04B8V4-E ,412554118,447177759,412554118,438642477,0,8535282
04BBSH-E ,136626811,812836147,136626811,806821305,0,6014842
04F3C4-E ,11358685,526556,11358685,526556,0,0
04BBTG-E ,421870558,3605321139,421870536,3562728165,22,42592974
04BCR8-E ,1054672400,2717062083,1054672400,2603360882,0,113701201
04F010-E ,62815797,342117,56180476,342117,6635321,0
04BYKT-E ,,64914518,None,71410362,-,-6495844
04HGVY-E ,4767344,17639032,4767344,20621790,0,-2982758
04DF8Z-E ,,,None,None,-,-
04HJ0D-E ,19579074,14171914,19579074,11360499,0,2811415
04F2S8-E ,81484018,,81484018,None,0,-
04L6J8-E ,,15607814,None,15607814,-,0
04CG4J-E ,368447928,,368447928,None,0,-
04J0RM-E ,,251750,None,251750,-,0
04F97X-E ,1461143261,616298435,1428938711,619291956,32204550,-2993521
04FCTM-E ,22435922,106426256,22435922,108937265,0,-2511009
04G7N0-E ,56400147,24637196,56400147,24750320,0,-113124
04B9M9-E ,4266492873,14654550701,4266492873,14574683318,0,79867383
04GVTQ-E ,33227511,34552025,31305246,34090353,1922265,461672
04DLZ7-E ,582657826,27879190,582657826,27879190,0,0
04HXN6-E ,,135275972,None,141857037,-,-6581065
04KBDZ-E ,107956683,133488412,107505104,147697373,451579,-14208961
04KPDS-E ,843430102,170561005,843430102,168300172,0,2260833
04JJDS-E ,,342658286,None,315995802,-,26662484
04JJDV-E ,,466569000,10502036,461545924,-10502036,5023076
04JRJT-E ,1787071,658623,2870472,1660975,-1083401,-1002352
04J5ST-E ,,224992737,None,233065892,-,-8073155
04B9XH-E ,303551014,1017014206,303551014,976091406,0,40922800
04GTF3-E ,398424872,255603420,429074785,275589108,-30649913,-19985688
04HMRW-E ,,189568574,None,193479328,-,-3910754
04GL8S-E ,2781457412,2898842346,2781457449,3075028949,-37,-176186603
04GS6K-E ,119950643,220118535,119950643,222793855,0,-2675320
04GZHB-E ,1330724050,,1330724050,None,0,-
04JQ9X-E ,,117950090,None,115221668,-,2728422
04G9X1-E ,43389369,14979636,43389369,14203063,0,776573
04J2GX-E ,,22544086,None,20477062,-,2067024
04LBXV-E ,1938041,1938040,1938041,1938040,0,0
04KPWJ-E ,2136294,13467273,2136294,12868046,0,599227
04BLMN-E ,312223803,1178603063,329073897,1099604939,-16850094,78998124
04CL0F-E ,3162856,5770046,3162856,6705939,0,-935893
04G6L2-E ,,462753382,None,472243059,-,-9489677
04FGRJ-E ,,3320361753,None,3320361753,-,0
04BTVX-E ,304633304,296778464,304633304,382311455,0,-85532991
04F8HD-E ,1561539589,,1561539589,None,0,-
04C1J2-E ,4455550,5292996,4455497,5594637,53,-301641
04DXVV-E ,,,None,None,-,-
04J522-E ,942833361,1941275554,None,2049171311,-,-107895757
04DMFR-E ,1014481886,,1014481886,None,0,-
04DRBZ-E ,6259216,296800,6259216,300180,0,-3380
04BDHJ-E ,5469156772,8849704567,5469156772,8013103775,0,836600792
04DF19-E ,,,None,None,-,-
04JT9T-E ,,166531906,None,174388394,-,-7856488
04F680-E ,40269230,323752,40107328,323752,161902,0
04HW3K-E ,1265423,1043789,1265423,1065688,0,-21899
04F686-E ,28360245,2237664,28109159,2696162,251086,-458498
04KMG1-E ,14325818,14325819,14325818,14325819,0,0
04KMLX-E ,12440655,12440656,12440655,12440656,0,0
04HW3H-E ,1993047,1292730,1993047,1288353,0,4377
04C4PN-E ,5062743,20397544,5062743,19676247,0,721297
04HNFW-E ,,624561915,None,571055515,-,53506400
04F637-E ,284619979,364855,283461853,385796,1158126,-20941
04DZXW-E ,840415407,12870959,840415407,12870959,0,0
04CRK6-E ,1153149050,373116196,1153149050,360511010,0,12605186
04B93Z-E ,,,None,None,-,-
04FWLN-E ,,,None,None,-,-
04F9SS-E ,,75296303,None,96373234,-,-21076931
04JX7N-E ,,4759389,None,4426254,-,333135
04DHV8-E ,447903221,19843618,447903221,19843618,0,0
04G70S-E ,249259530,1498789,249259530,1498789,0,0
04JCVR-E ,,4163343,None,4163343,-,0
04GVKG-E ,26112208,,26112208,None,0,-
04GQJ4-E ,181979609,,181979609,None,0,-
04J6QK-E ,,16089357,None,16322481,-,-233124
04JWT2-E ,167819734,151202065,167819734,150384430,0,817635
04JJ6X-E ,588614638,249421024,588614638,240409841,0,9011183
04BL0V-E ,20083805,123619283,20083805,123736041,0,-116758
04K9LK-E ,105171112,360115,105171112,634226,0,-274111
04G8C5-E ,325458347,517521403,None,417241926,-,100279477
04FMLP-E ,27911585,2364526,27911585,2401895,0,-37369
04BY0J-E ,90288490,516107446,90288490,502897430,0,13210016
04BBYF-E ,21556501,149701925,21556501,150728093,0,-1026168
04GTMQ-E ,,125359755,None,125306137,-,53618
04J5SM-E ,,193999376,None,203353900,-,-9354524
04GNVK-E ,,54528191,None,81966875,-,-27438684
04H1HM-E ,,2488862789,None,2892528275,-,-403665486
04G1JR-E ,34390832454,34390832455,34390832454,34390832455,0,0
04J5SX-E ,,28927813,None,30371291,-,-1443478
04FXFX-E ,31180960497,31180960497,31180960497,31180960497,0,0
04G1JQ-E ,41826592088,41826592088,41826592088,41826592088,0,0
04BZH1-E ,1369086717,1341475397,1369086721,1381888952,-4,-40413555
04FCK7-E ,,300008108,None,306276751,-,-6268643
04L6FR-E ,10497550,11709190,10497556,11322876,-6,386314
04FGTC-E ,755707792,4577375,755707792,4577375,0,0
04BFYD-E ,98193994377,1.01318E+11,98193994377,95980623606,0,5337376394
04BNRP-E ,53486981,107261048,53486981,109596486,0,-2335438
04FXSJ-E ,,5007925,None,5011488,-,-3563
04L3FG-E ,901257,901257,901257,901257,0,0
04KWDJ-E ,,556096121,None,570071495,-,-13975374
04HKLL-E ,39773637,200047001,39773637,185759989,0,14287012
04G8RB-E ,114940884,12049693,115485387,12321578,-544503,-271885
04L3MQ-E ,,8785712,None,8128680,-,657032
04C9JK-E ,2738116,6583530,2738116,6476986,0,106544
04BJZ2-E ,620398633,804198618,620398633,759186945,0,45011673
04BXCV-E ,95233814,451217077,95233814,470770211,0,-19553134
