factset_fund_id,aum,equity_aum,Desktop AUM,Desktop Equity AUM
04DF37-E ,,,N/A,N/A
04KMG8-E ,92411656.0,28050845.0,N/A,N/A
04HMN6-E ,42947685.0,47322662.0,N/A,N/A
04C311-E ,,1114760280.0,N/A,N/A
04CG6L-E ,555080823.0,12771379.0,N/A,N/A
04BW9N-E ,1437059594.0,1831328098.0,N/A,N/A
04HYJW-E ,294193540.0,263296491.0,N/A,N/A
04BW9L-E ,109910541.0,479923373.0,N/A,N/A
04B8VC-E ,1227586077.0,2200718367.0,N/A,N/A
04BW9K-E ,80371335.0,141982874.0,N/A,N/A
04B9GM-E ,836930818.0,1088418132.0,N/A,N/A
04B9FD-E ,68645154.0,254908313.0,N/A,N/A
04B8R6-E ,494918954.0,361687027.0,N/A,N/A
04F5J4-E ,18479801.0,,N/A,N/A
04F989-E ,317030616.0,376848.0,N/A,N/A
04KMSK-E ,,372459301.0,N/A,N/A
04BVXM-E ,,52991025.0,N/A,N/A
04B8FN-E ,146576000000.0,190214000000.0,N/A,N/A
04B8V5-E ,71431411.0,321817547.0,N/A,N/A
04B8YF-E ,3217101404.0,11781347772.0,N/A,N/A
04B8DG-E ,2676817327.0,15869311159.0,N/A,N/A
04B8NL-E ,,3394912208.0,N/A,N/A
04B9G4-E ,18874976377.0,12456162987.0,N/A,N/A
04BBV1-E ,150051973.0,645741070.0,N/A,N/A
04B8FJ-E ,96439087.0,549787183.0,N/A,N/A
04FGRF-E ,251931591.0,20056058.0,N/A,N/A
04CZHQ-E ,,249277497.0,N/A,N/A
04B8KR-E ,46267741.0,58928930.0,N/A,N/A
04BDS2-E ,4668856388.0,8774428840.0,N/A,N/A
04B8VY-E ,6428440049.0,5133760090.0,N/A,N/A
04BB6S-E ,186670223.0,1172720043.0,N/A,N/A
04B8VF-E ,213335799.0,284951423.0,N/A,N/A
04BBSG-E ,56264131.0,268891202.0,N/A,N/A
04BHCT-E ,,18317045887.0,N/A,N/A
04B8YG-E ,2567806007.0,5500604336.0,N/A,N/A
04BBT5-E ,17141386034.0,37766941545.0,N/A,N/A
04BBT3-E ,493562453.0,1863890947.0,N/A,N/A
04BBBV-E ,441190335.0,3443375035.0,N/A,N/A
04BY2C-E ,164138983.0,744307224.0,N/A,N/A
04BCZ9-E ,609918666.0,2905774013.0,N/A,N/A
04B8XY-E ,2464188836.0,4319795402.0,N/A,N/A
04B8DY-E ,2580574260.0,3229237340.0,N/A,N/A
04B8JW-E ,47507934939.0,41153750238.0,N/A,N/A
04BFZ7-E ,1058252858.0,3271229914.0,N/A,N/A
04B8V4-E ,412554118.0,447177759.0,N/A,N/A
04BBSH-E ,136626811.0,812836147.0,N/A,N/A
04F3C4-E ,11358685.0,526556.0,N/A,N/A
04BBTG-E ,421870558.0,3605321139.0,N/A,N/A
04BCR8-E ,1054672400.0,2717062083.0,N/A,N/A
04F010-E ,62815797.0,342117.0,N/A,N/A
04BYKT-E ,,64914518.0,N/A,N/A
04HGVY-E ,4767344.0,17639032.0,N/A,N/A
04DF8Z-E ,,,N/A,N/A
04HJ0D-E ,19579074.0,14171914.0,N/A,N/A
04F2S8-E ,81484018.0,,N/A,N/A
04L6J8-E ,,15607814.0,N/A,N/A
04CG4J-E ,368447928.0,,N/A,N/A
04J0RM-E ,,251750.0,N/A,N/A
04F97X-E ,1461143261.0,616298435.0,N/A,N/A
04FCTM-E ,22435922.0,106426256.0,N/A,N/A
04G7N0-E ,56400147.0,24637196.0,N/A,N/A
04B9M9-E ,4266492873.0,14654550701.0,N/A,N/A
04GVTQ-E ,33227511.0,34552025.0,N/A,N/A
04DLZ7-E ,582657826.0,27879190.0,N/A,N/A
04HXN6-E ,,135275972.0,N/A,N/A
04KBDZ-E ,107956683.0,133488412.0,N/A,N/A
04KPDS-E ,843430102.0,170561005.0,N/A,N/A
04JJDS-E ,,342658286.0,N/A,N/A
04JJDV-E ,,466569000.0,N/A,N/A
04JRJT-E ,1787071.0,658623.0,N/A,N/A
04J5ST-E ,,224992737.0,N/A,N/A
04B9XH-E ,303551014.0,1017014206.0,N/A,N/A
04GTF3-E ,398424872.0,255603420.0,N/A,N/A
04HMRW-E ,,189568574.0,N/A,N/A
04GL8S-E ,2781457412.0,2898842346.0,N/A,N/A
04GS6K-E ,119950643.0,220118535.0,N/A,N/A
04GZHB-E ,1330724050.0,,N/A,N/A
04JQ9X-E ,,117950090.0,N/A,N/A
04G9X1-E ,43389369.0,14979636.0,N/A,N/A
04J2GX-E ,,22544086.0,N/A,N/A
04LBXV-E ,1938041.0,1938040.0,N/A,N/A
04KPWJ-E ,2136294.0,13467273.0,N/A,N/A
04BLMN-E ,312223803.0,1178603063.0,N/A,N/A
04CL0F-E ,3162856.0,5770046.0,N/A,N/A
04G6L2-E ,,462753382.0,N/A,N/A
04FGRJ-E ,,3320361753.0,N/A,N/A
04BTVX-E ,304633304.0,296778464.0,N/A,N/A
04F8HD-E ,1561539589.0,,N/A,N/A
04C1J2-E ,4455550.0,5292996.0,N/A,N/A
04DXVV-E ,,,N/A,N/A
04J522-E ,942833361.0,1941275554.0,N/A,N/A
04DMFR-E ,1014481886.0,,N/A,N/A
04DRBZ-E ,6259216.0,296800.0,N/A,N/A
04BDHJ-E ,5469156772.0,8849704567.0,N/A,N/A
04DF19-E ,,,N/A,N/A
04JT9T-E ,,166531906.0,N/A,N/A
04F680-E ,40269230.0,323752.0,N/A,N/A
04HW3K-E ,1265423.0,1043789.0,N/A,N/A
04F686-E ,28360245.0,2237664.0,N/A,N/A
04KMG1-E ,14325818.0,14325819.0,N/A,N/A
04KMLX-E ,12440655.0,12440656.0,N/A,N/A
04HW3H-E ,1993047.0,1292730.0,N/A,N/A
04C4PN-E ,5062743.0,20397544.0,N/A,N/A
04HNFW-E ,,624561915.0,N/A,N/A
04F637-E ,284619979.0,364855.0,N/A,N/A
04DZXW-E ,840415407.0,12870959.0,N/A,N/A
04CRK6-E ,1153149050.0,373116196.0,N/A,N/A
04B93Z-E ,,,N/A,N/A
04FWLN-E ,,,N/A,N/A
04F9SS-E ,,75296303.0,N/A,N/A
04JX7N-E ,,4759389.0,N/A,N/A
04DHV8-E ,447903221.0,19843618.0,N/A,N/A
04G70S-E ,249259530.0,1498789.0,N/A,N/A
04JCVR-E ,,4163343.0,N/A,N/A
04GVKG-E ,26112208.0,,N/A,N/A
04GQJ4-E ,181979609.0,,N/A,N/A
04J6QK-E ,,16089357.0,N/A,N/A
04JWT2-E ,167819734.0,151202065.0,N/A,N/A
04JJ6X-E ,588614638.0,249421024.0,N/A,N/A
04BL0V-E ,20083805.0,123619283.0,N/A,N/A
04K9LK-E ,105171112.0,360115.0,N/A,N/A
04G8C5-E ,325458347.0,517521403.0,N/A,N/A
04FMLP-E ,27911585.0,2364526.0,N/A,N/A
04BY0J-E ,90288490.0,516107446.0,N/A,N/A
04BBYF-E ,21556501.0,149701925.0,N/A,N/A
04GTMQ-E ,,125359755.0,N/A,N/A
04J5SM-E ,,193999376.0,N/A,N/A
04GNVK-E ,,54528191.0,N/A,N/A
04H1HM-E ,,2488862789.0,N/A,N/A
04G1JR-E ,34390832454.0,34390832455.0,N/A,N/A
04J5SX-E ,,28927813.0,N/A,N/A
04FXFX-E ,31180960497.0,31180960497.0,N/A,N/A
04G1JQ-E ,41826592088.0,41826592088.0,N/A,N/A
04BZH1-E ,1369086717.0,1341475397.0,N/A,N/A
04FCK7-E ,,300008108.0,N/A,N/A
04L6FR-E ,10497550.0,11709190.0,N/A,N/A
04FGTC-E ,755707792.0,4577375.0,N/A,N/A
04BFYD-E ,98193994377.0,101318000000.0,N/A,N/A
04BNRP-E ,53486981.0,107261048.0,N/A,N/A
04FXSJ-E ,,5007925.0,N/A,N/A
04L3FG-E ,901257.0,901257.0,N/A,N/A
04KWDJ-E ,,556096121.0,N/A,N/A
04HKLL-E ,39773637.0,200047001.0,N/A,N/A
04G8RB-E ,114940884.0,12049693.0,N/A,N/A
04L3MQ-E ,,8785712.0,N/A,N/A
04C9JK-E ,2738116.0,6583530.0,N/A,N/A
04BJZ2-E ,620398633.0,804198618.0,N/A,N/A
04BXCV-E ,95233814.0,451217077.0,N/A,N/A
04H9KB-E ,75606303.0,75606305.0,N/A,N/A
04FXFF-E ,38810513886.0,,N/A,N/A
04BDHW-E ,67443174.0,82580302.0,N/A,N/A
04CWSQ-E ,565404779.0,597654556.0,N/A,N/A
04JMPB-E ,24925487.0,10885911.0,N/A,N/A
04BTRT-E ,109747150.0,733407752.0,N/A,N/A
04KNZ9-E ,,5992861.0,N/A,N/A
04FBT0-E ,98879114.0,5396769.0,N/A,N/A
04GS6Y-E ,,,N/A,N/A
04BL5Y-E ,86960544.0,,N/A,N/A
04F6RH-E ,251015638.0,,N/A,N/A
