factset_entity_id,total_aum,equity_aum,Desktop Institution AUM,Desktop Institution Equity AUM,Difference AUM,Difference Equity AUM
000BJZ-E ,,8437,,8437,0,0
000BKX-E ,36000,4010,36000,4010,0,0
000BL3-E ,7803,5265,7803,5265,0,0
000BPX-E ,565954,164602,565954,164602,0,0
000BQ0-E ,,25383,,25383,0,0
000BY9-E ,,0,,1474,0,-1474
000BZV-E ,,76,,76,0,0
000C65-E ,40215,616,40215,616,0,0
000C8R-E ,895,462,895,462,0,0
000C8Y-E ,11566,8760,11566,8760,0,0
000CGW-E ,246845,4391,246845,4391,0,0
000CM9-E ,71938,57659,71938,57659,0,0
000CN3-E ,2640,1539,2640,1539,0,0
000CND-E ,30747,12183,30747,12183,0,0
000CXT-E ,294,0,294,0,0,0
000CZG-E ,,0,,0,0,0
000D1Q-E ,170946,41674,170946,41674,0,0
000D7G-E ,,85396,,85396,0,0
000D9W-E ,3170,1582,3170,1582,0,0
000DPG-E ,2601,1990,2601,1990,0,0
000DS6-E ,,0,,0,0,0
000F6K-E ,3300,1638,3300,1638,0,0
000FF4-E ,,75524,,75524,0,0
000FFT-E ,182,74,182,74,0,0
000FH6-E ,,150,,150,0,0
000HGT-E ,158827,60035,158827,60035,0,0
000HHF-E ,,0,,2020,0,-2020
000HJ2-E ,,0,,0,0,0
000HJ9-E ,569309,406040,569309,406040,0,0
000HPH-E ,260310,38210,260310,38210,0,0
000J08-E ,620,179,620,179,0,0
000JGK-E ,33643,10616,33643,10616,0,0
000JJ3-E ,,11,,11,0,0
000JQM-E ,,35,,35,0,0
000JTR-E ,27233,14008,27233,14008,0,0
000JVD-E ,14344,867,14344,867,0,0
000KJ7-E ,96032,82301,96032,82301,0,0
000KN8-E ,,19517,,19517,0,0
000KS1-E ,1357,388,1357,388,0,0
000KVL-E ,14271,13756,14271,13756,0,0
000L3V-E ,60516,35655,60516,35655,0,0
000LH7-E ,118112,97003,118112,97003,0,0
000LH9-E ,,5523,,5523,0,0
000LLN-E ,1731,1434,1731,1434,0,0
000LV0-E ,,434,,434,0,0
000LXL-E ,,25429,,25429,0,0
000LXS-E ,139,129,139,129,0,0
000N8F-E ,168101,20322,168101,20322,0,0
000NVY-E ,16259,13076,16259,13076,0,0
000NWD-E ,592,411,463,411,129,0
000NWQ-E ,3637,1861,3637,1861,0,0
000VR8-E ,,11,,11,0,0
000P1Y-E ,,3421,,3421,0,0
000P57-E ,,15157,,15157,0,0
000P8J-E ,230318,50229,230318,50229,0,0
000P8M-E ,182625,32706,182625,32706,0,0
000PC4-E ,,14239,,14239,0,0
000PHW-E ,332686,288860,332686,288860,0,0
000PVR-E ,24270,673,24270,673,0,0
000Q6S-E ,1401287,273626,1401287,273626,0,0
000R62-E ,,1191,,1191,0,0
000R9G-E ,118100,39406,118100,39406,0,0
000RBG-E ,4906,4233,4906,4233,0,0
000RGG-E ,27664,4558,27664,4558,0,0
000T3H-E ,3235,2236,3235,2236,0,0
000TGV-E ,75348,52634,75348,52634,0,0
000TNX-E ,940638,720112,940638,720112,0,0
000YPS-E ,132300,207,132300,207,0,0
000TRY-E ,,5942,,5942,0,0
000TWY-E ,845936,4230,845936,4230,0,0
000V62-E ,,262,,262,0,0
000V67-E ,,284,,284,0,0
0010SD-E ,,59,,59,0,0
000VN1-E ,157,117,157,117,0,0
000WMY-E ,,2111,,2111,0,0
0013XN-E ,,1,,1,0,0
000WWX-E ,,80617,,80617,0,0
000WX0-E ,117300,36788,117300,36788,0,0
0017GJ-E ,50,3,50,3,0,0
000X3M-E ,,568,,568,0,0
000XKH-E ,39073,10350,39073,10350,0,0
000XTC-E ,,930,,930,0,0
000XTG-E ,,0,,0,0,0
000Y72-E ,,245,,245,0,0
000YND-E ,13519,10636,13519,10636,0,0
001BMP-E ,,8,,8,0,0
000YS6-E ,1035310,509246,1035310,509246,0,0
000Z93-E ,129,118,129,118,0,0
000ZBK-E ,15037,10936,15037,10936,0,0
000ZCN-E ,26951,154,26951,154,0,0
000ZXF-E ,109109,1481,109109,1481,0,0
001018-E ,,24,,24,0,0
00103D-E ,1630,1190,1630,1190,0,0
00104F-E ,40523,25786,40523,25786,0,0
00107D-E ,1122,722,1122,722,0,0
001091-E ,4500,4196,4500,4196,0,0
0010BL-E ,,2634,,2634,0,0
0010BP-E ,4231,2397,4231,2397,0,0
0010FM-E ,,215,,215,0,0
0010SV-E ,,882,,882,0,0
0010TK-E ,,80,,80,0,0
00114R-E ,,1,,1,0,0
001150-E ,24527,11038,24527,11038,0,0
0011M0-E ,285931,163145,285931,163145,0,0
0011MX-E ,,20538,,20538,0,0
0011QG-E ,173,165,173,165,0,0
001LRL-E ,1752,13,1752,13,0,0
000VD2-E ,74072,268,74072,268,0,0
0011RH-E ,,1026,,1026,0,0
0011TW-E ,,419,,419,0,0
0011V4-E ,673,572,673,572,0,0
0011WH-E ,2095,1896,2095,1896,0,0
0011Y4-E ,1901,610,1901,610,0,0
0011Z0-E ,,1195,,1195,0,0
001207-E ,19329,8321,19329,8321,0,0
00120G-E ,1365,588,1365,588,0,0
00120M-E ,2131,172,2131,172,0,0
00121D-E ,43144,32369,43144,32369,0,0
00122J-E ,2719,2692,2719,2692,0,0
00128H-E ,,11222,,11222,0,0
0012DH-E ,1279,571,1279,571,0,0
0012LW-E ,77513,14520,77513,14520,0,0
0012MH-E ,1703,668,1703,668,0,0
0012MS-E ,,646,,646,0,0
0012X3-E ,6200,5751,6200,5751,0,0
0012ZV-E ,29099,4016,29099,4016,0,0
00132N-E ,2482,711,2482,711,0,0
00134N-E ,2193,2405,2193,2405,0,0
001BQN-E ,233,200,233,200,0,0
001LTJ-E ,,7,,7,0,0
0013BS-E ,23826,17590,23826,17590,0,0
0013X9-E ,25066,7836,25066,7836,0,0
001RH3-E ,76,41,76,41,0,0
0013ZM-E ,182,163,182,163,0,0
00140T-E ,28579,2087,28579,2087,0,0
00143D-E ,,247,,247,0,0
0015NZ-E ,,55977,,55977,0,0
00161G-E ,,91,,91,0,0
001SHD-E ,,4,,4,0,0
0016VC-E ,,74,,74,0,0
0016Z2-E ,,140,,140,0,0
00176H-E ,1397,464,1397,464,0,0
00179W-E ,,63972,,63972,0,0
0017DP-E ,712,520,712,520,0,0
001V32-E ,,1,,1,0,0
0017ZL-E ,,13,,13,0,0
00180K-E ,57824,184,57824,184,0,0
00189R-E ,,3245,,3245,0,0
0018FV-E ,,3,,3,0,0
0018XT-E ,36060,2645,36060,2645,0,0
001980-E ,,19,,19,0,0
0019KF-E ,98186,21220,98186,21220,0,0
001BC5-E ,496035,140647,496035,140647,0,0
001WLL-E ,,34733,,34733,0,0
001CVY-E ,53882,41051,53882,41051,0,0
001D27-E ,,2984,,2984,0,0
001D77-E ,,45007,,45007,0,0
001DGK-E ,,24667,,24667,0,0
001DN5-E ,552,7,552,7,0,0
001DP2-E ,94952,1630,94952,1630,0,0
001DPF-E ,,438,,438,0,0
001F5Z-E ,,97,,97,0,0
001FCW-E ,,120,,120,0,0
001FKZ-E ,160906,114366,160906,114366,0,0
001FQ5-E ,774,669,774,669,0,0
001GB0-E ,1345,1032,1345,1032,0,0
001GCK-E ,,3447,,3447,0,0
001GH1-E ,,88,,88,0,0
001GM8-E ,4888,4339,4888,4339,0,0
001K96-E ,,2040,,2040,0,0
001H78-E ,5590,4172,5590,4172,0,0
001H9C-E ,686,452,686,452,0,0
001HBR-E ,20279,17201,20279,17201,0,0
001HJ2-E ,290,460,290,460,0,0
001HP4-E ,,0,,0,0,0
001HPP-E ,,0,,0,0,0
001HRL-E ,,105,,105,0,0
001J20-E ,393,121,393,121,0,0
001J5M-E ,,1636,,1636,0,0
001J5S-E ,7800,1818,7800,1818,0,0
001J60-E ,,1519,,1519,0,0
001J97-E ,16000,749,16000,749,0,0
001JJ6-E ,6991,5758,6991,5758,0,0
001JK7-E ,793,585,793,585,0,0
001JQG-E ,10462,8791,10462,8791,0,0
