factset_fund_id,aum,equity_aum,Desktop AUM,Desktop Equity AUM,Difference AUM,Difference Equity AUM
04DF37-E ,,,,,0,0
04KMG8-E ,92411656,28050845,92411656,28050845,0,0
04HMN6-E ,42947685,47322662,42947685,47322662,0,0
04C311-E ,,1114760280,,1114760280,0,0
04CG6L-E ,555080823,12771379,555080823,12771379,0,0
04BW9N-E ,1437059594,1831328098,1437059594,1831328098,0,0
04HYJW-E ,294193540,263296491,294193540,263296491,0,0
04BW9L-E ,109910541,479923373,109910541,479923373,0,0
04B8VC-E ,1227586077,2200718367,1227586077,2200718367,0,0
04BW9K-E ,80371335,141982874,80371335,141982874,0,0
04B9GM-E ,836930818,1088418132,836930818,1088418132,0,0
04B9FD-E ,68645154,254908313,68645154,254908313,0,0
04B8R6-E ,494918954,361687027,494918954,361687027,0,0
04F5J4-E ,18479801,,18479801,,0,0
04F989-E ,317030616,376848,317030616,376848,0,0
04KMSK-E ,,372459301,,372459301,0,0
04BVXM-E ,,52991025,,52991025,0,0
04B8FN-E ,1.47E+11,1.90E+11,1.47E+11,1.90E+11,0,0
04B8V5-E ,71431411,321817547,71431411,321817547,0,0
04B8YF-E ,3217101404,11781347772,3217101404,11781347772,0,0
04B8DG-E ,2676817327,15869311159,2676817327,15869311159,0,0
04B8NL-E ,,3394912208,,3394912208,0,0
04B9G4-E ,18874976377,12456162987,18874976377,12456162987,0,0
04BBV1-E ,150051973,645741070,150051973,645741070,0,0
04B8FJ-E ,96439087,549787183,96439087,549787183,0,0
04FGRF-E ,251931591,20056058,251931591,20056058,0,0
04CZHQ-E ,,249277497,,249277497,0,0
04B8KR-E ,46267741,58928930,46267741,58928930,0,0
04BDS2-E ,4668856388,8774428840,4668856388,8774428840,0,0
04B8VY-E ,6428440049,5133760090,6428440049,5133760090,0,0
04BB6S-E ,186670223,1172720043,186670223,1172720043,0,0
04B8VF-E ,213335799,284951423,213335799,284951423,0,0
04BBSG-E ,56264131,268891202,56264131,268891202,0,0
04BHCT-E ,,18317045887,,18317045887,0,0
04B8YG-E ,2567806007,5500604336,2567806007,5500604336,0,0
04BBT5-E ,17141386034,37766941545,17141386034,37766941545,0,0
04BBT3-E ,493562453,1863890947,493562453,1863890947,0,0
04BBBV-E ,441190335,3443375035,441190335,3443375035,0,0
04BY2C-E ,164138983,744307224,164138983,744307224,0,0
04BCZ9-E ,609918666,2905774013,609918666,2905774013,0,0
04B8XY-E ,2464188836,4319795402,2464188836,4319795402,0,0
04B8DY-E ,2580574260,3229237340,2580574260,3229237340,0,0
04B8JW-E ,47507934939,41153750238,47507934939,41153750238,0,0
04BFZ7-E ,1058252858,3271229914,1058252858,3271229914,0,0
04B8V4-E ,412554118,447177759,412554118,447177759,0,0
04BBSH-E ,136626811,812836147,136626811,812836147,0,0
04F3C4-E ,11358685,526556,11358685,526556,0,0
04BBTG-E ,421870558,3605321139,421870558,3605321139,0,0
04BCR8-E ,1054672400,2717062083,1054672400,2717062083,0,0
04F010-E ,62815797,342117,62815797,342117,0,0
04BYKT-E ,,64914518,,64914518,0,0
04HGVY-E ,4767344,17639032,4767344,17639032,0,0
04DF8Z-E ,,,,,0,0
04HJ0D-E ,19579074,14171914,19579074,14171914,0,0
04F2S8-E ,81484018,,81484018,,0,0
04L6J8-E ,,15607814,,15607814,0,0
04CG4J-E ,368447928,,368447928,,0,0
04J0RM-E ,,251750,,251750,0,0
04F97X-E ,1461143261,616298435,1461143261,616298435,0,0
04FCTM-E ,22435922,106426256,22435922,106426256,0,0
04G7N0-E ,56400147,24637196,56400147,24637196,0,0
04B9M9-E ,4266492873,14654550701,4266492873,14654550701,0,0
04GVTQ-E ,33227511,34552025,33227511,34552025,0,0
04DLZ7-E ,582657826,27879190,582657826,27879190,0,0
04HXN6-E ,,135275972,,135275972,0,0
04KBDZ-E ,107956683,133488412,107956683,133488412,0,0
04KPDS-E ,843430102,170561005,843430102,170561005,0,0
04JJDS-E ,,342658286,,342658286,0,0
04JJDV-E ,,466569000,,466569000,0,0
04JRJT-E ,1787071,658623,1787071,658623,0,0
04J5ST-E ,,224992737,,224992737,0,0
04B9XH-E ,303551014,1017014206,303551014,1017014206,0,0
04GTF3-E ,398424872,255603420,398424872,255603420,0,0
04HMRW-E ,,189568574,,189568574,0,0
04GL8S-E ,2781457412,2898842346,2781457412,2898842346,0,0
04GS6K-E ,119950643,220118535,119950643,220118535,0,0
04GZHB-E ,1330724050,,1330724050,,0,0
04JQ9X-E ,,117950090,,117950090,0,0
04G9X1-E ,43389369,14979636,43389369,14979636,0,0
04J2GX-E ,,22544086,,22544086,0,0
04LBXV-E ,1938041,1938040,1938041,1938040,0,0
04KPWJ-E ,2136294,13467273,2136294,13467273,0,0
04BLMN-E ,312223803,1178603063,312223803,1178603063,0,0
04CL0F-E ,3162856,5770046,3162856,5770046,0,0
04G6L2-E ,,462753382,,462753382,0,0
04FGRJ-E ,,3320361753,,3320361753,0,0
04BTVX-E ,304633304,296778464,304633304,296778464,0,0
04F8HD-E ,1561539589,,1561539589,,0,0
04C1J2-E ,4455550,5292996,4455550,5292996,0,0
04DXVV-E ,,,,,0,0
04J522-E ,942833361,1941275554,942833361,1941275554,0,0
04DMFR-E ,1014481886,,1014481886,,0,0
04DRBZ-E ,6259216,296800,6259216,296800,0,0
04BDHJ-E ,5469156772,8849704567,5469156772,8849704567,0,0
04DF19-E ,,,,,0,0
04JT9T-E ,,166531906,,166531906,0,0
04F680-E ,40269230,323752,40269230,323752,0,0
04HW3K-E ,1265423,1043789,1265423,1043789,0,0
04F686-E ,28360245,2237664,28360245,2237664,0,0
04KMG1-E ,14325818,14325819,14325818,14325819,0,0
04KMLX-E ,12440655,12440656,12440655,12440656,0,0
04HW3H-E ,1993047,1292730,1993047,1292730,0,0
04C4PN-E ,5062743,20397544,5062743,20397544,0,0
04HNFW-E ,,624561915,,624561915,0,0
04F637-E ,284619979,364855,284619979,364855,0,0
04DZXW-E ,840415407,12870959,840415407,12870959,0,0
04CRK6-E ,1153149050,373116196,1153149050,373116196,0,0
04B93Z-E ,,,,,0,0
04FWLN-E ,,,,,0,0
04F9SS-E ,,75296303,,75296303,0,0
04JX7N-E ,,4759389,,4759389,0,0
04DHV8-E ,447903221,19843618,447903221,19843618,0,0
04G70S-E ,249259530,1498789,249259530,1498789,0,0
04JCVR-E ,,4163343,,4163343,0,0
04GVKG-E ,26112208,,26112208,,0,0
04GQJ4-E ,181979609,,181979609,,0,0
04J6QK-E ,,16089357,,16089357,0,0
04JWT2-E ,167819734,151202065,167819734,151202065,0,0
04JJ6X-E ,588614638,249421024,588614638,249421024,0,0
04BL0V-E ,20083805,123619283,20083805,123619283,0,0
04K9LK-E ,105171112,360115,105171112,360115,0,0
04G8C5-E ,325458347,517521403,325458347,517521403,0,0
04FMLP-E ,27911585,2364526,27911585,2364526,0,0
04BY0J-E ,90288490,516107446,90288490,516107446,0,0
04BBYF-E ,21556501,149701925,21556501,149701925,0,0
04GTMQ-E ,,125359755,,125359755,0,0
04J5SM-E ,,193999376,,193999376,0,0
04GNVK-E ,,54528191,,54528191,0,0
04H1HM-E ,,2488862789,,2488862789,0,0
04G1JR-E ,34390832454,34390832455,34390832454,34390832455,0,0
04J5SX-E ,,28927813,,28927813,0,0
04FXFX-E ,31180960497,31180960497,31180960497,31180960497,0,0
04G1JQ-E ,41826592088,41826592088,41826592088,41826592088,0,0
04BZH1-E ,1369086717,1341475397,1369086717,1341475397,0,0
04FCK7-E ,,300008108,,300008108,0,0
04L6FR-E ,10497550,11709190,10497550,11709190,0,0
04FGTC-E ,755707792,4577375,755707792,4577375,0,0
04BFYD-E ,98193994377,1.01E+11,98193994377,1.01E+11,0,0
04BNRP-E ,53486981,107261048,53486981,107261048,0,0
04FXSJ-E ,,5007925,,5007925,0,0
04L3FG-E ,901257,901257,901257,901257,0,0
04KWDJ-E ,,556096121,,556096121,0,0
04HKLL-E ,39773637,200047001,39773637,200047001,0,0
04G8RB-E ,114940884,12049693,114940884,12049693,0,0
04L3MQ-E ,,8785712,,8785712,0,0
04C9JK-E ,2738116,6583530,2738116,6583530,0,0
04BJZ2-E ,620398633,804198618,620398633,804198618,0,0
04BXCV-E ,95233814,451217077,95233814,451217077,0,0
04H9KB-E ,75606303,75606305,75606303,75606305,0,0
04FXFF-E ,38810513886,,38810513886,,0,0
04BDHW-E ,67443174,82580302,67443174,82580302,0,0
04CWSQ-E ,565404779,597654556,565404779,597654556,0,0
04JMPB-E ,24925487,10885911,24925487,10885911,0,0
