factset_entity_id,total_aum,equity_aum,Desktop Institution AUM,Desktop Institution Equity AUM
000BJZ-E ,,8437,,8437
000BKX-E ,36000.0,4010,36000,4010
000BL3-E ,7803.0,5265,7803,5265
000BPX-E ,565954.0,164602,565954,164602
000BQ0-E ,,25383,,25383
000BY9-E ,,0,,1474
000BZV-E ,,76,,76
000C65-E ,40215.0,616,40215,616
000C8R-E ,895.0,462,895,462
000C8Y-E ,11566.0,8760,11566,8760
000CGW-E ,246845.0,4391,246845,4391
000CM9-E ,71938.0,57659,71938,57659
000CN3-E ,2640.0,1539,2640,1539
000CND-E ,30747.0,12183,30747,12183
000CXT-E ,294.0,0,294,0
000CZG-E ,,0,,0
000D1Q-E ,170946.0,41674,170946,41674
000D7G-E ,,85396,,85396
000D9W-E ,3170.0,1582,3170,1582
000DPG-E ,2601.0,1990,2601,1990
000DS6-E ,,0,,0
000F6K-E ,3300.0,1638,3300,1638
000FF4-E ,,75524,,75524
000FFT-E ,182.0,74,182,74
000FH6-E ,,150,,150
000HGT-E ,158827.0,60035,158827,60035
000HHF-E ,,0,,2020
000HJ2-E ,,0,,0
000HJ9-E ,569309.0,406040,569309,406040
000HPH-E ,260310.0,38210,260310,38210
000J08-E ,620.0,179,620,179
000JGK-E ,33643.0,10616,33643,10616
000JJ3-E ,,11,,11
000JQM-E ,,35,,35
000JTR-E ,27233.0,14008,27233,14008
000JVD-E ,14344.0,867,14344,867
000KJ7-E ,96032.0,82301,96032,82301
000KN8-E ,,19517,,19517
000KS1-E ,1357.0,388,1357,388
000KVL-E ,14271.0,13756,14271,13756
000L3V-E ,60516.0,35655,60516,35655
000LH7-E ,118112.0,97003,118112,97003
000LH9-E ,,5523,,5523
000LLN-E ,1731.0,1434,1731,1434
000LV0-E ,,434,,434
000LXL-E ,,25429,,25429
000LXS-E ,139.0,129,139,129
000N8F-E ,168101.0,20322,168101,20322
000NVY-E ,16259.0,13076,16259,13076
000NWD-E ,592.0,411,592,411
000NWQ-E ,3637.0,1861,3637,1861
000VR8-E ,,11,,11
000P1Y-E ,,3421,,3421
000P57-E ,,15157,,15157
000P8J-E ,230318.0,50229,230318,50229
000P8M-E ,182625.0,32706,182625,32706
000PC4-E ,,14239,,14239
000PHW-E ,332686.0,288860,332686,288860
000PVR-E ,24270.0,673,24270,673
000Q6S-E ,1401287.0,273626,1401287,273626
000R62-E ,,1191,,1191
000R9G-E ,118100.0,39406,118100,39406
000RBG-E ,4906.0,4233,4906,4233
000RGG-E ,27664.0,4558,27664,4558
000T3H-E ,3235.0,2236,3235,2236
000TGV-E ,75348.0,52634,75348,52634
000TNX-E ,940638.0,720112,940638,720112
000YPS-E ,132300.0,207,132300,207
000TRY-E ,,5942,,5942
000TWY-E ,845936.0,4230,845936,4230
000V62-E ,,262,,262
000V67-E ,,284,,284
0010SD-E ,,59,,59
000VN1-E ,157.0,117,157,117
000WMY-E ,,2111,,2111
0013XN-E ,,1,,1
000WWX-E ,,80617,,80617
000WX0-E ,117300.0,36788,117300,36788
0017GJ-E ,50.0,3,50,3
000X3M-E ,,568,,568
000XKH-E ,39073.0,10350,39073,10350
000XTC-E ,,930,,930
000XTG-E ,,0,,0
000Y72-E ,,245,,245
000YND-E ,13519.0,10636,13519,10636
001BMP-E ,,8,,8
000YS6-E ,1035310.0,509246,1035310,509246
000Z93-E ,129.0,118,129,118
000ZBK-E ,15037.0,10936,15037,10936
000ZCN-E ,26951.0,154,26951,154
000ZXF-E ,109109.0,1481,109109,1481
001018-E ,,24,,24
00103D-E ,1630.0,1190,N/A,N/A
00104F-E ,40523.0,25786,N/A,N/A
00107D-E ,1122.0,722,N/A,N/A
001091-E ,4500.0,4196,N/A,N/A
0010BL-E ,,2634,N/A,N/A
