contact_id,factset_person_id,discrepancy
57d38cd791aea376a7b93ab3,0DQWCS-E,
,0GHKFZ-E,
57d38cbe91aea376a7b8ad5f,0C6TB6-E,
,0BG9YC-E,
57d38cbe91aea376a7b8ad5c,0C6T8W-E,
57d38cdf91aea376a7b955d5,0F1CMV-E,
5a8f4c8a9fca31fae2aad964,0J2WQ9-E,
5a4426c35890ddad1ff0b765,0F1CJX-E,
57d38c6b91aea376a7b727f2,05SRLG-E,
584be206c6f2f2bd34d18bf7,0GPPG0-E,
57d38c9e91aea376a7b82d95,086385-E,
57d38cdf91aea376a7b9571f,0F22LH-E,
,0GHKFG-E,
57d38cfc91aea376a7b9e659,0DKWJD-E,
57d38c9491aea376a7b7f34c,07BYM7-E, --- [0] value  --- [0] value  --- [0] value 
,,
57d38c5a91aea376a7b6e948,05G73K-E,
,065D6Q-E,
,,
57d38c9591aea376a7b7fc39,07F4HP-E,
,0GHKFL-E,
,065D6Y-E,
,,
,,
57d38c6491aea376a7b70ddc,05L86P-E,
,065D6J-E,
57d38c7391aea376a7b7501a,064KDP-E,
,,
57d38cf791aea376a7b9dbd0,0GHKG2-E,
,06JHQ6-E,
,,
5a9b2c3b9fca31fae28a69e4,0J4SJX-E,
,05PCX2-E,
57d38cbe91aea376a7b8ae10,0C71RX-E,
,0KR3F9-E,
57d38c7391aea376a7b7501c,064KDY-E,
,,
59824db89dc990fd54db7f6c,05NRQW-E,
,,
,0C85N2-E,
,,
57d38ce791aea376a7b98710,0FWTNS-E,
57d38ca591aea376a7b84a84,09RBHP-E,
57d38c7b91aea376a7b777aa,06HZH1-E,
,,
,,
57d38cae91aea376a7b87ac4,0BGB18-E, --- [0] value  --- [0] value  --- [0] value 
,0GHKFV-E,
,0F19HV-E,
,05LHZL-E,
57d38c6c91aea376a7b73284,05XCKH-E,
,,
57d38c9491aea376a7b7f4f1,07C94X-E,
57d38c6591aea376a7b71a3b,05NRS5-E,
595eb5a15f20d4a8bb19c3e4,0H5RR5-E,
,05L864-E,
57d38c6b91aea376a7b727f1,05SRLB-E,
,0GHKFH-E,
,0DF76J-E,
57d38cd491aea376a7b91d08,0DFGRK-E,
57d38c9491aea376a7b7f4f3,07C961-E, --- [0] value 
,0F19H7-E,
57d38cbe91aea376a7b8ae0f,0C71R5-E,
,0GHKG1-E,
57d38cd791aea376a7b937cb,0DPWN8-E, --- [0] value  --- [0] value  --- [0] value 
,065D6V-E,
,,
,,
,,
,06JHWV-E,
,,
,0C6T5Y-E,
,,
,0F1CKK-E,
,05SRL3-E,
,05PD25-E,
,,
57d38c6291aea376a7b70188,05K9JG-E,
57d38c6491aea376a7b70e0d,05L865-E,
,,
57d38cae91aea376a7b87ac2,0BG9VX-E, --- [0] value  --- [0] value  --- [0] value  --- [0] value 
,0F19H4-E,
57d38c6491aea376a7b70e0c,05L85Z-E,
,,
57d38c7391aea376a7b7501d,064KF7-E, --- [0] value  --- [0] value  --- [0] value 
57d38ce791aea376a7b9843e,0FVXT2-E,
5ce9721d61062e15713e7c28,0L111X-E,
,0B5FVT-E,
5aa06f4d9fca31fae2b617f5,0J5B70-E,
,0C6T5N-E,
,,
,,
59fe3e2c5890ddad1fb9a084,05TLGF-E,
,0C6T5H-E,
57d38c6591aea376a7b71b9a,05PCZ3-E,
,05SRM4-E,
,,
,0F19HQ-E,
,064KDT-E,
,0F1CN3-E,
,,
,05LBZZ-E,
,0GWFH8-E,
,07FYFJ-E,
58b55c0c84b0cbe17209535c,0GWFL4-E,
58b6ad5b84b0cbe172324ad8,05KDDY-E,
57d38c5a91aea376a7b6ebae,05GDYR-E,
,05LBZ2-E,
,0GFS37-E,
,,
,0BDK8Q-E,
57d38cfb91aea376a7b9deb2,05HLK5-E,
,0B3QS3-E,
,06611V-E,
,,
,,
,0DF4Z7-E,
,0DG1RG-E,
57d38cfb91aea376a7b9df8c,0B7YTT-E, --- Profile Region Code: ['U.S.'] 
,06FGWC-E,
57d38c6c91aea376a7b736a9,05YJ38-E," --- Profile Region Code: ['Global', 'Emerging Markets'] "
,0D56TJ-E,
,06JX76-E,
57d38cfb91aea376a7b9ded4,05WZV0-E,
,071X20-E,
,,
,071X23-E,
,0DTWQF-E,
57d38c8391aea376a7b79a7e,06QHDV-E, --- [0] value 
57d38cfb91aea376a7b9ded8,05Z02V-E,
57d38c6b91aea376a7b72ce5,05VCJW-E,
,05RLNN-E,
,,
57d38ca591aea376a7b84bb2,09RWV8-E,
,06MMGG-E,
,06GNKG-E,
,,
,,
57d38cfc91aea376a7b9e9ec,0D5ZTL-E,
5889d7b1c6f2f2bd340b2401,0GFLBW-E,
,,
57d38cc891aea376a7b8f021,0CYP3M-E,
,0021FM-E,
,0GGXLZ-E,
5889d86cc6f2f2bd340b2a61,09RX51-E,
593090fce7402ac1b939cd31,0H2V9Z-E,
,,
,,
,,
,05WGFV-E,
,0GGX69-E,
5889d7b1c6f2f2bd340b238e,0GFHPL-E,
,05N3V2-E,
,0DDQK8-E,
,0LC66W-E,
,,
57d38cf491aea376a7b9bc3a,07HRXW-E,
