factset_fund_id,fsym_id,adj_holding,reported_holding,Desktop Fund AUM
04K876-E,HKM5XZ-S,0.0,0,0
04BSZ3-E,HKM5XZ-S,0.0,0,0
04J19K-E,HKM5XZ-S,0.0,0,0
04GLNJ-E,HKM5XZ-S,0.0,0,0
04F5WY-E,HKM5XZ-S,0.0,0,0
04KR8D-E,HKM5XZ-S,0.0,0,0
04KR8D-E,HKM5XZ-S,0.0,0,0
04KR8D-E,HKM5XZ-S,0.0,0,0
04KR8D-E,HKM5XZ-S,0.0,0,0
04FYDG-E,HKM5XZ-S,0.0,0,0
04D366-E,HKM5XZ-S,0.0,0,0
04HKS1-E,HKM5XZ-S,0.0,0,
04J9D1-E,HKM5XZ-S,0.0,0,0
04HKS0-E,HKM5XZ-S,0.0,0,
04HKS3-E,HKM5XZ-S,0.0,0,
04HKS2-E,HKM5XZ-S,0.0,0,
04GGQQ-E,HKM5XZ-S,0.0,0,
04JQZK-E,HKM5XZ-S,0.0,0,
04LCGJ-E,HKM5XZ-S,1.0,1,
04H0XY-E,HKM5XZ-S,1.0,1,1
04KV1Q-E,HKM5XZ-S,1.0,1,0
04HKRZ-E,HKM5XZ-S,1.0,1,
04HKS2-E,HKM5XZ-S,1.0,1,
04HKS1-E,HKM5XZ-S,1.0,1,
04HKS3-E,HKM5XZ-S,1.0,1,
04HKS0-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04HKS0-E,HKM5XZ-S,1.0,1,
04HKS1-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04HKS2-E,HKM5XZ-S,1.0,1,
04HKRZ-E,HKM5XZ-S,1.0,1,
04HKS3-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04HKRZ-E,HKM5XZ-S,1.0,1,
04HKRZ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04H01Z-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04JQZK-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04JQZK-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04FWCZ-E,HKM5XZ-S,1.0,1,0
04FWCZ-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04FWCZ-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04FWCZ-E,HKM5XZ-S,1.0,1,0
04FWCZ-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04G28Q-E,HKM5XZ-S,1.0,1,0
04FWCZ-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04FWCZ-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04FWCZ-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04FWCZ-E,HKM5XZ-S,1.0,1,0
04G28Q-E,HKM5XZ-S,1.0,1,0
04G28Q-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04GD24-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04G28Q-E,HKM5XZ-S,1.0,1,0
04FWCZ-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04FWCZ-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04FWCZ-E,HKM5XZ-S,1.0,1,0
04FWCZ-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04G28Q-E,HKM5XZ-S,1.0,1,0
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04GGQQ-E,HKM5XZ-S,1.0,1,
04D7NT-E,HKM5XZ-S,1.0,1,
04D1TP-E,HKM5XZ-S,1.0,1,
04G28W-E,HKM5XZ-S,1.0,1,0
04G28W-E,HKM5XZ-S,1.0,1,0
04CSXH-E,HKM5XZ-S,1.0,1,
04CLGQ-E,HKM5XZ-S,1.0,1,
04CSXH-E,HKM5XZ-S,1.0,1,
04CLGQ-E,HKM5XZ-S,1.0,1,
04FDJP-E,HKM5XZ-S,1.0,1,
04KRDY-E,HKM5XZ-S,2.0,2,0
04L0TJ-E,HKM5XZ-S,2.0,2,23
04JMFX-E,HKM5XZ-S,2.0,2,0
04JMFX-E,HKM5XZ-S,2.0,2,0
04HKS0-E,HKM5XZ-S,2.0,2,
04HKS3-E,HKM5XZ-S,2.0,2,
04KB6S-E,HKM5XZ-S,2.0,2,6
04G2ZY-E,HKM5XZ-S,2.0,2,6
04G2ZY-E,HKM5XZ-S,2.0,2,6
04G2ZY-E,HKM5XZ-S,2.0,2,6
04G2ZY-E,HKM5XZ-S,2.0,2,6
04G4J9-E,HKM5XZ-S,2.0,2,33
04G4J9-E,HKM5XZ-S,2.0,2,33
04G4J9-E,HKM5XZ-S,2.0,2,33
04HKRZ-E,HKM5XZ-S,2.0,2,
04G28W-E,HKM5XZ-S,2.0,2,0
04G28W-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04G28Q-E,HKM5XZ-S,2.0,2,0
04G2ZY-E,HKM5XZ-S,2.0,2,6
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04G28Q-E,HKM5XZ-S,2.0,2,0
04G2ZY-E,HKM5XZ-S,2.0,2,6
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04G28Q-E,HKM5XZ-S,2.0,2,0
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04HKRZ-E,HKM5XZ-S,2.0,2,
04FWCZ-E,HKM5XZ-S,2.0,2,0
04HKRZ-E,HKM5XZ-S,2.0,2,
04HKRZ-E,HKM5XZ-S,2.0,2,
04DXM3-E,HKM5XZ-S,2.0,2,
04G28N-E,HKM5XZ-S,2.0,2,0
04H0XX-E,HKM5XZ-S,3.0,3,3
04L14V-E,HKM5XZ-S,3.0,3,110
04KSXW-E,HKM5XZ-S,3.0,3,0
04HM84-E,HKM5XZ-S,3.0,3,0
