factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating,Style Desktop,Turnover Desktop,AUM Desktop,Equity AUM Desktop,Quality Rating Desktop,Targeting_Score Desktop,Position Desktop,STYLE MATCH,TURNOVER MATCH,POSITION MATCH,QR MATCH
0C79D0-E,"Ohio National Investments, Inc.",1405,GARP,Low,439.892756,62,GARP,Very Low,11365,42,62,65,0,TRUE,FALSE,FALSE,TRUE
003RTX-E,BMO Capital Markets (Canada),54128,Yield,Medium,0,0,Yield,Medium,,31,0,19,0,TRUE,TRUE,FALSE,TRUE
0090G1-E,OFI Advisors LLC,3579,,Medium,7051.915418,55,,Medium,,,55,,4168,TRUE,TRUE,FALSE,TRUE
0011Y4-E,"M. D. Sass Investors Services, Inc.",77997,Hedge Fund,Medium,711.250056,41,Hedge Fund,Medium,1901,610,41,44,REQUEST FAILED,TRUE,TRUE,FALSE,TRUE
002HPC-E,TIAA-CREF Investment Management LLC,743732,Growth,Low,143784.4492,89,Growth,Low,207601,182609,89,96,1043732,TRUE,TRUE,FALSE,TRUE
05LMXJ-E,"BNP Paribas Asset Management USA, Inc.",67407,GARP,Low,9896.170674,73,GARP,Low,47501,1165,73,91,0,TRUE,TRUE,FALSE,TRUE
0CZFH6-E,Neuberger Berman Breton Hill ULC,76,Hedge Fund,Low,1370.116107,39,Hedge Fund,Low,,868,39,39,166,TRUE,TRUE,FALSE,TRUE
0030HL-E,"The Swarthmore Group, Inc.",0,GARP,Very Low,235.536665,63,GARP,Medium,1415,23,63,65,0,TRUE,FALSE,TRUE,TRUE
0032LL-E,Boyd Watterson Asset Management LLC,0,Yield,Low,177.70996,52,Yield,Very Low,6915,156,52,61,0,TRUE,FALSE,TRUE,TRUE
09JG5H-E,Private Capital Group LLC,1925,Agg Growth,Low,531.324772,33,Agg Growth,Very Low,1100,3,33,,1925,TRUE,FALSE,TRUE,TRUE
0CTGKL-E,Claro Advisors LLC,0,Agg Growth,Low,126.747809,29,Agg Growth,Very Low,245,,29,,0,TRUE,FALSE,TRUE,TRUE
0DLF9F-E,Beirne Wealth Consulting Services LLC,2246,Agg Growth,Low,133.962006,30,Agg Growth,Medium,2295,,30,,2246,TRUE,FALSE,TRUE,TRUE
0G4R70-E,Element Pointe Advisors LLC,1119,Agg Growth,Medium,180.162838,28,Agg Growth,Very Low,341,,28,,1119,TRUE,FALSE,TRUE,TRUE
0J1JCR-E,"Financial Gravity Wealth, Inc.",53,,High,228.599854,32,,Medium,168,116,32,,53,TRUE,FALSE,TRUE,TRUE
001150-E,Manning & Napier Advisors LLC,0,GARP,Low,9633.426941,77,GARP,Medium,24527,10131,77,100,0,TRUE,FALSE,TRUE,TRUE
001T29-E,"Conning, Inc.",248780,Yield,Low,3255.685844,66,Yield,Very Low,74184,3074,66,76,248780,TRUE,FALSE,TRUE,TRUE
002FQB-E,F.L. Putnam Investment Management Co.,33698,GARP,Very Low,1235.679535,70,GARP,Low,1789,1168,70,79,33698,TRUE,FALSE,TRUE,TRUE
002GD0-E,"James Investment Research, Inc.",0,GARP,Medium,1794.087608,52,GARP,Low,5163,2,52,59,0,TRUE,FALSE,TRUE,TRUE
002H2Z-E,Hartford Investment Management Co.,27162,GARP,Low,3632.382262,66,GARP,Very Low,101912,3486,66,68,27162,TRUE,FALSE,TRUE,TRUE
002H7S-E,RNC Capital Management LLC,1139,Yield,Medium,1512.198554,62,Yield,Low,3730,1375,62,77,1139,TRUE,FALSE,TRUE,TRUE
002H8L-E,Westwood Management Corp. (Illinois),3000,GARP,Very Low,770.686706,73,GARP,Low,,736,73,65,3000,TRUE,FALSE,TRUE,TRUE
0034KK-E,Eastern Bank Corp. (Private Banking),87342,GARP,Medium,1508.477597,60,GARP,Low,,1490,60,84,87342,TRUE,FALSE,TRUE,TRUE
003FZJ-E,"St. Germain Investment Management, Inc.",3738,GARP,Low,929.311181,64,GARP,Very Low,1395,880,64,66,3738,TRUE,FALSE,TRUE,TRUE
00BDK5-E,Confluence Investment Management LLC,116422,GARP,Low,6204.390441,74,GARP,Very Low,,266,74,82,116422,TRUE,FALSE,TRUE,TRUE
00D157-E,Nelson Roberts Investment Advisors LLC,0,GARP,Low,407.408188,51,GARP,Very Low,520,400,51,33,0,TRUE,FALSE,TRUE,TRUE
00DQJ0-E,Community Financial Services Group LLC,0,Yield,Low,309.879598,56,Yield,Very Low,600,294,56,71,0,TRUE,FALSE,TRUE,TRUE
05FBN4-E,Coutts & Co.,142231,GARP,Medium,421.287136,55,GARP,Very Low,,1055,55,,142231,TRUE,FALSE,TRUE,TRUE
05FWLZ-E,Aberdeen Asset Investments Ltd.,43139,GARP,Medium,9004.736177,66,GARP,Low,,44623,66,83,43139,TRUE,FALSE,TRUE,TRUE
05HP6D-E,AMP Capital Investors Ltd.,64494,GARP,Low,18195.65794,77,GARP,Very Low,,21739,77,80,64494,TRUE,FALSE,TRUE,TRUE
06QBDB-E,Mn Services Vermogensbeheer BV,121037,GARP,Very Low,8781.12329,78,GARP,Low,,10585,78,,121037,TRUE,FALSE,TRUE,TRUE
