factset_fund_id,fs_perm_sec_id,fsym_id_1,security_name,fsym_id,FS_Mkt_Val,FS_Position,Upper_Case_Name,NAME,Mkt_Val,Pos,Market Value Desktop,Position Desktop
04CC29-E,BRW5PN-S-DE,BRW5PN-S,1&1 DRILLISCH AG  ORD,BRW5PN-S,38.0,1110.0,1&1 DRILLISCH AG  ORD,1&1 Drillisch Ag  Ord,38,"1,110",56457465,1109543
04CC29-E,T1N9J9-S-US,T1N9J9-S,1ST SOURCE CORP  COM,T1N9J9-S,14.0,314.0,1ST SOURCE CORP  COM,1St Source Corp  Com,14,314,1425928,314073
04CC29-E,LK2SPQ-S-US,LK2SPQ-S,2U INC  COM,M3YB0T-S,9.0,225.0,21VIANET GROUP INC  SPONSORED ADR A,21Vianet Group Inc  Sponsored Adr A,10,"1,258",3528996,23465109
04CC29-E,M3YB0T-S-HK,M3YB0T-S,361 DEGREES INTL LTD  ORD,HQ43T9-S,4.0,23465.0,2U INC  COM,2U Inc  Com,9,225,1103171,531919
04CC29-E,HQ43T9-S-US,HQ43T9-S,3D SYSTEMS CORP  COM,R1CDW6-S,5.0,532.0,361 DEGREES INTL LTD  ORD,361 Degrees Intl Ltd  Ord,4,"23,465",190228255,19312474
04CC29-E,R1CDW6-S-GB,R1CDW6-S,3I GROUP PLC  ORD,R17LLM-S,274.0,19312.0,3D SYSTEMS CORP  COM,3D Systems Corp  Com,5,532,314261903,4630540
04CC29-E,R17LLM-S-US,R17LLM-S,3M CO  COM,MCQN55-S,800.0,4631.0,3I GROUP PLC  ORD,3I Group Plc  Ord,274,"19,312",166106,56693
04CC29-E,MCQN55-S-KR,MCQN55-S,3S KOREA CO LTD  ORD,,,,3M CO  COM,3M Co  Com,800,"4,631",-,-
04CC29-E,R09S53-S-HK,R09S53-S,3SBIO INC  ORD,R09S53-S,24.0,13524.0,3SBIO INC  ORD,3Sbio Inc  Ord,24,"13,524",5920203,13524044
04CC29-E,X469W6-S-VN,X469W6-S,577 INVESTMENT (NBB) CORP  ORD,,,,51JOB INC  ORD,51Job Inc  Ord,21,276,-,-
04CC29-E,VNQD6D-S-US,VNQD6D-S,58 COM INC  SPONSORED ADR,VNQD6D-S,60.0,1028.0,58 COM INC  SPONSORED ADR,58 Com Inc  Sponsored Adr,60,"1,028",32416630,1028251
04CC29-E,RF2255-S-MY,RF2255-S,7 ELEVEN MALAYSIA HOLDINGS BHD  ORD,,,,888 HOLDINGS PLC  ORD,888 Holdings Plc  Ord,20,"10,043",-,-
04CC29-E,DRDJFN-S-GB,DRDJFN-S,888 HOLDINGS PLC  ORD,RF2255-S,20.0,10043.0,8X8 INC  COM,8X8 Inc  Com,21,802,-,-
04CC29-E,TP4L0D-S-US,TP4L0D-S,8X8 INC  COM,DRDJFN-S,21.0,802.0,A LIVING SERVICES CO LTD  ORD H,A Living Services Co Ltd  Ord H,5,"2,324",12072923,10043152
04CC29-E,BCDMFW-S-JP,BCDMFW-S,A&D CO LTD  ORD,,,,A2 MILK CO LTD  ORD,A2 Milk Co Ltd  Ord,120,"10,780",-,-
04CC29-E,GKZCDL-S-NZ,GKZCDL-S,A2 MILK CO LTD  ORD,BCDMFW-S,120.0,10780.0,A2A SPA  ORD,A2A Spa  Ord,58,"32,091",901212,160424
04CC29-E,GKYFMQ-S-IT,GKYFMQ-S,A2A SPA  ORD,GKZCDL-S,58.0,32091.0,AA PLC  ORD,Aa Plc  Ord,11,"17,284",80594737,10779554
04CC29-E,NQQ04G-S-AU,NQQ04G-S,A2B AUSTRALIA LTD  ORD,,,,AAC TECHNOLOGIES HOLDINGS INC  ORD,Aac Technologies Holdings Inc  Ord,54,"9,628",-,-
04CC29-E,JTPZQV-S-GB,JTPZQV-S,AA PLC  ORD,GKYFMQ-S,11.0,17284.0,AAK AB  ORD,Aak Ab  Ord,73,"3,704",31781168,32091053
04CC29-E,WT16SC-S-HK,WT16SC-S,AAC TECHNOLOGIES HOLDINGS INC  ORD,NQQ04G-S,54.0,9628.0,AALBERTS NV  ORD,Aalberts Nv  Ord,101,"2,594",4469070,2477203
04CC29-E,VNQ8GS-S-SE,VNQ8GS-S,AAK AB  ORD,JTPZQV-S,73.0,3704.0,AAON INC  COM,Aaon Inc  Com,12,240,31855944,17284139
04CC29-E,QCSKBL-S-NL,QCSKBL-S,AALBERTS INDUSTRIES NV  ORD,,,,AAR CORP  COM,Aar Corp  Com,10,232,-,-
04CC29-E,HSDCT7-S-US,HSDCT7-S,AAON INC  COM,VNQ8GS-S,12.0,240.0,AAREAL BANK AG  ORD,Aareal Bank Ag  Ord,41,"1,562",42233833,3703666
04CC29-E,WHQNFK-S-US,WHQNFK-S,AAR CORP  COM,QCSKBL-S,10.0,232.0,AARONS INC  COM,Aarons Inc  Com,59,919,144681157,2593940
04CC29-E,QG67SP-S-DE,QG67SP-S,AAREAL BANK AG  ORD,HSDCT7-S,41.0,1562.0,ABACUS PROPERTY GROUP  ORD,Abacus Property Group  Ord,19,"6,561",7908520,239574
04CC29-E,RK3780-S-US,RK3780-S,AARONS INC  COM,WHQNFK-S,59.0,919.0,ABB INDIA LTD  ORD,Abb India Ltd  Ord,4,190,13438658,232236
04CC29-E,LHK05H-S-FR,LHK05H-S,AB SCIENCE SA  ORD,,,,ABB LTD  ORD REG,Abb Ltd  Ord Reg,670,"35,318",-,-
04CC29-E,TKL39Q-S-AU,TKL39Q-S,ABACUS PROPERTY GROUP  ORD,QG67SP-S,19.0,6561.0,ABBOTT LABORATORIES  COM,Abbott Laboratories  Com,"1,388","16,563",48203939,1561933
04CC29-E,CRKM9K-S-IN,CRKM9K-S,ABB INDIA LTD  ORD,RK3780-S,4.0,190.0,ABBVIE INC  COM,Abbvie Inc  Com,956,"13,604",40324323,918744
04CC29-E,B00N7M-S-CH,B00N7M-S,ABB LTD  ORD REG,LHK05H-S,670.0,35318.0,ABC MART INC  ORD,Abc Mart Inc  Ord,39,629,-,-
04CC29-E,Q1KJQ2-S-US,Q1KJQ2-S,ABBOTT LABORATORIES  COM,TKL39Q-S,1388.0,16563.0,ABDULLAH AL OTHAIM MARKETS CO  ORD,Abdullah Al Othaim Markets Co  Ord,12,526,15102925,6560556
04CC29-E,V3049L-S-US,V3049L-S,ABBVIE INC  COM,CRKM9K-S,956.0,13604.0,ABERCROMBIE & FITCH CO  CL A,Abercrombie & Fitch Co  Cl A,23,"1,283",6022504,190205
04CC29-E,D1R73N-S-FR,D1R73N-S,ABC ARBITRAGE SA  ORD,,,,ABIOMED INC  COM,Abiomed Inc  Com,122,470,-,-
04CC29-E,BGYPC5-S-JP,BGYPC5-S,ABC MART INC  ORD,B00N7M-S,39.0,629.0,ABITARE IN SPA  ORD,Abitare In Spa  Ord,4,71,927429514,35318311
04CC29-E,S5N94S-S-GB,S5N94S-S,ABCAM PLC  ORD,,,,ABM INDUSTRIES INC  COM,Abm Industries Inc  Com,18,422,-,-
04CC29-E,NL5QQY-S-SA,NL5QQY-S,ABDULLAH AL OTHAIM MARKETS CO  ORD,Q1KJQ2-S,12.0,526.0,ABN AMRO BANK NV  UNSPONS ADR,Abn Amro Bank Nv  Unspons Adr,111,"10,252",542613483,16562558
04CC29-E,CJQ9C9-S-ES,CJQ9C9-S,ABENGOA SA  ORD,,,,ABSA GROUP LTD  ORD,Absa Group Ltd  Ord,84,"6,894",-,-
04CC29-E,QF2V5D-S-US,QF2V5D-S,ABERCROMBIE & FITCH CO  CL A,V3049L-S,23.0,1283.0,ABU DHABI COMMERCIAL BANK  ORD,Abu Dhabi Commercial Bank  Ord,13,"5,617",1237009100,13604049
04CC29-E,G8WYPH-S-TW,G8WYPH-S,ABILITY ENTERPRISE CO LTD  ORD,,,,ABU DHABI ISLAMIC BANK EGYPT  ORD,Abu Dhabi Islamic Bank Egypt  Ord,4,"5,581",-,-
04CC29-E,DF3N8D-S-US,DF3N8D-S,ABIOMED INC  COM,D1R73N-S,122.0,470.0,ABU DHABI NATL OIL CO FOR DISTR  ORD,Abu Dhabi Natl Oil Co For Distr  Ord,15,"19,689",3002118,398105
04CC29-E,S5MJQ2-S-KR,S5MJQ2-S,ABLE C&C  ORD,,,,ACACIA COMMUNICATIONS INC  COM,Acacia Communications Inc  Com,8,120,-,-
04CC29-E,L7GJB9-S-US,L7GJB9-S,ABM INDUSTRIES INC  COM,S5N94S-S,18.0,422.0,ACACIA MINING PLC  ORD,Acacia Mining Plc  Ord,7,"3,210",10851783,92166
04CC29-E,D7PLDB-S,D7PLDB-S,ABN AMRO GROUP NV  ORD,,,,ACADIA HEALTHCARE CO INC  COM,Acadia Healthcare Co Inc  Com,32,967,-,-
04CC29-E,RS39N3-S-US,RS39N3-S,ABN AMRO GROUP NV  UNSPONS ADR,,,,ACADIA PHARMACEUTICALS INC  COM,Acadia Pharmaceuticals Inc  Com,26,972,-,-
04CC29-E,C4DTT9-S-EG,C4DTT9-S,ABOU KIR FERTILIZERS  ORD,,,,ACADIA REALTY TRUST  SBI,Acadia Realty Trust  Sbi,28,"1,010",-,-
04CC29-E,H43PS7-S-ZA,H43PS7-S,ABSA GROUP LTD  ORD,CJQ9C9-S,84.0,6894.0,ACBEL POLYTECH INC  ORD,Acbel Polytech Inc  Ord,8,"11,381",-,-
04CC29-E,BNJXRR-S-AE,BNJXRR-S,ABU DHABI COMMERCIAL BANK  ORD,QF2V5D-S,13.0,5617.0,ACCELERON PHARMA INC  COM,Acceleron Pharma Inc  Com,16,403,12162302,1282682
04CC29-E,BYKJ48-S-EG,BYKJ48-S,ABU DHABI ISLAMIC BANK EGYPT  ORD,G8WYPH-S,4.0,5581.0,ACCELL GROUP NV  ORD,Accell Group Nv  Ord,25,903,1544623,4012221
