factset_fund_id,fs_perm_sec_id,fsym_id,MATCH FSYM-ID,security_name,FS_Mkt_Val,FS_Position,Market Value Desktop,Position Desktop,Market_Value DIFFERENCE,Position_DIFFERENCE
04CC29-E,BRW5PN-S-DE,BRW5PN-S,TRUE,1&1 DRILLISCH AG ORD,38279411,1109543,90089584,1109543,-51810173,0
04CC29-E,T1N9J9-S-US,T1N9J9-S,TRUE,1ST SOURCE CORP  COM,14359418,314073,6164461,314073,8194957,0
04CC29-E,LK2SPQ-S-US,LK2SPQ-S,TRUE,2U INC  COM,8803095,225028,5698942,225028,3104153,0
04CC29-E,M3YB0T-S-HK,M3YB0T-S,TRUE,361 DEGREES INTL LTD  ORD,4468695,23465109,8104525,23465109,-3635830,0
04CC29-E,HQ43T9-S-US,HQ43T9-S,TRUE,3D SYSTEMS CORP  COM,4670249,531919,5409616,531919,-739367,0
04CC29-E,R1CDW6-S-GB,R1CDW6-S,TRUE,3I GROUP PLC  ORD,273877339,19312474,78491705,19312474,195385634,0
04CC29-E,R17LLM-S-US,R17LLM-S,TRUE,3M CO  COM,802657804,4630540,641540666,4630540,161117138,0
04CC29-E,MCQN55-S-KR,MCQN55-S,TRUE,3S KOREA CO LTD  ORD,,,166106,56693,-166106,-56693
04CC29-E,R09S53-S-HK,R09S53-S,TRUE,3SBIO INC  ORD,23335332,13524044,5920203,13524044,17415129,0
04CC29-E,X469W6-S-VN,X469W6-S,TRUE,577 INVESTMENT (NBB) CORP  ORD,,,1439091,2587081,-1439091,-2587081
04CC29-E,VNQD6D-S-US,VNQD6D-S,TRUE,58 COM INC  SPONSORED ADR,59535733,1028251,32416630,1028251,27119103,0
04CC29-E,RF2255-S-MY,RF2255-S,TRUE,7 ELEVEN MALAYSIA HOLDINGS BHD  ORD,,,-,-,-,-
04CC29-E,DRDJFN-S-GB,DRDJFN-S,TRUE,888 HOLDINGS PLC  ORD,19818453,10043152,12072923,10043152,7745530,0
04CC29-E,TP4L0D-S-US,TP4L0D-S,TRUE,8X8 INC  COM,20749240,802058,3170310,802058,17578930,0
04CC29-E,BCDMFW-S,BCDMFW-S,TRUE,A&D CO LTD  ORD,,,1269250,160424,-1269250,-160424
04CC29-E,GKZCDL-S-NZ,GKZCDL-S,TRUE,A2 MILK CO LTD  ORD,119622220,10779554,45546733,10779554,74075487,0
04CC29-E,GKYFMQ-S-IT,GKYFMQ-S,TRUE,A2A SPA  ORD,58065551,32091053,57702281,32091053,363270,0
04CC29-E,NQQ04G-S-AU,NQQ04G-S,TRUE,A2B AUSTRALIA LTD  ORD,,,4469070,2477203,-4469070,-2477203
04CC29-E,JTPZQV-S-GB,JTPZQV-S,TRUE,AA PLC  ORD,10833525,17284139,31855944,17284139,-21022419,0
04CC29-E,WT16SC-S-HK,WT16SC-S,TRUE,AAC TECHNOLOGIES HOLDINGS INC  ORD,52420903,9627665,14723544,9627665,37697359,0
04CC29-E,VNQ8GS-S-SE,VNQ8GS-S,TRUE,AAK AB  ORD,72471559,3703666,30998026,3703666,41473533,0
04CC29-E,QCSKBL-S-NL,QCSKBL-S,TRUE,AALBERTS INDUSTRIES NV  ORD,,,41833167,2593940,-41833167,-2593940
04CC29-E,RK3780-S-US,RK3780-S,TRUE,AANS INC  COM,,,24455939,918744,-24455939,-918744
04CC29-E,HSDCT7-S-US,HSDCT7-S,TRUE,AAON INC  COM,12275772,239574,8256671,239574,4019101,0
04CC29-E,WHQNFK-S-US,WHQNFK-S,TRUE,AAR CORP  COM,9593669,232236,13438658,232236,-3844989,0
04CC29-E,QG67SP-S-DE,QG67SP-S,TRUE,AAREAL BANK AG  ORD,40916116,1561933,85257596,1561933,-44341480,0
04CC29-E,LHK05H-S-FR,LHK05H-S,TRUE,AB SCIENCE SA  ORD,,,-,-,-,-
04CC29-E,TKL39Q-S-AU,TKL39Q-S,TRUE,ABACUS PPERTY GUP  ORD,,,15102925,6560556,-15102925,-6560556
04CC29-E,CRKM9K-S-IN,CRKM9K-S,TRUE,ABB INDIA LTD  ORD,4156071,190205,6022504,190205,-1866433,0
04CC29-E,B00N7M-S-CH,B00N7M-S,TRUE,ABB LTD  ORD REG,664604436,35318311,908112964,35318311,-243508528,0
04CC29-E,Q1KJQ2-S-US,Q1KJQ2-S,TRUE,ABBOTT LABORATORIES  COM,1389929867,16562558,542613483,16562558,847316384,0
04CC29-E,V3049L-S-US,V3049L-S,TRUE,ABBVIE INC  COM,956092564,13604049,776584447,13604049,179508117,0
04CC29-E,D1R73N-S-FR,D1R73N-S,TRUE,ABC ARBITRAGE SA  ORD,,,3002118,398105,-3002118,-398105
04CC29-E,BGYPC5-S,BGYPC5-S,TRUE,ABC MART INC  ORD,38636480,628512,34607436,628512,4029044,0
04CC29-E,S5N94S-S-GB,S5N94S-S,TRUE,ABCAM PLC  ORD,,,6719799,92166,-6719799,-92166
04CC29-E,NL5QQY-S,NL5QQY-S,TRUE,ABDULLAH AL OTHAIM MARKETS CO  ORD,11465896,525707,9837823,525707,1628073,0
04CC29-E,CJQ9C9-S,CJQ9C9-S,TRUE,ABENGOA SA  ORD,,,-,-,-,-
04CC29-E,QF2V5D-S-US,QF2V5D-S,TRUE,ABERCMBIE & FITCH CO  CL A,,,12162302,1282682,-12162302,-1282682
04CC29-E,G8WYPH-S,G8WYPH-S,TRUE,ABILITY ENTERPRISE CO LTD  ORD,,,1544623,4012221,-1544623,-4012221
04CC29-E,DF3N8D-S-US,DF3N8D-S,TRUE,ABIOMED INC  COM,123366054,469626,152647235,469626,-29281181,0
04CC29-E,S5MJQ2-S-KR,S5MJQ2-S,TRUE,ABLE C&C  ORD,,,4665007,303226,-4665007,-303226
04CC29-E,L7GJB9-S-US,L7GJB9-S,TRUE,ABM INDUSTRIES INC  COM,17370276,421711,7324904,421711,10045372,0
04CC29-E,D7PLDB-S,D7PLDB-S,TRUE,ABN AM GUP NV  ORD,,,-,-,-,-
04CC29-E,RS39N3-S-US,RS39N3-S,TRUE,ABN AM GUP NV  UNSPONS ADR,,,338187889,10251763,-338187889,-10251763
04CC29-E,C4DTT9-S,C4DTT9-S,TRUE,ABOU KIR FERTILIZERS  ORD,,,-,-,-,-
04CC29-E,H43PS7-S,H43PS7-S,TRUE,ABSA GUP LTD  ORD,,,61326586,6894037,-61326586,-6894037
04CC29-E,BNJXRR-S,BNJXRR-S,TRUE,ABU DHABI COMMERCIAL BANK  ORD,13090673,5617302,2863701,5617302,10226972,0
04CC29-E,BYKJ48-S,BYKJ48-S,TRUE,ABU DHABI ISLAMIC BANK EGYPT  ORD,3801266,5580987,3565972,5580987,235294,0
04CC29-E,RVHBQG-S,RVHBQG-S,TRUE,ABU DHABI NATL OIL CO FOR DISTR  ORD,14579570,19688553,12435487,19688553,2144083,0
04CC29-E,NFP7Q1-S-GB,NFP7Q1-S,TRUE,ACACIA MINING PLC  ORD,7229762,3210103,13402789,3210103,-6173027,0
04CC29-E,VQPLZW-S-SE,VQPLZW-S,TRUE,ACADEMEDIA AB  ORD,,,-,-,-,-
04CC29-E,BHXVXH-S-US,BHXVXH-S,TRUE,ACADIA HEALTHCARE CO INC  COM,32398440,966829,15209779,966829,17188661,0
04CC29-E,S8ZK2P-S-US,S8ZK2P-S,TRUE,ACADIA PHARMACEUTICALS INC  COM,26466879,971975,28143786,971975,-1676907,0
04CC29-E,FT2SZL-S-US,FT2SZL-S,TRUE,ACADIA REALTY TRUST  SBI,28022809,1010195,5425535,1010195,22597274,0
04CC29-E,BK6B5J-S-SE,BK6B5J-S,TRUE,ACANDO AB  ORD B,,,974565,86109,-974565,-86109
04CC29-E,PQJJK6-S,PQJJK6-S,TRUE,ACBEL POLYTECH INC  ORD,7856346,11381390,9572853,11381390,-1716507,0
04CC29-E,C6NTTH-S-US,C6NTTH-S,TRUE,ACCELEN PHARMA INC  COM,,,17088551,402651,-17088551,-402651
04CC29-E,Q53RYJ-S-NL,Q53RYJ-S,TRUE,ACCELL GUP NV  ORD,,,7399385,902592,-7399385,-902592
04CC29-E,D51LBQ-S-AU,D51LBQ-S,TRUE,ACCENT GUP LTD  ORD,,,2149905,3253485,-2149905,-3253485
04CC29-E,W24RPK-S-US,W24RPK-S,TRUE,ACCENTURE PLC  CL A,1106971692,5641770,811044642,5641770,295927050,0
04CC29-E,SDB2JV-S,SDB2JV-S,TRUE,ACCESS BANK PLC  ORD,4057298,218486715,5122089,218486715,-1064791,0
04CC29-E,GVXXX6-S,GVXXX6-S,TRUE,ACCESS ENGINEERING PLC  ORD,,,4457834,16241343,-4457834,-16241343
04CC29-E,R95JNF-S,R95JNF-S,TRUE,ACCIONA SA  ORD,63871022,578610,39724831,578610,24146191,0
04CC29-E,S0T018-S-GB,S0T018-S,TRUE,ACCL GUP HOLDINGS PLC  ORD,,,-,-,-,-
04CC29-E,R2KQ06-S-US,R2KQ06-S,TRUE,ACCO BRANDS CORP  COM,15016361,1937595,33833955,1937595,-18817594,0
04CC29-E,RDQD5J-S-FR,RDQD5J-S,TRUE,ACCOR SA  ORD,204834992,4523735,186038815,4523735,18796177,0
04CC29-E,D7GSS9-S,D7GSS9-S,TRUE,ACCRETIVE (FIDEC) CO LTD  ORD,,,-,-,-,-
04CC29-E,RYN510-S,RYN510-S,TRUE,ACCTON TECHNOLOGY CORP  ORD,50077196,12109923,1183856,12109923,48893340,0
04CC29-E,C6PV7Y-S-US,C6PV7Y-S,TRUE,ACCURAY INC  COM,3479647,963891,2208699,963891,1270948,0
04CC29-E,M88R8V-S-IT,M88R8V-S,TRUE,ACEA SPA  ORD,36327481,1866123,25627150,1866123,10700331,0
04CC29-E,RH0ZQQ-S,RH0ZQQ-S,TRUE,ACER INC  ORD,20060190,32298362,20438080,32298362,-377890,0
04CC29-E,RWBPQY-S,RWBPQY-S,TRUE,ACERINOX SA  ORD REG,45494531,5101010,64129196,5101010,-18634665,0
04CC29-E,HD3LKW-S,HD3LKW-S,TRUE,ACES AREQUIPA (CORARE)  ORD,,,2020702,15161678,-2020702,-15161678
04CC29-E,RGZDVC-S,RGZDVC-S,TRUE,ACES ELECTNIC CO LTD  ORD,,,1505064,1967826,-1505064,-1967826
04CC29-E,GND63T-S,GND63T-S,TRUE,ACHILLES CORP  ORD,7304118,378214,6326401,378214,977717,0
04CC29-E,MTD0MH-S-US,MTD0MH-S,TRUE,ACHILLION PHARMACEUTICALS INC  COM,,,3221829,34447,-3221829,-34447
04CC29-E,BGT3MW-S-US,BGT3MW-S,TRUE,ACI WORLDWIDE INC  COM,63635117,1828070,6488707,1828070,57146410,0
04CC29-E,P45TXH-S,P45TXH-S,TRUE,ACKERMANS & VAN HAAREN  NV  ORD,71576160,474341,42444093,474341,29132067,0
04CC29-E,L1WN8Q-S-US,L1WN8Q-S,TRUE,ACLARIS THERAPEUTICS INC  COM,,,-,-,-,-
04CC29-E,TFVKFS-S,TFVKFS-S,TRUE,ACME LABORATORIES LTD  ORD,,,4325190,163348,-4325190,-163348
04CC29-E,B4RZ6W-S,B4RZ6W-S,TRUE,ACN PJSC  ORD,,,756002,769313,-756002,-769313
04CC29-E,CC5Q38-S,CC5Q38-S,TRUE,ACOM CO LTD  ORD,12109435,3362471,10932133,3362471,1177302,0
04CC29-E,M3WKK1-S-US,M3WKK1-S,TRUE,ACORDA THERAPEUTICS INC  COM,6235881,941976,3915127,941976,2320754,0
04CC29-E,BGTV0K-S-AU,BGTV0K-S,TRUE,ACRUX LTD  ORD,,,18133811,1682866,-18133811,-1682866
