factset_entity_id,fs_perm_sec_id,fsym_id,security_name,Mkt_Value_Factset,Position_Factset,Mkt Value Desktop,Position Desktop,Market Value Difference,Position Difference
05KFYG-E,DF3K29-S-US,DF3K29-S,MICROSOFT CORP  COM,10459778557,76093253,6068539609,76093253,4391238948,0
05KFYG-E,R85KLC-S-US,R85KLC-S,APPLE INC  COM,9719457567,47548836,7310444091,47548836,2409013476,0
05KFYG-E,RMCVZ9-S-US,RMCVZ9-S,AMAZON COM INC  COM,8429945986,4347574,2114696556,4347574,6315249430,0
05KFYG-E,H7CWS6-S,H7CWS6-S,NESTLE SA  ORD REG,8076870998,77836155,5550826603,77836155,2526044395,0
05KFYG-E,DC1QVX-S-US,DC1QVX-S,ALPHABET INC  CL C,7208405876,6427010,6655875826,6427010,552530050,0
05KFYG-E,M50G2S-S,M50G2S-S,ROCHE HOLDING AG  ORD DRC,5275336827,18481952,-,-,-,-
05KFYG-E,P6G3ZG-S,P6G3ZG-S,NOVARTIS AG  ORD REG,4998423445,54143641,2480246862,54143641,2518176583,0
05KFYG-E,BHM9TN-S-US,BHM9TN-S,FACEBOOK INC  CL A,4858283684,24636327,3651397316,24636327,1206886368,0
05KFYG-E,N138TY-S-US,N138TY-S,BERKSHIRE HATHAWAY INC  CL B,4206060854,19548526,972082478,19548526,3233978376,0
05KFYG-E,T7HSNM-S-US,T7HSNM-S,JOHNSON & JOHNSON  COM,3838716987,27006592,3463061179,27006592,375655808,0
05KFYG-E,FQWDJD-S-HK,FQWDJD-S,TENCENT HOLDINGS LTD  ORD,3506102114,75847185,156010145,75847185,3350091969,0
05KFYG-E,N5N6M6-S-US,N5N6M6-S,JPMORGAN CHASE & CO  COM,3451714362,30594880,3230472555,30594880,221241807,0
05KFYG-E,F3JG9C-S-DE,F3JG9C-S,SAP SE  ORD,3421525746,24383857,1726741513,24383857,1694784233,0
05KFYG-E,T52H0Y-S-GB,T52H0Y-S,HSBC HOLDINGS PLC  ORD,3376166262,400207000,3383316333,404685000,-7150071.45,-4478000
05KFYG-E,NB64DG-S-US,NB64DG-S,LINDE PLC  COM,3329270886,16351215,2665411557,16351215,663859328.9,0
05KFYG-E,CC5BCX-S-GB,CC5BCX-S,BP PLC  ORD,3232710923,471023000,3338045705,478091000,-105334781.7,-7068000
05KFYG-E,HP44R7-S-US,HP44R7-S,EXXON MOBIL CORP  COM,3134434278,41005158,2739262073,41005158,395172205,0
05KFYG-E,Q3TRMZ-S-US,Q3TRMZ-S,BANK OF AMERICA CORP  COM,3131390310,107793126,1056409751,107793126,2074980559,0
05KFYG-E,XQ818C-S-KR,XQ818C-S,SAMSUNG ELECTRONICS CO LTD  ORD,3039604289,78417117,1661152008,78417117,1378452281,0
05KFYG-E,JS7D8K-S-US,JS7D8K-S,VISA INC  CL A,3033064923,17148555,276720567,17148555,2756344356,0
05KFYG-E,CM3XPB-S,CM3XPB-S,TOTAL SA  ORD,3003630302,54208259,3072535665,54208259,-68905363,0
05KFYG-E,B1BDZW-S-TW,B1BDZW-S,TAIWAN SEMICONDUCTOR MFG CO LTD  ORD,2912424179,373793137,310743794,373793137,2601680385,0
05KFYG-E,K14DFC-S-US,K14DFC-S,CISCO SYSTEMS INC  COM,2821647100,49958341,1306395460,49958341,1515251640,0
05KFYG-E,MH2TVY-S-DE,MH2TVY-S,ALLIANZ SE  ORD REG,2804013075,11464469,2759799777,11464469,44213297.94,0
05KFYG-E,RWC9XJ-S-US,RWC9XJ-S,PROCTER & GAMBLE CO  COM,2777904812,24350498,2138361308,24350498,639543504,0
05KFYG-E,R817B9-S,R817B9-S,LVMH LOUIS VUITTON MOET HEN  ORD,2593999676,6050893,1326573831,6050893,1267425845,0
05KFYG-E,JDQZCY-S-US,JDQZCY-S,PFIZER INC  COM,2572987415,57950167,1521620734,57950167,1051366681,0
05KFYG-E,DY0D0T-S-US,DY0D0T-S,HOME DEPOT INC  COM,2534783769,11950890,546201994,11950890,1988581775,0
05KFYG-E,VNPN96-S-GB,VNPN96-S,ROYAL DUTCH SHELL PLC  ORD B,2519720366,77724000,2680132988,81591000,-160412622.5,-3867000
05KFYG-E,PQJ6YX-S-US,PQJ6YX-S,AT&T INC  COM,2473131850,72781985,2352991044,72781985,120140806,0
05KFYG-E,HLTYZF-S-US,HLTYZF-S,MASTERCARD INC  CL A,2463580297,9021460,1363849829,9021460,1099730468,0
05KFYG-E,SR2BN3-S-US,SR2BN3-S,ALIBABA GROUP HOLDING LTD SPONS ADR,2442993309,13986336,863996725,13986336,1578996584,0
05KFYG-E,G11QT7-S-GB,G11QT7-S,GLAXOSMITHKLINE PLC  ORD,2441404126,118409000,2405519215,119884000,35884911.24,-1475000
05KFYG-E,RGW4H5-S-US,RGW4H5-S,VERIZON COMMUNICATIONS INC  COM,2427737832,41763940,919896142,41763940,1507841690,0
05KFYG-E,NFLZ7S-S-GB,NFLZ7S-S,DIAGEO PLC  ORD,2408954540,55061000,2382531164,55320000,26423375.6,-259000
05KFYG-E,BV8JHF-S-GB,BV8JHF-S,ASTRAZENECA PLC  ORD,2356683301,28414000,2338711236,28543000,17972064.94,-129000
05KFYG-E,MBKTVK-S-US,MBKTVK-S,CHEVRON CORP  COM,2337791368,18952504,1095031810,18952504,1242759558,0
