factset_entity_id,fs_perm_sec_id,security_name,fsym_id,Match,Upper,Security,Mkt Val,Position,Market Value Discrepancy,Position Discrepancy
0011M0-E,R17LLM-S-US,3M CO  COM,R17LLM-S,TRUE,3M CO  COM,3M Co  Com,2864598,16371,3401566,
0011M0-E,Q1KJQ2-S-US,ABBOTT LABORATORIES  COM,Q1KJQ2-S,TRUE,ABBOTT LABORATORIES  COM,Abbott Laboratories  Com,2768656,32329,2584380,
0011M0-E,V3049L-S-US,ABBVIE INC  COM,V3049L-S,TRUE,ABBVIE INC  COM,Abbvie Inc  Com,2345648,31292,2521822,
0011M0-E,DJH8TL-S-US,ADOBE INC  COM,DJH8TL-S,TRUE,ADOBE INC  COM,Adobe Inc  Com,13239867,43310,11541682,
0011M0-E,TR7BJ5-S-US,AEGON NV  ADR,TR7BJ5-S,TRUE,AEGON NV  ADR,Aegon Nv  Adr,545967965,108542339,519917804,
0011M0-E,VT5DYF-S-NL,AEGON NV  ORD,VT5DYF-S,TRUE,AEGON NV  ORD,Aegon Nv  Ord,666091386,131792024,611595731,127143214
0011M0-E,P7M7WC-S-US,AIR PRODUCTS & CHEMICALS INC  COM,P7M7WC-S,TRUE,AIR PRODUCTS & CHEMICALS INC  COM,Air Products & Chemicals Inc  Com,763620,3300,630168,
0011M0-E,KQLFTH-S-NL,AKZO NOBEL NV  ORD,KQLFTH-S,TRUE,AKZO NOBEL NV  ORD,Akzo Nobel Nv  Ord,638614083,6709399,413912706,4666754
0011M0-E,SR2BN3-S-US,ALIBABA GROUP HOLDING LTD  SPONS ADR,SR2BN3-S,TRUE,ALIBABA GROUP HOLDING LTD  SPONS ADR,Alibaba Group Holding Ltd  Spons Adr,480656906,2751800,502065910,
0011M0-E,Q8DVNB-S-US,ALLSTATE CORP  COM,Q8DVNB-S,TRUE,ALLSTATE CORP  COM,Allstate Corp  Com,385562,3685,347053,
0011M0-E,M1M8H2-S-US,ALNYLAM PHARMACEUTICALS INC  COM,M1M8H2-S,TRUE,ALNYLAM PHARMACEUTICALS INC  COM,Alnylam Pharmaceuticals Inc  Com,363054793,4998001,467063193,
0011M0-E,XF9TK6-S-US,ALPHABET INC  CL A,XF9TK6-S,TRUE,ALPHABET INC  CL A,Alphabet Inc  Cl A,153427386,136624,160791419,
0011M0-E,DC1QVX-S-US,ALPHABET INC  CL C,DC1QVX-S,TRUE,ALPHABET INC  CL C,Alphabet Inc  Cl C,3412832229,3042879,3570240359,
