FactSet Entity ID,Institution_name,Discrepancy_Column,
002FYS-E,"The Vanguard Group, Inc.",Incorrect: aum-(Ownership:4530139 Profile: 4839296) eaum-(Ownership:2539168.520537 Profile: 3136824) ,
000WWX-E,State Farm Investment Management Corp.,,67
05J8D9-E,State Street Global Advisors (SSgA),,
08D3XB-E,BlackRock Fund Advisors,Incorrect: aum-(Ownership:5400000 Profile: None),
000TNX-E,"T. Rowe Price Associates, Inc. (Investment Management)",,
000CM9-E,"Barrow, Hanley, Mewhinney & Strauss LLC",,
0013BR-E,GIC Pte Ltd. (Investment Management),,
0D5G47-E,Capital Research & Management Co. (International Investors),,
05F9M2-E,"Franklin Advisers, Inc.",,
000Q6S-E,"JPMorgan Investment Management, Inc.",,
05J871-E,"Northern Trust Investments, Inc.(Investment Management)",,
009SF1-E,Managed Account Advisors LLC,,
0D3J68-E,Wells Fargo Clearing Services LLC,,
0049LH-E,Geode Capital Management LLC,,
002HTK-E,Henderson Global Investors Ltd.,,
06NPXD-E,Capital Research & Management Co. (World Investors),,
05K75W-E,Findlay Park Partners LLP,,
07NMMQ-E,Neuberger Berman Investment Advisers LLC,,
05FGHP-E,Principal Global Investors LLC,,
06KMJB-E,BlackRock Investment Management (UK) Ltd.,,
000KLZ-E,Fidelity Management & Research Co.,Incorrect: aum-(Ownership:2000000 Profile: None) eaum-(Ownership:752007.284198 Profile: 876419) turnover-(Ownership:Low Profile: Very Low) ,
05F9JR-E,Mellon Investments Corp.,,
077CYS-E,"Bank of America, NA (Private Banking)",,
002HJB-E,BlackRock Advisors LLC,,
09Q5CD-E,Columbia Management Investment Advisers LLC,,
0DCX79-E,DWS Investment GmbH,,
002G6D-E,"Bahl & Gaynor, Inc.",,
0D9L9X-E,"Raymond James & Associates, Inc. (Invt Mgmt)",,
05J6LL-E,Legal & General Investment Management Ltd.,,
06BJ1G-E,ClearBridge Investments LLC,Incorrect: aum-(Ownership:130388 Profile: 142148) eaum-(Ownership:115199.663867 Profile: 113894) ,
05J6S2-E,The Bank of New York Mellon Corp. (Investment Management),,
