Factset Entity ID,Fund Name,Discrepancy Column
04B8NM-E,Washington Mutual Investors Fund,
04BF4M-E,Vanguard Total Stock Market Index Fund,
04BNKR-E,Delaware Value Fund,
04BF1T-E,Vanguard 500 Index Fund,
04B8HJ-E,American Funds Investment Company Of America,
04CC29-E,Government Pension Fund - Global (the),
04BH81-E,Spdr Series - Utilities Select Sector Spdr Fund,
04B8VJ-E,Capital Income Builder,
04CKSS-E,Ishares Tr. - Select Dividend Etf,
04BH50-E,Spdr S&p 500 Etf,
04BF2N-E,Vanguard Institutional Index Fund,
04B9QW-E,Franklin Utilities Fund,
04B9ZS-E,Fidelity 500 Index Fund,
04BHN1-E,T Rowe Price Equity Income Fund,
04BHCS-E,Ishares Tr. - Core S&p 500 Etf,
04BDWC-E,T Rowe Price Value Fund,
04BF2R-E,Vanguard Value Index Fund,
04CLDB-E,Vanguard Utilities Index Fund,
04BF55-E,Vanguard Windsor Funds - Vanguard Windsor Fund,
04BQKV-E,American Funds Insurance Series - Growth Income Fund,
04DJL7-E,John Hancock Iii - Disciplined Value Fund,
04CWPK-E,Pictet Global Selection Fund - Global Utilities Equity Fund,
04BSXD-E,Jpmorgan Mid Cap Value Fund,
04B8JW-E,American Mutual Fund,
04BJ6T-E,Vanguard Selected Value Fund,
04CDHZ-E,Canada Pension Plan,
04CY7D-E,Vanguard High Dividend Yield Index Fund,
04BHQB-E,Hartford Dividend & Growth Fund,
04BHDD-E,Ishares Tr. - Russell 1000 Value Etf,
04GT00-E,Fidelity Series Stock Selector Large Cap Value Fund,
04BFMY-E,Dnp Select Income Fund,
04GH4G-E,Mainstay Vp - Fidelity Institutional Amsm Utilities Portfolio,
04KTZ0-E,John Hancock Classic Value Fund,
04B9YH-E,Fidelity Select Utilities Portfolio,
04BKY3-E,M&g Investment Funds (1) Oeic - Global Themes Fund,
04BSK3-E,Vanguard Equity Income Fund,
04BFN4-E,Cref Stock Account,
04BX9M-E,Ishares Tr. - Russell Mid Cap Value Etf,
04FCGL-E,John Hancock Iii - Disciplined Value Mid Cap Fund,
04BX99-E,Ishares Tr. - Russell Mid Cap Etf,
04BJYR-E,Pgim Jennison Utility Fund,
04CLPV-E,American Century Mid Cap Value Fund,
04BJ63-E,Vanguard Wellesley Income Fund,
04BY8B-E,Threadneedle Invt. Funds Icvc - American Fund,
04GLSG-E,Fidelity Funds Sicav - Global Dividend Fund,
04CM03-E,Reaves Utility Income Fund,
04BJNL-E,Lord Abbett Affiliated Fund,
04BC0N-E,Mfs Utilities Fund,
04D5QD-E,Eastspring Investments - North American Value,
04BVNJ-E,Lord Abbett Fundamental Equity Fund,
04D9VG-E,Dws Rreef Global Infrastructure Fund,
04BFK4-E,Gabelli Utilities Fund (the),
04B9JL-E,Fidelity Balanced Fund,
04GLSB-E,Alps Sector Dividend Dogs Etf,
