FactSet Entity ID,Institution_name,Discrepancy_Column
007753-E,Ronald L. Litzinger,NO DATA
065ZDY-E,Pedro J. Pizarro,NO DATA
0BGFYT-E,Russell C. Swartz,NO DATA
0BBF05-E,Maria C. Rigatti,NO DATA
074WM9-E,Stuart R. Hemphill,NO DATA
06C7RY-E,Peter J. Taylor,NO DATA
088SCL-E,Gaddi H. Vasquez,NO DATA
0BGFVV-E,Kevin M. Payne,NO DATA
0F1VXV-E,Adam S. Umanoff,NO DATA
09QBTD-E,Janet T. Clayton,NO DATA
05FTVB-E,William P. Sullivan,NO DATA
0KVYGW-E,Estate Of Tauscher Ellen Okane,NO DATA
0L45NK-E,Estate Of Nichols Ronald Owen,NO DATA
05FQ0X-E,Linda Gillespie Stuntz,NO DATA
005H1L-E,Vanessa C. L. Chang,NO DATA
05WX74-E,Brett W. White,NO DATA
06C2QT-E,Timothy T. O'Toole,NO DATA
0FMTCK-E,Caroline Choi,NO DATA
00DH50-E,Aaron D. Moss,NO DATA
0CWWHQ-E,William M. Petmecky,NO DATA
006ZP7-E,Brian Keith Trent,NO DATA
0GBCLG-E,Jacqueline Trapp,NO DATA
008W1L-E,J. Andrew Murphy,NO DATA
06H8CF-E,James Thomas Morris,NO DATA
0CKNB3-E,Philip R. Herrington,NO DATA
002FYS-E,"The Vanguard Group, Inc.",
05J8D9-E,"SSgA Funds Management, Inc.",
0D5G47-E,Capital Research & Management Co. (International Investors),
08D3XB-E,BlackRock Fund Advisors,
000YS6-E,Wellington Management Co. LLP,
000HGT-E,Macquarie Investment Management Business Trust,
06YXZ7-E,Pzena Investment Management LLC,
000Q6S-E,"JPMorgan Investment Management, Inc.",
064HJF-E,"Boston Partners Global Investors, Inc.",
0049LH-E,Geode Capital Management LLC,
05KFYG-E,Norges Bank Investment Management,
05J871-E,"Northern Trust Investments, Inc.(Investment Management)",
000TNX-E,"T. Rowe Price Associates, Inc. (Investment Management)",
002J41-E,Renaissance Technologies LLC,
000KLZ-E,Fidelity Management & Research Co.,
05J6LL-E,Legal & General Investment Management Ltd.,
05F9M2-E,"Franklin Advisers, Inc.",
000P8M-E,"Lord, Abbett & Co. LLC",
06KMJB-E,BlackRock Investment Management (UK) Ltd.,
002J4B-E,RREEF America LLC,
05FWKC-E,FIL Investment Advisors (UK) Ltd.,
05GSG8-E,Threadneedle Asset Management Ltd.,
002JKF-E,D. E. Shaw & Co. LP,
002K96-E,Putnam Investment Management LLC,
002C2Z-E,"American Century Investment Management, Inc.",
009SF1-E,Managed Account Advisors LLC,
002HXG-E,"Charles Schwab Investment Management, Inc.",
06M2R5-E,Pictet Asset Management SA,
00FC9D-E,Zimmer Partners LP,
05FDPL-E,Parametric Portfolio Associates LLC,
001FKZ-E,Jennison Associates LLC,
002HGF-E,LSV Asset Management,
