Factset Entity ID,Fund Name,Discrepancy Column
04B8KH-E,American Funds New Perspective Fund,Incorrect: style aum eaum 
04BF4M-E,Vanguard Total Stock Market Index Fund,Incorrect: aum eaum 
04BFYD-E,Vanguard Mid Cap Index Fund,Incorrect: aum eaum 
04BBHF-E,Janus Henderson Enterprise Fund,Incorrect: style eaum 
04CW3F-E,First Trust Dow Jones Internet Index Fund,Incorrect: aum eaum 
04B98N-E,Mainstay Large Cap Growth Fund,Incorrect: eaum 
04BF1P-E,Vanguard Extended Market Index Fund,Incorrect: aum eaum 
04BC5T-E,Vanguard Small Cap Index Fund,Incorrect: aum eaum 
04BBH8-E,Janus Henderson Research Fund,Incorrect: style eaum 
04BSDG-E,Carmignac Patrimoine,Incorrect: style aum eaum 
04CC29-E,Government Pension Fund - Global (the),Incorrect: eaum 
04BQKV-E,American Funds Insurance Series - Growth Income Fund,Incorrect: style aum eaum 
04BF2L-E,Vanguard Growth Index Fund,Incorrect: aum eaum 
04B9KG-E,Fidelity Contrafund,Incorrect: style eaum 
04B9T2-E,Fidelity Otc Portfolio,Incorrect: style eaum 
04BG4P-E,Hartford Growth Opportunities Fund (the),Incorrect: eaum 
04BJ1H-E,Vanguard Explorer Fund,Incorrect: style eaum 
04CWZN-E,Vanguard Mid Cap Growth Index Fund,Incorrect: aum eaum 
04BFN6-E,Cref Growth Account,Incorrect: style eaum 
04B9K6-E,Fidelity Select Port. - It Services Portfolio,Incorrect: style eaum 
04BSDP-E,Carmignac Investissement,Incorrect: style aum eaum 
04CXH8-E,St. James's Place Unit Trust - Worldwide Opportunities,Incorrect: style eaum 
04B9RV-E,Fidelity Magellan Fund,Incorrect: style eaum 
04CMHV-E,Voya Investors Trust - Large Cap Growth Portfolio,Incorrect: style eaum 
04BBKW-E,Federated Kaufmann Fund,Incorrect: style aum eaum 
04B8Z5-E,Blackrock Mid Cap Growth Equity Portfolio,Incorrect: style aum eaum 
04BSM4-E,Jpmorgan Growth Advantage Fund,Incorrect: style eaum 
04BHQ9-E,Hartford Core Equity Fund,Incorrect: style eaum 
04B9WW-E,Fidelity Extended Market Index Fund,Incorrect: eaum 
04BHQ4-E,Hartford Capital Appreciation Fund,Incorrect: style eaum 
04BFN4-E,Cref Stock Account,Incorrect: style eaum 
04BK6C-E,Franklin Small Mid Cap Growth Fund,Incorrect: style eaum 
04BJK4-E,Vanguard Strategic Equity Fund,Incorrect: style eaum 
04BX9G-E,Ishares Tr. - Russell Mid Cap Growth Etf,Incorrect: aum eaum 
04BG2L-E,Transamerica Wmc Us Growth Vp,Incorrect: style eaum 
04CLD8-E,Vanguard Information Technology Index Fund,Incorrect: aum eaum 
04BCKR-E,Jpmorgan Mid Cap Growth Fund,Incorrect: style eaum 
04BF25-E,Invesco Mid Cap Growth Fund,Incorrect: style eaum 
04BGBB-E,Voya Mid Cap Opportunities Portfolio,Incorrect: style eaum 
04B8DM-E,Columbia Acorn Fund,Incorrect: style eaum turnover 
04BHDC-E,Ishares Tr. - Russell 1000 Growth Etf,Incorrect: aum eaum 
04CS8L-E,Goldman Sachs Small/mid Cap Growth Fund,Incorrect: style eaum 
04CW21-E,Tiaa-cref Large Cap Growth Fund,Incorrect: style eaum 
04CKCQ-E,William Blair Small Mid Cap Growth Fund,Incorrect: style aum eaum 
04BWDT-E,Swedbank Robur Globalfond Mega,Incorrect: style eaum 
04BDHJ-E,Columbia Seligman Communications & Information Fund,Incorrect: aum eaum 
04B9QD-E,Franklin Dynatech Fund,Incorrect: eaum 
04BV9H-E,Swedbank Robur Technology,Incorrect: style eaum 
04G7B6-E,Lord Abbett Growth Leaders Fund,Incorrect: eaum 
04BX99-E,Ishares Tr. - Russell Mid Cap Etf,Incorrect: aum eaum 
04D2NS-E,Federated Kaufmann Large Cap Fund,Incorrect: style aum eaum 
04F85Z-E,Schwab Us Small Cap Etf,Incorrect: aum eaum 
04BLCK-E,Ftif Sicav - Technology Fund,Incorrect: aum eaum 
04BV80-E,Fidelity Vip - Growth Portfolio,Incorrect: style eaum 
04B9JS-E,Fidelity Blue Chip Growth Fund,Incorrect: style eaum 
04B8YY-E,Columbia Mid Cap Growth Fund,Incorrect: style eaum 
04B9HQ-E,Fidelity Advisor Series I -growth Opportunities Fund,Incorrect: style eaum 
04B9V4-E,Fidelity Puritan Fund,Incorrect: style eaum 
04BGPT-E,Hartford Growth Opportunities Hls Fund,Incorrect: eaum 
04BT1V-E,Janus Henderson Global Technology Fund,Incorrect: style eaum 
04BFW9-E,Voya Mid Cap Opportunities Fund,Incorrect: style eaum 
04BKBS-E,Vanguard Mid Cap Growth Fund,Incorrect: style eaum 
04BGG7-E,Jnl/jpmorgan Mid Cap Growth Fund,Incorrect: style eaum 
04JJKS-E,Cif - Capital Group New Perspective Fund (lux),Incorrect: style eaum 
04CK8S-E,Fidelity Advisor New Insights Fund,Incorrect: style eaum 
04CYCF-E,Eaton Vance Tax Managed Diversified Equity Income Fund,Incorrect: style eaum 
04B9L1-E,Fidelity Growth Company Fund,Incorrect: style eaum 
04FWYZ-E,Schwab Us Mid Cap Etf,Incorrect: aum eaum 
04BV7X-E,Fidelity Vip - Contrafund Portfolio,Incorrect: style eaum 
04B8K7-E,American Funds Fundamental Investors,Incorrect: style aum eaum 
04B9KQ-E,Fidelity Capital Appreciation Fund,Incorrect: style eaum 
04CX15-E,Fidelity Information Technology Central Fund,Incorrect: style eaum 
04BGND-E,Ast Mid Cap Growth Portfolio,Incorrect: style aum eaum 
04BG4R-E,Goldman Sachs Growth Opportunities Fund,Incorrect: style eaum 
04BBHT-E,Janus Henderson Global Research Fund,Incorrect: style eaum 
04BF3Q-E,Vanguard Morgan Growth Fund,Incorrect: eaum 
04CTR1-E,John Hancock Ii - Mid Cap Stock Fund,Incorrect: eaum 
04BBGK-E,Hartford Capital Appreciation Hls Fund,Incorrect: style eaum 
04FXVV-E,Fidelity Strategic Advisers Small Mid Cap Fund,Incorrect: style eaum 
04B9YF-E,Fidelity Total Market Index Fund,Incorrect: eaum 
04B9JL-E,Fidelity Balanced Fund,Incorrect: style eaum 
04BHH7-E,Blackrock Advantage Large Cap Core Portfolio,Incorrect: style eaum 
04BG2R-E,Victory Munder Mid Cap Core Growth Fund,Incorrect: style eaum 
04BLCL-E,Ftif Sicav - Select Us Equity Fund,Incorrect: style eaum 
04BJ2G-E,Fidelity Comwlth. Tr. - Mid Cap Stock Fund,Incorrect: style eaum 
04FW61-E,Schroder Gaia - Egerton Equity,Incorrect: style eaum 
04BTNJ-E,Fidelity Advisor Series I - Stock Selector Mid Cap Fund,Incorrect: style eaum 
04CQ34-E,Fidelity Small Cap Growth Fund,Incorrect: style eaum 
04BV83-E,Fidelity Vip - Mid Cap Portfolio,Incorrect: style eaum 
04B9CP-E,Fidelity Advisor Series I - Equity Growth Fund,Incorrect: style eaum 
04BFWF-E,Mainstay Vp - Large Cap Growth Portfolio,Incorrect: eaum 
04BG7Q-E,Goldman Sachs Mid Cap Value Fund,Incorrect: style aum eaum 
04BGV6-E,Mfs Technology Fund,Incorrect: eaum 
04BVBK-E,Vanguard Institutional Total Stock Market Index Fund,Incorrect: aum eaum 
04BKBN-E,Fidelity Independence Fund,Incorrect: style eaum 
04BFZ7-E,Transamerica Us Growth,Incorrect: style eaum 
