FactSet Entity ID,Institution_name,Discrepancy_Column
006840-E,"Morgan Stanley Investment Management, Inc.",Incorrect: aum-(Ownership:302543 Profile: 299577) 
003L2K-E,"Tealwood Asset Management, Inc.",Incorrect: aum-(Ownership:425 Profile: 388) 
0080MP-E,"Lockwood Advisors, Inc.",Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0071NH-E,MML Investors Services LLC,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0G1ZW0-E,BMO Family Office LLC,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0693ZZ-E,Colonial First State Asset Management (Australia) Ltd.,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0GWNMN-E,Lunia Capital LP,Incorrect: turnover-(Ownership:Medium Profile: High) 
0DGG6L-E,Dominion Asset Management Ltd.,Incorrect: turnover-(Ownership:Medium Profile: High) 
06YWDQ-E,Valinor Management LP,Incorrect: turnover-(Ownership:Medium Profile: Low) 
0DX2KF-E,SQN Investors LP,Incorrect: turnover-(Ownership:Medium Profile: Low) 
05H8J8-E,Goldman Sachs Asset Management International,Incorrect: turnover-(Ownership:Medium Profile: Low) 
0D72K5-E,AHL Partners LLP,Incorrect: turnover-(Ownership:Medium Profile: Low) 
0DFMYG-E,BMO Asset Management Corp.,Incorrect: turnover-(Ownership:Medium Profile: Low) 
00B4HZ-E,Global X Management Co. LLC,Incorrect: turnover-(Ownership:Medium Profile: Very Low) 
0GZX48-E,FinEx Investment Management LLP,Incorrect: turnover-(Ownership:Medium Profile: Very Low) 
000KLZ-E,Fidelity Management & Research Co.,Incorrect: turnover-(Ownership:Very Low Profile: Low) 
002HYD-E,"Wells Capital Management, Inc.",Incorrect: turnover-(Ownership:Very Low Profile: Low) 
05FW7Z-E,JPMorgan Asset Management (UK) Ltd.,Incorrect: turnover-(Ownership:Very Low Profile: Low) 
06LG12-E,"IA Clarington Investments, Inc.",Incorrect: turnover-(Ownership:Very Low Profile: Low) 
002GZN-E,"The Connable Office, Inc.",Incorrect: turnover-(Ownership:Very Low Profile: Low) 
05SP7S-E,Banque Cantonale Vaudoise (Investment Management),Incorrect: turnover-(Ownership:Very Low Profile: Low) 
06PTFZ-E,"Horizons ETFs Management (Canada), Inc.",Incorrect: turnover-(Ownership:Very Low Profile: Low) 
00BMFP-E,"Benjamin F. Edwards & Co., Inc.",Incorrect: turnover-(Ownership:Very Low Profile: Low) 
061L56-E,Robert R. Parsons,NO DATA
0BS7BC-E,Scott W. Wagner,NO DATA
077MSX-E,Nima Jacobs Kelly,NO DATA
06CRJR-E,Raymond E. Winborne,NO DATA
0D4S3P-E,James M. Carroll,NO DATA
06T64C-E,Barbara J. Rechterman,NO DATA
0HW4GD-E,Andrew Low Ah Kee,NO DATA
05LNBL-E,Charles J. Robel,NO DATA
07JHCB-E,Steven Aldrich,NO DATA
06PR8W-E,Brian H. Sharples,NO DATA
0HTK3N-E,Rebecca Morrow,NO DATA
0057C1-E,Mark S. Garrett,NO DATA
0044YT-E,Caroline F. Donahue,NO DATA
0FK0F1-E,Ryan Roslansky,NO DATA
0B42YP-E,Arne M. Josefsberg,NO DATA
06PPJY-E,Blake J. Irving,NO DATA
06Z89F-E,Lee Wittlinger,NO DATA
05V3C8-E,Herald Yun Chen,NO DATA
05MB8K-E,Gregory Keith Mondre,NO DATA
002FYS-E,"The Vanguard Group, Inc.",
000YS6-E,Wellington Management Co. LLP,
0D5G47-E,Capital Research & Management Co. (International Investors),
002HTK-E,Henderson Global Investors Ltd.,
08D3XB-E,BlackRock Fund Advisors,
002CH3-E,Select Equity Group LP,
002JWC-E,Winslow Capital Management LLC,
002H53-E,Voya Investment Management Co. LLC,
05J8D9-E,"SSgA Funds Management, Inc.",
002J41-E,Renaissance Technologies LLC,
002K0M-E,Goldman Sachs Asset Management LP,
002JKF-E,D. E. Shaw & Co. LP,
002CDB-E,First Trust Advisors LP,
0CB6NK-E,12 West Capital Management LP,
000Q6S-E,"JPMorgan Investment Management, Inc.",
05G7J1-E,Carmignac Gestion SA,
004Z9Q-E,Citadel Advisors LLC,
0FJXBY-E,William Blair Investment Management LLC,
002FVQ-E,Egerton Capital (UK) LLP,
002340-E,Brahman Capital Corp.,
07HKTT-E,Federated Global Investment Management Corp.,
0049LH-E,Geode Capital Management LLC,
066XHG-E,Marshall Wace North America LP,
002HPC-E,TIAA-CREF Investment Management LLC,
05F9M2-E,"Franklin Advisers, Inc.",
05KFYG-E,Norges Bank Investment Management,
0D9VKG-E,BlueSpruce Investments LP,
0DMS5B-E,Capital Bank & Trust Co. (Investment Management),
09Q5CD-E,Columbia Management Investment Advisers LLC,
0024MZ-E,Capital Guardian Trust Co.,
0G6H0W-E,Point72 Asset Management LP,
002KM8-E,"Victory Capital Management, Inc.(Investment Management)",
002BSH-E,Eaton Vance Management,
0DKGBH-E,Carmignac Gestion Luxembourg SA (UK),
002HJB-E,BlackRock Advisors LLC,
06KMJB-E,BlackRock Investment Management (UK) Ltd.,
006X0R-E,Partner Fund Management LP,
00D1FG-E,Two Sigma Advisers LP,
003L6S-E,Bridger Management LLC,
060YMK-E,Millennium Management LLC,
07BFXT-E,Permian Investment Partners LP,
05J871-E,"Northern Trust Investments, Inc.(Investment Management)",
003K1N-E,Arrowstreet Capital LP,
05J6LL-E,Legal & General Investment Management Ltd.,
0049LM-E,Two Sigma Investments LP,
002HL1-E,"Invesco Advisers, Inc.",
