FactSet Entity ID,Institution_name,Discrepancy_Column
002FYS-E,"The Vanguard Group, Inc.",
05J8D9-E,"SSgA Funds Management, Inc.",
0D5G47-E,Capital Research & Management Co. (International Investors),
08D3XB-E,BlackRock Fund Advisors,
000YS6-E,Wellington Management Co. LLP,
000HGT-E,Macquarie Investment Management Business Trust,
06YXZ7-E,Pzena Investment Management LLC,
064HJF-E,"Boston Partners Global Investors, Inc.",
0049LH-E,Geode Capital Management LLC,
05KFYG-E,Norges Bank Investment Management,
05J871-E,"Northern Trust Investments, Inc.(Investment Management)",
000TNX-E,"T. Rowe Price Associates, Inc. (Investment Management)",
002J41-E,Renaissance Technologies LLC,
000KLZ-E,Fidelity Management & Research Co.,
05J6LL-E,Legal & General Investment Management Ltd.,
05F9M2-E,"Franklin Advisers, Inc.",
000P8M-E,"Lord, Abbett & Co. LLC",
06KMJB-E,BlackRock Investment Management (UK) Ltd.,
002J4B-E,RREEF America LLC,
05FWKC-E,FIL Investment Advisors (UK) Ltd.,
05GSG8-E,Threadneedle Asset Management Ltd.,
002JKF-E,D. E. Shaw & Co. LP,
002K96-E,Putnam Investment Management LLC,
002C2Z-E,"American Century Investment Management, Inc.",
009SF1-E,Managed Account Advisors LLC,
06M2R5-E,Pictet Asset Management SA,
002HXG-E,"Charles Schwab Investment Management, Inc.",
00FC9D-E,Zimmer Partners LP,
05FDPL-E,Parametric Portfolio Associates LLC,
001FKZ-E,Jennison Associates LLC,
0D3J68-E,Wells Fargo Clearing Services LLC,
002BSH-E,Eaton Vance Management,
05TP21-E,Invesco Capital Management LLC,
08GP1D-E,BlackRock Advisors (UK) Ltd.,
002HL1-E,"Invesco Advisers, Inc.",
0D8XX0-E,Schweizerische Nationalbank (Investment Portfolio),
09Q5CD-E,Columbia Management Investment Advisers LLC,
09KLWX-E,Brookfield Public Securities Group LLC,
06DB7L-E,FIAM LLC,
05F9JR-E,Mellon Investments Corp.,
071H88-E,RARE Infrastructure Ltd. (Investment Management),
002FTH-E,M&G Investment Management Ltd.,
002HPC-E,TIAA-CREF Investment Management LLC,
05J6S2-E,The Bank of New York Mellon Corp. (Investment Management),
001CVY-E,"Cohen & Steers Capital Management, Inc.",
003K1N-E,Arrowstreet Capital LP,
002H9M-E,Duff & Phelps Investment Management Co.,
0DCFD3-E,Goldman Sachs & Co. LLC (Private Banking),
060YMK-E,Millennium Management LLC,
003HVP-E,Adage Capital Management LP,
000PHW-E,Massachusetts Financial Services Co.,
089DR7-E,"BlackRock Financial Management, Inc.",
000HJ9-E,Dimensional Fund Advisors LP,
002HP5-E,Teachers Advisors LLC,
001DGK-E,Orbis Investment Management Ltd.,
07H1ZP-E,TOBAM SAS,
004Z9Q-E,Citadel Advisors LLC,
002HTK-E,Henderson Global Investors Ltd.,
06L8XD-E,BlackRock Investment Management LLC,
002H7Y-E,Russell Investment Management LLC,
08DLP8-E,BlackRock Asset Management Canada Ltd.,
00D1FG-E,Two Sigma Advisers LP,
00577F-E,Gabelli Funds LLC,
000D7G-E,The California Public Employees Retirement System,
002K0M-E,Goldman Sachs Asset Management LP,
000BPX-E,APG Asset Management NV,
0090M5-E,Columbus Hill Capital Management LP,
009XY7-E,Boston Management & Research,
006840-E,"Morgan Stanley Investment Management, Inc.",
000FF4-E,Credit Suisse Securities (USA) LLC (Broker),
06JVMR-E,"ALPS Advisors, Inc.",
05F9FS-E,AllianceBernstein LP,
05K41S-E,Macquarie Investment Management Ltd.,
0011QK-E,"PPM America, Inc.",
073S3G-E,Capital Research & Management Co. (Global Investors),
005GXL-E,Luminus Management LLC,
002DRR-E,California State Teachers' Retirement System,
0GB4MX-E,Morgan Stanley Smith Barney LLC (Invt Mgmt),
0DLBGG-E,Vanguard Global Advisers LLC,
002XTV-E,UBS Asset Management (UK) Ltd.,
000WX0-E,State of Wisconsin Investment Board,
05HP6D-E,AMP Capital Investors Ltd.,
0031SR-E,RhumbLine Advisers LP,
0CFF4J-E,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",
05FGHP-E,Principal Global Investors LLC,
002BRP-E,State Board of Administration of Florida Retirement System,
05FWL8-E,UBS AG (Investment Management),
05HPFF-E,Canada Pension Plan Investment Board,
0024MZ-E,Capital Guardian Trust Co.,
000R9G-E,New York State Teachers Retirement System,
0G6H0W-E,Point72 Asset Management LP,
0049LM-E,Two Sigma Investments LP,
06WRQY-E,National Pension Service of Korea,
006WTM-E,QMA LLC,
05V7SP-E,Barclays Bank Plc (Private Banking),
00724F-E,Wells Fargo Advisors Financial Network LLC,
002CDB-E,First Trust Advisors LP,
