Factset Fund ID,Fund Name,Discrepancy Column
04BW8D-E,Deka - Megatrends Cf,position-(Ownership:10013 Profile: 0) 
04GNKG-E,Brighthouse Funds Trust I - Jpmorgan Global Active Allc. Port.,position-(Ownership:10186 Profile: 0) 
04CRX3-E,Axa/janus Enterprise Portfolio,position-(Ownership:106019 Profile: 144552) 
04BJG2-E,Eq/ubs Growth & Income Portfolio,position-(Ownership:11370 Profile: 9875) 
04BJ1H-E,Vanguard Explorer Fund,position-(Ownership:1198892 Profile: 822021) 
04BJ4S-E,Sit Small Cap Growth Fund,position-(Ownership:12550 Profile: 15025) 
04BNSG-E,Lord Abbett Res. Fund Inc. - Growth Opportunities Fund,position-(Ownership:126286 Profile: 133257) 
04BHRC-E,Ohio National - Janus Henderson Enterprise Portfolio,position-(Ownership:12644 Profile: 16026) 
04BFV7-E,Goldman Sachs Technology Opportunities Fund,position-(Ownership:128543 Profile: 132063) 
04C22S-E,Eurizon Fund - Equity North America Lte,position-(Ownership:12870 Profile: 11370) 
04G8WN-E,Global Multi Strategy Fund,position-(Ownership:12890 Profile: 10198) 
04BVD3-E,Rydex Variable Trust - Technology Portfolio,position-(Ownership:1296 Profile: 1488) 
04BTM4-E,Principal Investors - Large Cap Growth Fund I,position-(Ownership:13280 Profile: 13409) 
04BVD0-E,Rydex Variable Trust - Internet Portfolio,position-(Ownership:1358 Profile: 1310) 
04BFBS-E,Blackrock Series Fund - Large Cap Core Portfolio,position-(Ownership:13900 Profile: 15774) 
04J1CN-E,Cs Index Fund (lux) - Equities Us Blue,position-(Ownership:1504 Profile: 1651) 
04KQ5D-E,Northern Trust Russell 1000 Growth Index Fund-non-lending,position-(Ownership:150881 Profile: 0) 
04HYRC-E,Ia Clarington Global Growth & Income Fund,position-(Ownership:1514 Profile: 1328) 
04CZFZ-E,Nn (l) - Us Growth Equity,position-(OwnershDip:15532 Profile: 12788) 
04JXMV-E,Equity For Life,position-(Ownership:1570 Profile: 0) 
04KWPW-E,Swisscanto Sammelstiftung Global Equity (ex-ch) Fund,position-(Ownership:1605 Profile: 1553) 
04GDB1-E,American Beacon Bridgeway Large Cap Growth Ii Fund,position-(Ownership:16400 Profile: 0) 
04BFNG-E,Hartford Small/mid Cap Equity Hls Fund,position-(Ownership:16615 Profile: 17788) 
04BJPT-E,Eq/large Cap Growth Index Portfolio,position-(Ownership:17200 Profile: 18000) 
04G3SM-E,Fidelity Balanced Income Currency Neutral Private Pool,position-(Ownership:1874 Profile: 0) 
04B8JJ-E,Alger Mid Cap Growth Portfolio,position-(Ownership:19144 Profile: 0) 
04L2HX-E,Westfield Small/mid Cap Growth Equity,position-(Ownership:19490 Profile: 19100) 
04FY00-E,Swisscanto (ch) Index Fund Iii - Eq. Fd. Msci World (ex-ch),position-(Ownership:1990 Profile: 3790) 
04BP8N-E,Transamerica Janus Mid Cap Growth Vp,position-(Ownership:209353 Profile: 217205) 
04J9ZK-E,Ubs (ch) Inst. Fund 2 - Equities Global Small Cap Passive Ii,position-(Ownership:21417 Profile: 0) 
04BJ4Q-E,Sit Mid Cap Growth Fund,position-(Ownership:21600 Profile: 14600) 
04BSZ6-E,Seasons Series Trust - Sa Multi Managed Mid Cap Growth Port.,position-(Ownership:21605 Profile: 22163) 
04KXM8-E,Sei Institutional Managed Trust - Large Cap Index Fund,position-(Ownership:2225 Profile: 2525) 
04BHL7-E,Blackrock Master Large Cap Value Portfolio,position-(Ownership:22690 Profile: 26183) 
04HMCJ-E,Sft Wellington Core Equity Fund,position-(Ownership:22952 Profile: 22511) 
04BFZ7-E,Transamerica Us Growth,position-(Ownership:230182 Profile: 240283) 
04CBCZ-E,"Pepi Finanzas, Sicav",position-(Ownership:2302 Profile: 0) 
04BFBW-E,Blackrock Series Fund - Balanced Capital Portfolio,position-(Ownership:23098 Profile: 25543) 
04BSYK-E,Seasons Series Trust - Sa Multi Managed Large Cap Growth Port.,position-(Ownership:23828 Profile: 0) 
04BHJ4-E,Blackrock Advantage Us Total Market V.i. Fund,position-(Ownership:23990 Profile: 14911) 
04CKJ4-E,Transamerica Wmc Us Growth Ii Vp,position-(Ownership:2400 Profile: 2542) 
04DPTR-E,Illinois State Board Of Investment,position-(Ownership:24746 Profile: 0) 
04GD82-E,Swisscanto (ch) Inst. Fd. - Target Risk 5 %,position-(Ownership:25 Profile: 24) 
04H1BF-E,Franklin K2 Alternative Strategies Fund,position-(Ownership:25963 Profile: 19004) 
04JF71-E,Blackrock Impact Us Equity Fund,position-(Ownership:2615 Profile: 3442) 
04FW61-E,Schroder Gaia - Egerton Equity,position-(Ownership:261559 Profile: 169168) 
04C7N8-E,Eq Advisors Trust - Multimanager Technology Portfolio,position-(Ownership:26164 Profile: 26014) 
04BHH7-E,Blackrock Advantage Large Cap Core Portfolio,position-(Ownership:268713 Profile: 299057) 
04JPKD-E,Blackrock Strategic Fds. - Style Advantage Fund,position-(Ownership:27739 Profile: 0) 
04G9GJ-E,Blackrock Advantage Hedged International Equity Fund,position-(Ownership:28189 Profile: 31506) 
04KZSM-E,Six Circles Us Unconstrained Equity Fund,position-(Ownership:29 Profile: 75) 
04GJ1Y-E,Swisscanto Ast Avant Aktien Ausland Index,position-(Ownership:2959 Profile: 2962) 
04GM7G-E,Marshall Wace Ucits Funds Plc - Mw Tops Ucits Fund,position-(Ownership:31468 Profile: 0) 
04BBXC-E,Eq/large Cap Growth Managed Volatility Portfolio,position-(Ownership:31632 Profile: 32101) 
04BGND-E,Ast Mid Cap Growth Portfolio,position-(Ownership:319966 Profile: 122980) 
04G9GD-E,Ishares Hedged International Equity Index Fund,position-(Ownership:3256 Profile: 3218) 
04G6RQ-E,Ast Wellington Mngt. Hedged Equity Port.,position-(Ownership:32910 Profile: 36352) 
04BFB8-E,Blackrock Advantage Large Cap Core V.i. Fund,position-(Ownership:35229 Profile: 41131) 
04L09B-E,Eq/mfs Technology Portfolio,position-(Ownership:35258 Profile: 43726) 
