FactSet Entity ID,Institution_name,Discrepancy_Column
002FYS-E,"The Vanguard Group, Inc.",Incorrect: eaum-(Ownership:2539168.520537 Profile: 3150981) 
000KLZ-E,Fidelity Management & Research Co.,Incorrect: aum-(Ownership:2000000 Profile: None) eaum-(Ownership:752007.284198 Profile: 892211) 
08D3XB-E,BlackRock Fund Advisors,Incorrect: aum-(Ownership:5400000 Profile: None) eaum-(Ownership:1595009.221676 Profile: 1955918) 
002HTK-E,Henderson Global Investors Ltd.,Incorrect: eaum-(Ownership:172589.495601 Profile: 211283) 
000YS6-E,Wellington Management Co. LLP,Incorrect: eaum-(Ownership:446522.61556 Profile: 493439) 
0D5G47-E,Capital Research & Management Co. (International Investors),Incorrect: eaum-(Ownership:243204.760267 Profile: 238030) 
002CH3-E,Select Equity Group LP,Incorrect: eaum-(Ownership:15056.234427 Profile: 18735) 
002JWC-E,Winslow Capital Management LLC,Incorrect: eaum-(Ownership:19701.05322 Profile: 18489) 
002JKF-E,D. E. Shaw & Co. LP,Incorrect: eaum-(Ownership:64347.518739 Profile: 59878) 
002J41-E,Renaissance Technologies LLC,Incorrect: eaum-(Ownership:119350.634018 Profile: 109091) 
