FactSet Entity ID,Institution_name,Discrepancy_Column
0C5X3J-E,Matarin Capital Management LLC,Incorrect: aum-(Ownership:1397 Profile: None) 
05KJKZ-E,KEPLER-FONDS Kapitalanlagegesellschaft m.b.H.,Incorrect: aum-(Ownership:17140 Profile: 18346) 
006840-E,"Morgan Stanley Investment Management, Inc.",Incorrect: aum-(Ownership:302543 Profile: 299577) 
077GMC-E,"Leisure Capital Management, Inc.",Incorrect: aum-(Ownership:378 Profile: 365) 
002GD9-E,"McRae Capital Management, Inc.",Incorrect: aum-(Ownership:393 Profile: 424) 
0CT27T-E,Ferris Capital LLC,Incorrect: aum-(Ownership:538 Profile: 578) 
002HGG-E,LVM Capital Management Ltd.,Incorrect: aum-(Ownership:544 Profile: 603) 
0CZR1K-E,Edgestream Partners LP,Incorrect: aum-(Ownership:845 Profile: 1488) 
05HDD9-E,Manulife Asset Management (Hong Kong) Ltd.,Incorrect: turnover-(Ownership:High Profile: Medium) 
0CYRD6-E,Cognios Capital LLC,Incorrect: turnover-(Ownership:High Profile: Medium) 
0BG6YQ-E,Richard Bernstein Advisors LLC,Incorrect: turnover-(Ownership:High Profile: Medium) 
05G259-E,"Cambridge Financial Group, Inc. (Ohio)",Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0693ZZ-E,Colonial First State Asset Management (Australia) Ltd.,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0HLG2G-E,F3Logic LLC,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0G1ZW0-E,BMO Family Office LLC,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0DFGR3-E,Janney Capital Management LLC,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0071NH-E,MML Investors Services LLC,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
002HRN-E,"Citizens Bank, NA (Investment Management)",Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0CX4WV-E,Oxbow Advisors LLC,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
00CBLB-E,"National Asset Management, Inc.",Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0080MP-E,"Lockwood Advisors, Inc.",Incorrect: turnover-(Ownership:Low Profile: Very Low) 
0C32L7-E,"GM Advisory Group, Inc.",Incorrect: turnover-(Ownership:Low Profile: Very Low) 
09MYSF-E,DoubleLine Capital LP,Incorrect: turnover-(Ownership:Low Profile: Very Low) 
085CNB-E,Johnson Bank (Investment Management),Incorrect: turnover-(Ownership:Low Profile: Very Low) 
05HJL4-E,"BMO Private Investment Counsel, Inc.",Incorrect: turnover-(Ownership:Low Profile: Very Low) 
001MDY-E,Ontario Teachers' Pension Plan Board,Incorrect: turnover-(Ownership:Medium Profile: High) 
0C7KQQ-E,"Peregrine Asset Advisers, Inc.",Incorrect: turnover-(Ownership:Medium Profile: High) 
0DFMYG-E,BMO Asset Management Corp.,Incorrect: turnover-(Ownership:Medium Profile: Low) 
05G2J8-E,Eurizon Capital SGR SpA,Incorrect: turnover-(Ownership:Medium Profile: Low) 
0D72K5-E,AHL Partners LLP,Incorrect: turnover-(Ownership:Medium Profile: Low) 
05H8J8-E,Goldman Sachs Asset Management International,Incorrect: turnover-(Ownership:Medium Profile: Low) 
05J6H7-E,"First Asset Investment Management, Inc.",Incorrect: turnover-(Ownership:Medium Profile: Low) 
00BRW2-E,Exchange Traded Concepts LLC,Incorrect: turnover-(Ownership:Medium Profile: Low) 
0G5JYF-E,Golden State Wealth Management LLC,Incorrect: turnover-(Ownership:Medium Profile: Low) 
002N25-E,First State Investment Management (UK) Ltd.,Incorrect: turnover-(Ownership:Medium Profile: Low) 
0DFPJV-E,Sumitomo Mitsui Banking Corp. (Investment Management),Incorrect: turnover-(Ownership:Medium Profile: Very High) 
00B4HZ-E,Global X Management Co. LLC,Incorrect: turnover-(Ownership:Medium Profile: Very Low) 
0DV7CF-E,Long Road Investment Counsel LLC,Incorrect: turnover-(Ownership:Medium Profile: Very Low) 
0GZX48-E,FinEx Investment Management LLP,Incorrect: turnover-(Ownership:Medium Profile: Very Low) 
000KLZ-E,Fidelity Management & Research Co.,Incorrect: turnover-(Ownership:Very Low Profile: Low) 
002HYD-E,"Wells Capital Management, Inc.",Incorrect: turnover-(Ownership:Very Low Profile: Low) 
