FactSet Entity ID,Institution_name,Discrepancy_Column
002FYS-E,"The Vanguard Group, Inc.",
05J8D9-E,"SSgA Funds Management, Inc.",
05Z9G0-E,Trian Fund Management LP,
08D3XB-E,BlackRock Fund Advisors,
000YS6-E,Wellington Management Co. LLP,
06NPXD-E,Capital Research & Management Co. (World Investors),
002HWS-E,Parnassus Investments,
002HTK-E,Henderson Global Investors Ltd.,
0D3J68-E,Wells Fargo Clearing Services LLC,
05J871-E,"Northern Trust Investments, Inc.(Investment Management)",
0049LH-E,Geode Capital Management LLC,
05KFYG-E,Norges Bank Investment Management,
002C2Z-E,"American Century Investment Management, Inc.",
002HL1-E,"Invesco Advisers, Inc.",
001KSQ-E,Yacktman Asset Management LP,Incorrect: turnover-(Ownership:Medium Profile: Low) 
009SF1-E,Managed Account Advisors LLC,
0CFF4J-E,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",
000KLZ-E,Fidelity Management & Research Co.,
09Q5CD-E,Columbia Management Investment Advisers LLC,
000WWX-E,State Farm Investment Management Corp.,
05J6LL-E,Legal & General Investment Management Ltd.,
06KMJB-E,BlackRock Investment Management (UK) Ltd.,
060YMK-E,Millennium Management LLC,
002KM8-E,"Victory Capital Management, Inc.(Investment Management)",
000D7G-E,The California Public Employees Retirement System,
000BPX-E,APG Asset Management NV,
06BJ1G-E,ClearBridge Investments LLC,
0DFMYG-E,BMO Asset Management Corp.,
00D1FG-E,Two Sigma Advisers LP,
077CYS-E,"Bank of America, NA (Private Banking)",
05TP21-E,Invesco Capital Management LLC,
05FDPL-E,Parametric Portfolio Associates LLC,
000TNX-E,"T. Rowe Price Associates, Inc. (Investment Management)",
002HXG-E,"Charles Schwab Investment Management, Inc.",
05QBT3-E,"Nikko Asset Management Co., Ltd.",
0D8XX0-E,Schweizerische Nationalbank (Investment Portfolio),
002HYD-E,"Wells Capital Management, Inc.",
08GP1D-E,BlackRock Advisors (UK) Ltd.,
05J6S2-E,The Bank of New York Mellon Corp. (Investment Management),
0CSDC8-E,GLC Asset Management Group Ltd.,
001ZHV-E,"TD Asset Management, Inc.",
06TMWC-E,Natixis Investment Managers International SA,
05F9JR-E,Mellon Investments Corp.,
05F9FS-E,AllianceBernstein LP,
06DB7L-E,FIAM LLC,
000HJ9-E,Dimensional Fund Advisors LP,
05G7NS-E,Robeco Institutional Asset Management BV,
0DCFD3-E,Goldman Sachs & Co. LLC (Private Banking),
002VFW-E,Eminence Capital LP,
002B3Q-E,New York State Common Retirement Fund,
002K0M-E,Goldman Sachs Asset Management LP,
05G79W-E,Nordea Investment Management AB (Denmark),
0C71LH-E,Suvretta Capital Management LLC,
0049LM-E,Two Sigma Investments LP,
0G6H0W-E,Point72 Asset Management LP,
0049MY-E,Balyasny Asset Management LP,
0084HS-E,ProShare Advisors LLC,
089DR7-E,"BlackRock Financial Management, Inc.",
007813-E,Allen Investment Management LLC,
002J41-E,Renaissance Technologies LLC,
0GB4MX-E,Morgan Stanley Smith Barney LLC (Invt Mgmt),
0D9L9X-E,"Raymond James & Associates, Inc. (Invt Mgmt)",
05L9XV-E,PGGM Vermogensbeheer BV,
0CN24P-E,City National Rochdale LLC,
06L8XD-E,BlackRock Investment Management LLC,
0DMSKN-E,"Stifel Nicolaus & Co., Inc. (Investment Management)",
060R9V-E,"Hexavest, Inc.",
05HPFF-E,Canada Pension Plan Investment Board,
0DB9DH-E,Manulife Asset Management Ltd.,
06M2R5-E,Pictet Asset Management SA,
0031SR-E,RhumbLine Advisers LP,
05LVY7-E,South Texas Money Management Ltd.,
05H9LL-E,"BMO Asset Management, Inc.",
05K28L-E,State Street Global Advisors Ltd.,
07MY7Y-E,Korea Investment Corp. (Investment Management),
05FWL8-E,UBS AG (Investment Management),
003LBB-E,AQR Capital Management LLC,
002DRR-E,California State Teachers' Retirement System,
05V7SP-E,Barclays Bank Plc (Private Banking),
000TGV-E,"Amundi Pioneer Asset Management, Inc.",
002HFV-E,Fairview Capital Investment Management LLC,
06MV32-E,Allianz Global Investors GmbH,
0DLBGG-E,Vanguard Global Advisers LLC,
002CDB-E,First Trust Advisors LP,
002HPC-E,TIAA-CREF Investment Management LLC,
002XTV-E,UBS Asset Management (UK) Ltd.,
002JMH-E,"Boston Trust Investment Management, Inc.",
002J62-E,AJO LP,
000P8M-E,"Lord, Abbett & Co. LLC",
05VHVJ-E,Lazard Asset Management LLC,
002HP5-E,Teachers Advisors LLC,
002LLQ-E,Acadian Asset Management LLC,Incorrect: aum-(Ownership:96765 Profile: 84637) 
06327D-E,Mitsubishi UFJ Trust & Banking Corp. (Investment Management),
