factset_fund_id,style,turnover_label,Discrepancy Column,Discrepancy Source
04B8B9-E,,Medium,,
04B8BC-E,Value,Low,,
04B8BD-E,Value,Very Low,,
04B8BH-E,,High,,
04B8BK-E,Value,Very Low,,
04B8BM-E,,Low,,
04B8BP-E,,Low,,
04B8BQ-E,Yield,Medium,,
04B8BR-E,Yield,Very Low,,
04B8BX-E,,Medium,,
04B8BY-E,Growth,Low,,
04B8C0-E,Growth,Very Low,,
04B8C3-E,,Medium,,
04B8C9-E,,Low,,
04B8CG-E,,High,,
04B8CH-E,,High,,
04B8CL-E,,Low,,
04B8CS-E,,Very High,,
04B8CT-E,Growth,Low,,
04B8CY-E,Growth,Medium,,
04B8D0-E,,Low,,
04B8D1-E,,Medium,,
04B8D3-E,Yield,Medium,,
04B8D4-E,,High,,
04B8D5-E,Value,Very Low,,
04B8D8-E,Yield,Low,,
04B8DB-E,,Medium,,
04B8DD-E,,Medium,,
04B8DF-E,,Very Low,,
04B8DG-E,Growth,Very Low,,
04B8DK-E,,High,,
04B8DL-E,,High,,
04B8DM-E,Growth,Medium,,
04B8DN-E,Yield,Very Low,,
04B8DS-E,,Medium,,
04B8DT-E,,Low,,
04B8DY-E,GARP,Medium,,
04B8DZ-E,,Low,,
04B8F0-E,,High,,
04B8F2-E,,Medium,,
04B8F3-E,,Medium,,
04B8F5-E,,Very Low,,
04B8F6-E,,High,,
04B8F8-E,,Medium,,
04B8FC-E,Growth,Very Low,,
04B8FD-E,,Medium,,
04B8FG-E,,Medium,,
04B8FJ-E,Deep Value,Very Low,,
04B8FK-E,Index,Medium,,
04B8FN-E,Growth,Low,,
04B8FP-E,,Low,,
04B8FQ-E,,Low,,
04B8FR-E,Growth,Medium,,
04B8FS-E,Value,Medium,,
04B8FT-E,,High,,
04B8FV-E,,Very High,,
04B8FW-E,,High,,
04B8G1-E,Growth,Low,,
04B8G6-E,Aggressive Growth,Very Low,,
04B8G7-E,,Low,,
04B8G8-E,GARP,Low,,
04B8G9-E,,Low,,
04B8GB-E,,,,
04B8GC-E,,Very High,,
04B8GF-E,,,,
04B8GK-E,,High,,
04B8GL-E,,Very High,,
04B8GN-E,,Very Low,,
04B8GP-E,,Medium,,
04B8H0-E,,Low,,
04B8H4-E,,Medium,,
04B8H5-E,,Medium,,
04B8H8-E,Growth,Very Low,,
04B8H9-E,,Very High,,
04B8HC-E,,Medium,,
04B8HJ-E,Growth,Low,,
04B8HK-E,,Very High,,
04B8HM-E,Growth,Low,,
04B8HN-E,Yield,Low,,
04B8HR-E,Aggressive Growth,High,,
04B8HS-E,Growth,Low,,
04B8HT-E,Index,Very Low,,
04B8HV-E,Growth,High,,
04B8HY-E,Aggressive Growth,Very Low,,
04B8HZ-E,Growth,Very Low,,
04B8J0-E,Growth,Very Low,,
04B8J3-E,,Medium,,
04B8J7-E,,Medium,,
04B8J8-E,,Low,,
04B8J9-E,,High,,
04B8JB-E,,Very Low,,
04B8JC-E,,Very High,,
04B8JD-E,Growth,Very Low,,
04B8JJ-E,Growth,High,,
04B8JT-E,,Low,,
04B8JV-E,Growth,Very Low,,
04B8JW-E,Yield,Very Low,,
04B8JY-E,Value,Low,,
04B8K6-E,,Very Low,,
04B8K7-E,Growth,Low,,
04B8K9-E,,Medium,,
04B8KC-E,Growth,Low,,
04B8KF-E,,,,
04B8KH-E,Growth,Very Low,,
04B8KR-E,Growth,Very Low,,
04B8KV-E,,Medium,,
04B8KW-E,,Low,,
04B8KY-E,Aggressive Growth,Very Low,,
04B8KZ-E,,Very High,,
04B8L5-E,,Medium,,
04B8L6-E,,Low,,
04B8L7-E,Growth,Very Low,,
04B8LB-E,,Low,,
04B8LC-E,,Medium,,
04B8LG-E,,Very High,,
04B8LL-E,Value,Low,,
04B8LM-E,,,,
04B8LN-E,Yield,Low,,
04B8LR-E,Yield,Very Low,,
04B8LS-E,,Very High,,
04B8LV-E,,Very Low,,
04B8M2-E,,Medium,,
04B8M6-E,Growth,Very Low,,
04B8MG-E,,High,,
04B8MJ-E,Growth,Very Low,,
04B8MK-E,,Medium,,
04B8ML-E,,Medium,,
04B8MM-E,Growth,Very Low,,
04B8MQ-E,,Very High,,
04B8MR-E,,High,,
04B8MW-E,,Medium,,
