factset_entity_id,name,ManagerStyle,InstitutionFixedStyle,Discrepancy Column,,,,
0L0SQL-E,,,,,,,,
0L0W5T-E,,,,,,,,
0L2K1N-E,,,,NO DATA,,,,
0L2DKM-E,,,,NO DATA,,,,
0L0K0G-E,,,,,,,,
0L0NP6-E,,,,,,,No Data:,46
0L267F-E,,,,Aggressive Growth,,,Discrepancies,1562
0L29BS-E,,,,NO DATA,,,,
0L29R8-E,,,,NO DATA,,,,
0L2FVV-E,,,,NO DATA,,,,
0L0WRP-E,,,,,,,,
0L28T7-E,,,,NO DATA,,,,
0L0NXH-E,,,Yield,,,,,
0L2LVN-E,,,,NO DATA,,,,
0L115V-E,,,,,,,,
0L11ZB-E,,,,,,,,
0L2G0T-E,,,,NO DATA,,,,
0L0W3D-E,,,,,,,,
0L0G9B-E,,,,,,,,
0L2691-E,,,,Aggressive Growth,,,,
0L0GS1-E,,,,,,,,
0H47C6-E,,,,,,,,
0L2DY0-E,,,,NO DATA,,,,
0L0R3W-E,,,,,,,,
0L0WB4-E,,,,,,,,
0L0T1B-E,,,,,,,,
0L2BX8-E,,,,NO DATA,,,,
0L0R0T-E,,,,,,,,
0L1000-E,,,,,,,,
0L2KBC-E,,,,NO DATA,,,,
0L11PW-E,,,,,,,,
0L0JL1-E,,,,,,,,
0L299C-E,,,,NO DATA,,,,
0L2DNP-E,,,,NO DATA,,,,
0L26SK-E,,,,,,,,
0L0WM9-E,,,,,,,,
0L2MRW-E,,,,NO DATA,,,,
0L26B7-E,,,,GARP,,,,
0L0R2W-E,,,,,,,,
0L11YD-E,,,,,,,,
0L28ZB-E,,,,NO DATA,,,,
0L0ZQH-E,,,,,,,,
0L0Y1T-E,,,,,,,,
0L0GHL-E,,,,,,,,
0L0NWG-E,,,Yield,,,,,
0L0T60-E,,,,,,,,
0L11VC-E,,,,,,,,
0L2996-E,,,,NO DATA,,,,
0L0Y25-E,,,,,,,,
0L2C6G-E,,,,NO DATA,,,,
0L0GXX-E,,,,,,,,
0L24TM-E,,,,,,,,
0L0MPR-E,,,,,,,,
0L2C7D-E,,,,NO DATA,,,,
0L0XNH-E,,,,,,,,
0L25MN-E,,,,,,,,
0L0NVJ-E,,,,,,,,
0L0RF1-E,,,,,,,,
0L2KY8-E,,,,NO DATA,,,,
0L0ZQZ-E,,,,,,,,
0L0G9D-E,,,,,,,,
0L0K46-E,,,,,,,,
0L0JTJ-E,,,,,,,,
0L2DPT-E,,,,NO DATA,,,,
0L0NRY-E,,,Yield,,,,,
0L0NY1-E,,,,,,,,
0L0WGN-E,,,,,,,,
0L24TT-E,,,,,,,,
0L0HW2-E,,,,,,,,
0L0P4V-E,,,,,,,,
0L0XG1-E,,,,,,,,
0L0P38-E,,,,,,,,
0L0S9Y-E,,,,,,,,
0L0SHT-E,,,,,,,,
0L0R5X-E,,,,,,,,
0L0MJ4-E,,,,,,,,
0L2FJ4-E,,,,NO DATA,,,,
0L29D5-E,,,,NO DATA,,,,
0L0M39-E,,,,,,,,
0L0KGM-E,,,,,,,,
0L2H26-E,,,,NO DATA,,,,
0L10C1-E,,,,,,,,
0L266P-E,,,,Growth,,,,
0L11MK-E,,,,,,,,
0L2643-E,,,,,,,,
0L0SYY-E,,,,,,,,
0L24SF-E,,,,,,,,
0L2J6Y-E,,,,NO DATA,,,,
0H688D-E,#Angels,,,,,,,
0732VW-E,"(212) Ventures, Inc.",,,,,,,
06SDCB-E,.406 Ventures,,,,,,,
0BZDT0-E,?irokopojasne Mre?e doo,,,,,,,
0G0YDT-E,01 Venture Capital,,,,,,,
0GB6YK-E,01 Ventures LLP,,,,,,,
0GZ8QW-E,01Booster Inc.,,,,,,,
0HBYQD-E,021 Capital Advisors LLP,,,,,,,
002Y6P-E,033 Asset Management LLC,,,,,,,
0D2DX9-E,035 Investimenti SpA,,,,,,,
0C2W1L-E,1 North Wealth Services LLC,,Yield,,,,,
0FT88D-E,1/0 Capital LLC,,,,,,,
0CVDQP-E,1:a Vastmanlandsfonden AB,,,,,,,
0J76BH-E,10 Point Capital,,,,,,,
00D1C5-E,"10-15 Associates, Inc.",,Yield,,,,,
0KK2PM-E,"100 Capital, Inc.",,,,,,,
0J608J-E,100 Partner Ventures Co. Ltd.,,,,,,,
0640MJ-E,100x Ventures,,,,,,,
0J5YHR-E,10100 LLC,,,,,,,
0G6JPN-E,1060 Capital LLC,,Growth,,,,,
070PDL-E,10K Capital LLC,,,,,,,
0GX210-E,10Talents Investors LLC,,,,,,,
0DHQ6X-E,10X Investments (Pty) Ltd.,,,Yield,,,,
0CS524-E,10X Venture Partners LLC,,,,,,,
0K6J4N-E,"11-11 Ventures, LLC",,,,,,,
0DY8XP-E,11.2 Capital Management LLC,,,,,,,
