,FactSetEntityId,CurrentReportDate,Style,ManagerStyle,TurnoverLabel,TotalAUM,FDS13FFlag,Discrepancy Column
0,000C65-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Medium,40215.0,1,
1,000C6K-E,2018-02-28 00:00:00 +0000,GARP,Hedge Fund,,,0,
2,000C8R-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,895.0,1,
3,000C90-E,2008-09-30 00:00:00 +0000,,Hedge Fund,,,1,
4,000CK2-E,2000-09-29 00:00:00 +0000,,Hedge Fund,,,0,
5,000CN3-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Low,2820.0,1,
6,000CND-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,High,30747.0,1,
7,000FFT-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Medium,182.0,1,
8,000HK7-E,2006-03-31 00:00:00 +0000,,Hedge Fund,,,1,
9,000JCY-E,2018-05-01 00:00:00 +0000,,Hedge Fund,,,1,
10,000JGK-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,33643.0,1,
11,000LT6-E,,,Hedge Fund,,,1,
12,000LVP-E,2011-12-31 00:00:00 +0000,,Hedge Fund,,,1,
13,000LXL-E,2019-03-31 00:00:00 +0000,Yield,Hedge Fund,Low,,1,
14,000NXG-E,2017-03-20 00:00:00 +0000,,Hedge Fund,,,1,
15,000P0M-E,2017-11-21 00:00:00 +0000,Yield,Hedge Fund,,31.0,0,
16,000PF7-E,2012-09-30 00:00:00 +0000,,Hedge Fund,,,1,
17,000PQ2-E,,,Hedge Fund,,,0,
18,000VKD-E,2017-04-10 00:00:00 +0000,,Hedge Fund,,,0,
19,000VN1-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Low,157.0,1,
20,000VR8-E,2018-12-31 00:00:00 +0000,Value,Hedge Fund,,,0,N/A
21,000YSW-E,2006-05-09 00:00:00 +0000,,Hedge Fund,,,1,N/A
22,000Z45-E,,,Hedge Fund,,694.0,0,N/A
23,000ZFK-E,2017-03-10 00:00:00 +0000,,Hedge Fund,,,1,N/A
24,0010BL-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,,,1,N/A
25,0010FM-E,2019-03-31 00:00:00 +0000,Growth,Hedge Fund,Medium,,1,N/A
26,0010SD-E,2019-02-01 00:00:00 +0000,GARP,Hedge Fund,,,0,N/A
27,00116S-E,2008-12-31 00:00:00 +0000,,Hedge Fund,,,1,N/A
28,0011J1-E,2007-03-31 00:00:00 +0000,,Hedge Fund,,,1,N/A
29,0011TN-E,2018-10-17 00:00:00 +0000,,Hedge Fund,,574.0,0,N/A
30,0011XG-E,2007-09-30 00:00:00 +0000,,Hedge Fund,,,1,N/A
31,0011Y4-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,1901.0,1,N/A
32,0012MH-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,1703.0,1,N/A
33,0012ZV-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,29099.0,1,N/A
34,00132N-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,2482.0,1,N/A
35,00134N-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Very Low,2725.0,1,N/A
36,001358-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,High,741.0,1,N/A
37,0013X9-E,2019-03-31 00:00:00 +0000,Yield,Hedge Fund,Very Low,25066.0,1,N/A
38,0013XN-E,2019-04-01 00:00:00 +0000,GARP,Hedge Fund,,,0,N/A
39,0013ZM-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Very Low,182.0,1,N/A
40,00140T-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,28579.0,1,N/A
41,0014VV-E,,,Hedge Fund,,,0,N/A
42,0016FP-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Low,10074.0,1,N/A
43,0016HY-E,2012-03-31 00:00:00 +0000,,Hedge Fund,,,1,N/A
44,0016Z2-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,,1,N/A
45,00176H-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,High,1397.0,1,N/A
46,00179W-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,,1,N/A
47,0017GJ-E,2019-03-15 00:00:00 +0000,Aggressive Growth,Hedge Fund,,50.0,0,N/A
48,0017HB-E,2005-01-12 00:00:00 +0000,,Hedge Fund,,,1,N/A
49,0017ZB-E,2008-12-31 00:00:00 +0000,,Hedge Fund,,,1,N/A
50,0018BF-E,2005-11-14 00:00:00 +0000,,Hedge Fund,,,1,N/A
51,0018FW-E,2014-01-27 00:00:00 +0000,,Hedge Fund,,,1,N/A
52,0018XT-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,High,36060.0,1,N/A
53,001BMP-E,2019-04-22 00:00:00 +0000,Deep Value,Hedge Fund,,,0,N/A
54,001BQN-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Very Low,372.0,1,N/A
55,001BRP-E,2016-06-30 00:00:00 +0000,,Hedge Fund,,,1,N/A
56,001CMV-E,2008-09-30 00:00:00 +0000,,Hedge Fund,,,1,N/A
57,001DDN-E,,,Hedge Fund,,,0,N/A
58,001DGK-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,,1,N/A
59,001DN5-E,2018-07-20 00:00:00 +0000,GARP,Hedge Fund,,552.0,0,N/A
60,001DTQ-E,2007-10-31 00:00:00 +0000,,Hedge Fund,,,1,N/A
61,001F5Z-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,,,1,N/A
62,001FCX-E,2012-12-31 00:00:00 +0000,,Hedge Fund,,,0,N/A
63,001G5D-E,2010-12-31 00:00:00 +0000,,Hedge Fund,,,1,N/A
64,001H9C-E,2019-03-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,Medium,686.0,1,N/A
65,001H9G-E,2009-06-30 00:00:00 +0000,,Hedge Fund,,,1,N/A
66,001J02-E,2015-09-30 00:00:00 +0000,,Hedge Fund,,,1,N/A
67,001JJT-E,2007-08-30 00:00:00 +0000,,Hedge Fund,,,0,N/A
68,001KZT-E,2014-02-24 00:00:00 +0000,,Hedge Fund,,,1,N/A
69,001LH5-E,2015-12-31 00:00:00 +0000,,Hedge Fund,,76.0,0,N/A
70,001LRL-E,2018-06-07 00:00:00 +0000,Yield,Hedge Fund,,1886.0,0,N/A
71,001LTJ-E,2019-04-08 00:00:00 +0000,Aggressive Growth,Hedge Fund,,,0,N/A
72,001M86-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Medium,8736.0,1,N/A
73,001MWW-E,2015-09-30 00:00:00 +0000,,Hedge Fund,,,1,N/A
74,001P2K-E,,,Hedge Fund,,,0,N/A
75,001P7Y-E,2009-09-30 00:00:00 +0000,,Hedge Fund,,,1,N/A
76,001PJY-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Very Low,1856.0,1,N/A
77,001PKQ-E,2013-03-31 00:00:00 +0000,,Hedge Fund,,,0,N/A
78,001Q0T-E,2019-03-31 00:00:00 +0000,Value,Hedge Fund,Medium,2232.0,1,N/A
79,001Q1T-E,2019-03-31 00:00:00 +0000,Yield,Hedge Fund,Medium,174.0,1,N/A
80,001Q8G-E,,,Hedge Fund,,5024.0,0,N/A
81,001QW9-E,2011-06-30 00:00:00 +0000,,Hedge Fund,,,1,N/A
82,001RH3-E,2018-12-31 00:00:00 +0000,GARP,Hedge Fund,,76.0,0,N/A
83,001S4P-E,2019-03-31 00:00:00 +0000,Deep Value,Hedge Fund,Very Low,,1,N/A
84,001SBP-E,2006-12-31 00:00:00 +0000,,Hedge Fund,,,1,N/A
85,001SHD-E,2018-12-31 00:00:00 +0000,Aggressive Growth,Hedge Fund,,,0,N/A
