factset_entity_id,name,ManagerStyle,InstitutionFixedStyle,Discrepancy Column,Discrepancy Source
065H07-E,Janus Henderson Investors (Singapore) Ltd.,,GARP,,
065K6C-E,Allegra Partners LLC,,,NO DATA,
065QQ5-E,DLJ Investment Partners,,,,
065VHC-E,Askembla Asset Management AB,,,NO DATA,
0660NS-E,"National Bank Investments, Inc.",,,,
06657D-E,Reservoir Capital Group LLC,,,,
066FPG-E,Nordwind Capital GmbH,,,,
066P1D-E,Real Grandeza Fundacao de Previdencia e Assistencia Social,,GARP,,
066PDH-E,Islington Council Pension Fund,,GARP,,
066PF1-E,Chicago Policemen's Annuity & Benefit Fund,,,,
066RSP-E,Ping An Securities Co. Ltd.,,,,
066W04-E,WestRiver Capital LLC,,,,
066ZQW-E,Nicusa Capital Partners LP,,Deep Value,,
0671PP-E,Avantce Capital LLC,,,,
067D7L-E,Rezco Collective Investment Ltd.,,GARP,,
067J1G-E,Medica Venture Partners,,,,
067JF4-E,GIC (London) Private Ltd.,,,,
09JGXK-E,Hume Capital LLP,,,,
09JWSH-E,Brackenham Investments (Pty) Ltd.,,GARP,,
09JZT0-E,"The Juda Group, Inc.",,,,
09K0LS-E,Arab National Bank Investment Co.,,,,
09KFKJ-E,Indiabulls Securities Ltd. (Broker),,,,
09KMFF-E,Malacca Securities Sdn. Bhd.,,,,
09KRJ1-E,Next World Capital LLC,,,,
09KRJ9-E,Aspire Capital Partners LLC,,,,
09L1PN-E,China First Capital Ltd.,,,,
09LG47-E,ACADEMIX Consult AG,,,,
09LGHB-E,Legend Capital Management LLC (New York),,,,
0BTD27-E,"BDO Unibank, Inc. (Investment Management)",,GARP,,
0BTLML-E,Harbert Private Equity (Australia),,,,
0BTMLF-E,Montea CVA (Investment Management),,,N/A,N/A
0BTSXW-E,Centurion Venture Partners LLC,,,N/A,N/A
0BVLRM-E,"MyVenture Partners, Inc.",,,N/A,N/A
0D7NT2-E,Armory Capital LLC,,,N/A,N/A
0D7SDK-E,Indocean Chase Capital Advisors Pvt Ltd.,,,N/A,N/A
0D80CJ-E,GaveKal Capital Ltd.,,GARP,N/A,N/A
0D849M-E,Neuberger Berman Singapore Pte Ltd.,,,N/A,N/A
0D8DQF-E,Altimeter Capital Management LP (Venture Capital),,,N/A,N/A
0D8K7R-E,Towers Watson Investment Management Ltd.,,GARP,N/A,N/A
0F9283-E,IND-X Advisors Ltd. (Cha-Am Research),,,N/A,N/A
0F987G-E,Focus Equity,,,N/A,N/A
0F9CVG-E,Shanghai Fengshi Equity Investment Management Co. Ltd.,,,N/A,N/A
0F9K73-E,Colony Insurance Co. (Investment Portfolio),,,N/A,N/A
0F9LKK-E,Kitagin Leasing Systems Co. Ltd. (Venture Capital),,,N/A,N/A
0GDLVK-E,Jeneration Capital Advisors (Hong Kong) Ltd.,,,N/A,N/A
0GDY5J-E,Macro Analytics for Professionals,,,N/A,N/A
0GF3MX-E,SilverSea Asset Management Pte Ltd.,,,N/A,N/A
0GFHX0-E,Sherpa Capital SAPI de CV,,,N/A,N/A
0GFP0G-E,Wealthify Ltd.,,,N/A,N/A
0HH6YN-E,Resonance Asset Management Ltd.,,,N/A,N/A
0HHJV9-E,North Island Manageco LLC,,,N/A,N/A
0HHPHH-E,Hunter Street Partners LP,,,N/A,N/A
0HHWCP-E,Fort Amsterdam Capital LLC,,,N/A,N/A
0HHWDP-E,Francis Capital Group LLC,,,N/A,N/A
0JFYC6-E,SLK Venture Capital,,,N/A,N/A
0KBMQ0-E,Beijing Rongzhi Fangde Investment Center LP,,,N/A,N/A
007YNP-E,Silver Sail Advisors LLP,,,N/A,N/A
007Z50-E,Del Mar Asset Management LP,,GARP,N/A,N/A
007ZV4-E,Highlander Fund Management LLC,,,N/A,N/A
0080HR-E,Farallon Capital Asia Pte Ltd.,,,N/A,N/A
0080JP-E,Scotsman Capital Management LLC,,,N/A,N/A
0080JW-E,WestEnd Advisors LLC,,GARP,N/A,N/A
0080KW-E,Hound Partners LLC,,GARP,N/A,N/A
0080MY-E,Sandelman Partners LP,,,N/A,N/A
00820D-E,Geller Advisors LLC,,GARP,N/A,N/A
0083F6-E,"Tuohy Brothers Investment Research, Inc.",,,N/A,N/A
0086L3-E,"WisdomTree Asset Management, Inc.",,Yield,N/A,N/A
0089XW-E,Azimuth Capital LLC,,,N/A,N/A
008C5Q-E,"Transamerica Financial Advisors, Inc.",,GARP,N/A,N/A
008HM9-E,"Catalyst Ventures, Inc.",,,N/A,N/A
05VYNJ-E,The Empire Life Insurance Co. (Investment Portfolio),,Yield,N/A,N/A
05W5KD-E,Artesia Gestao de Recursos SA,,,N/A,N/A
05W8TY-E,Shah Management LLC,,,N/A,N/A
