factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating
000BJX-E,"Advance Capital Management, Inc.",0,GARP,Medium,0,0
000BL3-E,"Advisory Research, Inc.",0,GARP,Low,6148.028812,73
000BPX-E,APG Asset Management NV,45416,GARP,Medium,63666.74282,79
000BQ0-E,"Fred Alger Management, Inc.",970000,Growth,Medium,25454.78101,76
000CGW-E,Barings LLC,9850,GARP,Medium,5119.976975,60
000CKR-E,Morgan Stanley (Switzerland) AG,0,GARP,Medium,0,0
000CM9-E,"Barrow, Hanley, Mewhinney & Strauss LLC",7142587,Value,Low,57827.17169,88
000CZG-E,The Boston Company Asset Management LLC,0,Value,Medium,0,0
000D7G-E,The California Public Employees Retirement System,367009,Index,Very Low,82219.03118,89
000FF4-E,Credit Suisse Securities (USA) LLC (Broker),605000,Broker Dealer,Medium,80170.17725,57
000HJ9-E,Dimensional Fund Advisors LP,1090485,Quant,Very Low,257133.0893,81
000HPH-E,BNY Mellon Investment Adviser Inc.,309657,Value,Very Low,39180.71881,86
000HYP-E,Portico Benefit Services,0,GARP,Medium,0,0
000KJ7-E,Fisher Asset Management LLC,0,GARP,Very Low,85842.52657,93
000KLZ-E,Fidelity Management & Research Co.,1650000,GARP,Low,752007.2842,99
000KN8-E,BMO Asset Managers Ltd.,167930,GARP,Low,10581.09506,74
000KVL-E,"GAMCO Asset Management, Inc.",19048,Value,Very Low,13675.04333,80
000KYJ-E,"GE Asset Management, Inc.",0,Value,Medium,0,0
000L3V-E,"Grantham, Mayo, Van Otterloo & Co. LLC",0,Quant,Medium,15391.6818,55
000LH9-E,Federated MDTA LLC,0,GARP,Medium,5983.243904,57
000LV0-E,"Howard Hughes Medical Institute, Inc. (Investment Management)",0,GARP,Medium,469.145772,61
000N8F-E,Janus Capital Management LLC,0,GARP,Low,14180.14023,80
000NVY-E,Luther King Capital Management Corp.,854276,GARP,Very Low,13167.52688,82
000NWQ-E,"Klingenstein, Fields & Co. LLC",1952,GARP,Very Low,1922.868283,74
000P8J-E,"Loomis, Sayles & Co. LP",100000,Growth,Very Low,51779.4216,91
000P8M-E,"Lord, Abbett & Co. LLC",70100,GARP,Medium,47425.39191,79
000PC4-E,MacKay Shields LLC,55666,Value,Low,13848.06977,73
000PHW-E,Massachusetts Financial Services Co.,0,GARP,Very Low,243928.6592,98
000Q6S-E,"JPMorgan Investment Management, Inc.",4010000,GARP,Very Low,244223.7989,91
000R9G-E,New York State Teachers Retirement System,282111,Index,Very Low,39955.66575,87
000RBG-E,"Nicholas Co., Inc.",0,GARP,Very Low,4450.19088,78
000RGG-E,Mason Street Advisors LLC,31333,GARP,Very Low,4647.338405,68
000SX3-E,"OppenheimerFunds, Inc.",272221,GARP,Medium,83662.92443,86
000T3H-E,Palisade Capital Management LLC,4020,GARP,Low,3148.470024,66
