factset_fund_id,fs_perm_sec_id,name
04B8XN-E,RRVT3V-S,Cgm Realty Fund
04B93H-E,TF5788-S,Delaware Vip Trust - Small Cap Value Series
04BB0C-E,TF5788-S,Gabelli Equity Income Fund (the)
04BBR4-E,RRVT3V-S,Clearbridge Value Trust
04BDFG-E,RRVT3V-S,Clearbridge All Cap Value Fund
04BF29-E,QSFJYG-S,Vanguard Dividend Growth Fund
04BFZK-E,K7TC4L-S,Jnl/causeway Intl. Value Select Fund
04BH8N-E,BPDFW5-S,Invesco Small Cap Value Fund
04BK1S-E,TF5788-S,Oppenheimer Mid Cap Value Fund
04BKCW-E,TF5788-S,Delaware Small Cap Value Fund
04BNVH-E,RRVT3V-S,Columbia Select Mid Cap Value Fund
04BP77-E,HWZGPH-S,T Rowe Price Institutional Large Cap Value Fund
04BPYC-E,G0GGMR-S,Virtus Kar Small Cap Value Series
04BT3C-E,TF5788-S,Advisors Inner Circle - Lsv Value Equity Fund
04BVLX-E,HWZGPH-S,Brighthouse Funds Trust I - T Rowe Price Large Cap Value Port.
04C2C9-E,K7TC4L-S,Causeway International Value Fund
04C3YW-E,TF5788-S,Harbor Mid Cap Value Fund
04C6VH-E,K7TC4L-S,Sentry All Cap Income Fund
04C89V-E,K7TC4L-S,Sentry Canadian Income Fund
04C8LG-E,PM37VG-S,Robeco Boston Partners All-cap Value Fund
04CDBX-E,K7TC4L-S,Manulife Fundamental Income Fund
04CKN4-E,TF5788-S,Gabelli Dividend & Income Trust
04CLPV-E,G0GGMR-S,American Century Mid Cap Value Fund
04CQDW-E,WM44MK-S,Segall Bryant & Hamill Small Cap Value Dividend Fund
04CQV3-E,RRVT3V-S,Jpmorgan Value Advantage Fund
04CQV3-E,QSFJYG-S,Jpmorgan Value Advantage Fund
04CR41-E,K7TC4L-S,Wells Fargo C&b Large Cap Value Portfolio
04CTNB-E,BPDFW5-S,Crm Small Cap Value Fund
04CWSQ-E,G0GGMR-S,Virtus Kar Small Cap Value Fund
04D35R-E,Q67K95-S,Smead Value Fund
04DJV7-E,JWJK3F-S,Natixis Fds. Tr. Ii - Vaughan Nelson Value Opportunity Fund
04DR1D-E,K7TC4L-S,Desjardins Dividend Growth Fund
04GXBL-E,WM44MK-S,Segall Bryant & Hamill Small Cap Value Fund
04H1DC-E,RRVT3V-S,Pacific Select Fund - Value Advantage Portfolio
04HL9T-E,TWS419-S,Cardinal Small Cap Value Fund
04JD7Q-E,TF5788-S,Bridge Builder Small/mid Cap Value Fund
04JD9Z-E,TF5788-S,Clarkston Partners Fund (the)
04JRQ7-E,K7TC4L-S,Manulife Dividend Income Fund
04KBT3-E,WM44MK-S,Robeco Institutional Value Equity Fund
04KV0T-E,WM44MK-S,Robeco Inst. Umb. - Qi Global Developed Value Equities
NULL,TF5788-S,NULL
NULL,PX4PQN-S,NULL
NULL,TWS419-S,NULL
