factset_fund_id,AUM,equity_aum
04DF37-E ,NULL,NULL
04KMG8-E ,92411656,28050845
04HMN6-E ,42947685,47322662
04C311-E ,NULL,1114760280
04CG6L-E ,555080823,12771379
04BW9N-E ,1437059594,1831328098
04HYJW-E ,294193540,263296491
04BW9L-E ,109910541,479923373
04B8VC-E ,1227586077,2200718367
04BW9K-E ,80371335,141982874
04B9GM-E ,836930818,1088418132
04B9FD-E ,68645154,254908313
04B8R6-E ,494918954,361687027
04F5J4-E ,18479801,NULL
04F989-E ,317030616,376848
04KMSK-E ,NULL,372459301
04BVXM-E ,NULL,52991025
04B8FN-E ,1.46576E+11,1.90214E+11
04B8V5-E ,71431411,321817547
04B8YF-E ,3217101404,11781347772
04B8DG-E ,2676817327,15869311159
04B8NL-E ,NULL,3394912208
04B9G4-E ,18874976377,12456162987
04BBV1-E ,150051973,645741070
04B8FJ-E ,96439087,549787183
04FGRF-E ,251931591,20056058
04CZHQ-E ,NULL,249277497
04B8KR-E ,46267741,58928930
04BDS2-E ,4668856388,8774428840
04B8VY-E ,6428440049,5133760090
04BB6S-E ,186670223,1172720043
04B8VF-E ,213335799,284951423
04BBSG-E ,56264131,268891202
04BHCT-E ,NULL,18317045887
04B8YG-E ,2567806007,5500604336
04BBT5-E ,17141386034,37766941545
04BBT3-E ,493562453,1863890947
04BBBV-E ,441190335,3443375035
04BY2C-E ,164138983,744307224
04BCZ9-E ,609918666,2905774013
04B8XY-E ,2464188836,4319795402
04B8DY-E ,2580574260,3229237340
04B8JW-E ,47507934939,41153750238
04BFZ7-E ,1058252858,3271229914
04B8V4-E ,412554118,447177759
04BBSH-E ,136626811,812836147
04F3C4-E ,11358685,526556
04BBTG-E ,421870558,3605321139
04BCR8-E ,1054672400,2717062083
04F010-E ,62815797,342117
04BYKT-E ,NULL,64914518
04HGVY-E ,4767344,17639032
04DF8Z-E ,NULL,NULL
04HJ0D-E ,19579074,14171914
04F2S8-E ,81484018,NULL
04L6J8-E ,NULL,15607814
04CG4J-E ,368447928,NULL
04J0RM-E ,NULL,251750
04F97X-E ,1461143261,616298435
04FCTM-E ,22435922,106426256
04G7N0-E ,56400147,24637196
04B9M9-E ,4266492873,14654550701
04GVTQ-E ,33227511,34552025
04DLZ7-E ,582657826,27879190
04HXN6-E ,NULL,135275972
04KBDZ-E ,107956683,133488412
04KPDS-E ,843430102,170561005
04JJDS-E ,NULL,342658286
04JJDV-E ,NULL,466569000
04JRJT-E ,1787071,658623
04J5ST-E ,NULL,224992737
04B9XH-E ,303551014,1017014206
04GTF3-E ,398424872,255603420
04HMRW-E ,NULL,189568574
04GL8S-E ,2781457412,2898842346
04GS6K-E ,119950643,220118535
04GZHB-E ,1330724050,NULL
04JQ9X-E ,NULL,117950090
04G9X1-E ,43389369,14979636
04J2GX-E ,NULL,22544086
04LBXV-E ,1938041,1938040
04KPWJ-E ,2136294,13467273
04BLMN-E ,312223803,1178603063
04CL0F-E ,3162856,5770046
04G6L2-E ,NULL,462753382
04FGRJ-E ,NULL,3320361753
04BTVX-E ,304633304,296778464
04F8HD-E ,1561539589,NULL
04C1J2-E ,4455550,5292996
04DXVV-E ,NULL,NULL
04J522-E ,942833361,1941275554
04DMFR-E ,1014481886,NULL
04DRBZ-E ,6259216,296800
04BDHJ-E ,5469156772,8849704567
04DF19-E ,NULL,NULL
