factset_entity_id,total_aum
000BDX-E,NULL
000BKZ-E,NULL
000BMG-E,NULL
000BY7-E,NULL
000BY9-E,NULL
000BYR-E,NULL
000BZV-E,NULL
000C4S-E,NULL
000C90-E,NULL
000CCW-E,NULL
000CK2-E,NULL
000CKR-E,NULL
000CKS-E,NULL
000CPH-E,NULL
000CS6-E,NULL
000CW1-E,NULL
000CX8-E,NULL
000CY5-E,NULL
000CZG-E,NULL
000DMV-E,189
000DW1-E,NULL
000DZH-E,NULL
000FBM-E,NULL
000FCS-E,NULL
006F32-E,9994
000FH6-E,NULL
000HHF-E,NULL
000HHL-E,NULL
000HJ2-E,NULL
000HJ6-E,NULL
000HK7-E,NULL
000HSW-E,NULL
000HYP-E,NULL
000J6G-E,NULL
000JCY-E,NULL
000JJ3-E,NULL
000JN7-E,NULL
000JPP-E,NULL
000JQF-E,NULL
000JQM-E,NULL
000JVD-E,14344
000JVK-E,NULL
000KHM-E,NULL
0FL8ZQ-E,NULL
000KQ7-E,NULL
000KR6-E,NULL
000KS1-E,1357
000KYJ-E,NULL
000L1V-E,NULL
000L2N-E,NULL
000L8P-E,NULL
000LGC-E,NULL
0GLX49-E,NULL
000LM8-E,NULL
000LT6-E,NULL
000C65-E,40215
000LVH-E,NULL
000LVP-E,NULL
000N3W-E,NULL
000N98-E,NULL
000NXG-E,NULL
000P1Y-E,NULL
000P2P-E,NULL
000P30-E,NULL
05SGS1-E,34071
000BL3-E,7803
000PF7-E,NULL
000PPH-E,NULL
000PPJ-E,NULL
000PPL-E,NULL
0GX4L3-E,NULL
000BKX-E,36000
00CDX2-E,NULL
05FWCZ-E,NULL
0K9VSC-E,NULL
0KGF9F-E,NULL
002SGG-E,5
05T09G-E,NULL
05T09M-E,NULL
05T0CK-E,NULL
06NRRM-E,NULL
000LLN-E,1731
06Q41M-E,NULL
000DS6-E,NULL
000BJX-E,2512
06TMNK-E,NULL
003GWP-E,107
000C8Y-E,11566
000BPX-E,565954
0030CJ-E,NULL
05T28R-E,NULL
000CXT-E,294
000D9W-E,3170
05V7ZP-E,NULL
