factset_entity_id,total_aum,equity_aum
000BDX-E,,
000BKZ-E,,
000BMG-E,,
000BY7-E,,
000BY9-E,,0
000BYR-E,,
000BZV-E,,199
000C4S-E,,
000C90-E,,
000CCW-E,,
000CK2-E,,
000CKR-E,,
000CKS-E,,
000CPH-E,,
000CS6-E,,
000CW1-E,,
000CX8-E,,
000CY5-E,,
000CZG-E,,0
000DMV-E,189,
000DW1-E,,
000DZH-E,,
000FBM-E,,
000FCS-E,,
006F32-E,9994,14
000FH6-E,,156
000HHF-E,,0
000HHL-E,,
000HJ2-E,,0
000HJ6-E,,
000HK7-E,,
000HSW-E,,6
000HYP-E,,
000J6G-E,,
000JCY-E,,
000JJ3-E,,8
000JN7-E,,
000JPP-E,,
000JQF-E,,
000JQM-E,,35
000JVD-E,14344,943
000JVK-E,,
000KHM-E,,
000KQ7-E,,
000KR6-E,,
000KS1-E,1357,232
000KYJ-E,,
000L1V-E,,
000L2N-E,,
000L8P-E,,
000LGC-E,,
000LM8-E,,
000LT6-E,,
0030CJ-E,,316
000LVH-E,,
000LVP-E,,
000N3W-E,,
000N98-E,,
000NXG-E,,
000P1Y-E,,2683
000P2P-E,,
000P30-E,,
0FL8ZQ-E,,
05FWCZ-E,,224
000PF7-E,,
000PPH-E,,
000PPJ-E,,
000PPL-E,,
00CDX2-E,,307
002SGG-E,5,0
05T09G-E,,60
05T0CK-E,,216
000LLN-E,1731,1407
000DS6-E,,0
000BJX-E,2512,
000C6K-E,,0
000C8Y-E,11566,8776
000DPG-E,2601,1880
000CGW-E,246845,4663
000CXT-E,294,0
000BL3-E,6086,5008
05T09M-E,,613
003GWP-E,107,31
000C65-E,40215,708
000D1Q-E,179440,43343
000P57-E,,13039
000D9W-E,3170,1432
000C8R-E,895,480
000BPX-E,565954,87360
000D7G-E,,88839
000FF4-E,,78984
000BKX-E,54300,3354
05V7ZP-E,,77
000PQ2-E,,
000PQ4-E,,
000PZ3-E,,
000PZ6-E,,
000Q6V-E,,
000Q9Z-E,,7925
000QVM-E,,
000R3V-E,,
000RBJ-E,,
009VC4-E,239,196
000SSQ-E,,
000SSY-E,,
000SWB-E,,
0JT9XD-E,,2028
000T57-E,,
000T90-E,,
000TBC-E,,
000LXL-E,,27723
0G64MB-E,145,13
000R9G-E,119900,39347
000TRY-E,,6486
05FWHD-E,,307
000TTB-E,,
000V4B-E,,
000V67-E,,232
000VCJ-E,,
000VKD-E,,
000VRV-E,,
000VVS-E,,
000W5D-E,,
000W78-E,,
000WHF-E,,
000WX9-E,,
000WYY-E,,24826
000X3M-E,,4824
000XRL-E,,
000XTC-E,,930
000XTG-E,,0
000XTX-E,,
000XYT-E,,
09S82D-E,,115
000YM9-E,,
000YNK-E,,
000YRF-E,,
05NR69-E,,0
000YSW-E,,
000Z08-E,,
000Z1B-E,,
000Z45-E,694,
000Z85-E,,
000Z9P-E,,
000Q6S-E,1401287,284932
000ZCB-E,,
000ZF0-E,,
000ZFK-E,,
000ZGN-E,,
001018-E,,24
000F6K-E,3300,1525
00DXTN-E,,17
0DS9XT-E,1682,189
0010BM-E,,
000PVR-E,24270,673
0010D8-E,,
0010H1-E,,
0010RQ-E,,
0DTT62-E,,
0F9QQQ-E,,1
0010TK-E,,80
0010Z7-E,,
00112V-E,,
00116S-E,,
0011BN-E,11201,
0011BY-E,,
0011D1-E,,
0011HZ-E,,
0011J1-E,,
0011JT-E,,
0011L0-E,,
0011MR-E,,
0011NS-E,,
0011QF-E,,
000Y7M-E,,
05L98Q-E,,138
0HY1P5-E,,3897
05Q6KK-E,,243
000VN1-E,157,120
05L7D5-E,,2
000RBG-E,4906,4473
05R3F3-E,,68
000FFT-E,182,68
0GCW37-E,,218
05FWB8-E,,217
0G6BF8-E,256,200
05QWDD-E,91347,164
000V62-E,,246
08BW9N-E,1561,9
000JGK-E,33643,10412
05QBT3-E,216488,189284
000P8M-E,182625,31458
0GCW71-E,315,139
0011S4-E,,
0011SJ-E,,
0011TB-E,,
0011TN-E,574,
0011TZ-E,,
0011WG-E,,
0011XG-E,,
0011XL-E,,
00121H-E,,
00121Y-E,,
00127C-E,,
0012L0-E,,
0012NF-E,,
0012RH-E,,
0012WM-E,,
0012YB-E,,
00134V-E,,
00134W-E,,
001357-E,,
0013MY-E,,
000TNX-E,940638,742200
00141F-E,,
00146Q-E,,
0014MW-E,,
0014VV-E,,
0015NZ-E,,55977
00161G-E,,48
001685-E,,
0016C1-E,,
0016HY-E,,
0016JR-E,,
0016L3-E,,
0016VC-E,,74
0016XJ-E,,
000TGV-E,65955,53795
0FQY4G-E,,12
0017G2-E,,
0017HB-E,,
0017ZB-E,,
0017ZL-E,,13
001207-E,18207,7890
001850-E,,
0018BF-E,,
0018FV-E,,10739
0018FW-E,,
0018NJ-E,,
0018PD-E,,
001980-E,,19
0019H9-E,,
0012X3-E,62000,4810
0013X9-E,25066,7603
001BK5-E,,
001BL6-E,,
001BNZ-E,,
001BP9-E,,
000WMY-E,,2222
001BR5-E,,
001BRN-E,,
001BRP-E,,
001BS2-E,,
001BXX-E,,
001C3W-E,,
001C59-E,,
001C6G-E,,
001CMV-E,,
001DN5-E,552,5
001D0F-E,,
0011V4-E,652,587
001DBD-E,,
001DCC-E,3400,
001DDN-E,,
0011Y4-E,1901,424
001DKD-E,,
000TRW-E,783,622
000VR8-E,,10
0011QK-E,108404,15539
00121D-E,40807,33503
00120M-E,2131,58
0FSC2H-E,521,412
000WPQ-E,14063,7860
0011WH-E,2095,2018
0011TW-E,,430
00120G-E,1365,506
009YNZ-E,,271
05G6QD-E,,559
0FV7HT-E,1591,1246
0FRKXL-E,,2
05H2NN-E,,5033
0011RH-E,,1068
001DPF-E,,1740
001DR8-E,,
001DTQ-E,,
001DTT-E,,
00787Y-E,586,405
001FCW-E,,120
001FCX-E,,
001FCY-E,,
001FFM-E,,
001G54-E,,
001G5D-E,,
001GJD-E,,
001GPR-E,,
001GVT-E,,
001GZ3-E,,
001H1F-E,,
001H56-E,,
