FactSetEntityId,Style,TurnoverLabel,TotalAUM
000BDX-E,,,NULL
000BJX-E,,,2512
000BJZ-E,GARP,,NULL
000BKX-E,,,36000
000BKZ-E,,,NULL
000BL3-E,Yield,Low,7803
000BMG-E,,,NULL
000BPX-E,Growth,Medium,565954
000BQ0-E,Aggressive Growth,Medium,NULL
000BY7-E,,,NULL
000BY9-E,,,NULL
000BYR-E,,,NULL
000BZV-E,,,NULL
000C4S-E,,,NULL
000C65-E,Growth,Medium,40215
000C6K-E,,,NULL
000C8R-E,Growth,High,895
000C8Y-E,Value,Very Low,11566
000C90-E,,,NULL
000CCW-E,,,NULL
000CGW-E,Growth,Medium,246845
000CK2-E,,,NULL
000CKR-E,,,NULL
000CKS-E,,,NULL
000CM9-E,Yield,Low,71938
000CN3-E,Deep Value,Low,2640
000CND-E,Value,High,30747
000CPH-E,,,NULL
000CS6-E,,,NULL
000CW1-E,,,NULL
000CX8-E,,,NULL
000CXT-E,,,294
000CY5-E,,,NULL
000CZG-E,,,NULL
000D1Q-E,Growth,Very Low,170946
000D7G-E,Growth,Very Low,NULL
000D9W-E,Value,High,3170
000DMV-E,,,189
000DPG-E,Value,Very Low,2601
000DS6-E,,,NULL
000DW1-E,,,NULL
000DZH-E,,,NULL
000F6K-E,Value,Very Low,3300
000FBM-E,,,NULL
000FCS-E,,,NULL
000FF4-E,Growth,Medium,NULL
000FFT-E,Aggressive Growth,Medium,182
000FH6-E,,,NULL
000HGT-E,Value,Very Low,158827
000HHF-E,,,NULL
000HHL-E,,,NULL
000HJ2-E,,,NULL
000HJ6-E,,,NULL
000HJ9-E,Value,Very Low,569309
000HK7-E,,,NULL
000HPH-E,Growth,Very Low,260310
000HSW-E,,,NULL
000HYP-E,,,NULL
000J08-E,Growth,Low,620
000J6G-E,,,NULL
000JCY-E,,,NULL
000JGK-E,Growth,Medium,33643
000JJ3-E,,,NULL
000JN7-E,,,NULL
000JPP-E,,,NULL
000JQF-E,,,NULL
000JQM-E,,,NULL
000JTR-E,Value,Very Low,27233
000JVD-E,,,14344
000JVK-E,,,NULL
000KHM-E,,,NULL
000KJ7-E,Growth,Very Low,96032
000KLZ-E,Growth,Low,NULL
000KN8-E,Growth,Low,NULL
000KQ7-E,,,NULL
000KR6-E,,,NULL
000KS1-E,,,1357
000KVL-E,Value,Very Low,14271
000KYJ-E,,,NULL
000L1V-E,,,NULL
000L2N-E,,,NULL
000L3V-E,Value,Medium,60516
000L8P-E,,,NULL
000LGC-E,,,NULL
000LH7-E,Value,Very Low,118112
000LH9-E,Growth,Medium,NULL
000LLN-E,Value,Low,1731
000LM8-E,,,NULL
000LT6-E,,,NULL
000LV0-E,Growth,Medium,NULL
000LVH-E,,,NULL
000LVP-E,,,NULL
000LXL-E,Yield,Low,NULL
000LXS-E,Value,Low,139
000N3W-E,,,NULL
000N8F-E,Growth,Low,168101
000N98-E,,,NULL
000NVY-E,Growth,Very Low,16259
000NWD-E,GARP,Low,463
000NWQ-E,Growth,Very Low,3637
000NXG-E,,,NULL
000P0M-E,,,31
000P1Y-E,,,NULL
000P2P-E,,,NULL
000P30-E,,,NULL
000P57-E,,,NULL
000P8J-E,Growth,Very Low,230318
000P8M-E,Growth,Medium,182625
000PC4-E,Growth,Low,NULL
000PF7-E,,,NULL
000PHW-E,GARP,Very Low,332686
000PPH-E,,,NULL
000PPJ-E,,,NULL
000PPL-E,,,NULL
000PQ2-E,,,NULL
000PQ4-E,,,NULL
000PVR-E,Growth,Medium,24270
000PZ3-E,,,NULL
000PZ6-E,,,NULL
000Q6S-E,Growth,Very Low,1401287
000Q6V-E,,,NULL
000Q9Z-E,,,NULL
000QVM-E,,,NULL
000R3V-E,,,NULL
