FactSetEntityId,EntitySubType
000C65-E,HF
000C6K-E,HF
000C8R-E,HF
000C90-E,HF
000CK2-E,HF
000CN3-E,HF
000CND-E,HF
000FFT-E,HF
000HK7-E,HF
000JCY-E,HF
000JGK-E,HF
000LVP-E,HF
000LXL-E,HF
000NXG-E,HF
000P0M-E,HF
000PF7-E,HF
000PQ2-E,HF
000VKD-E,HF
000VN1-E,HF
000VR8-E,HF
000YSW-E,HF
000Z45-E,HF
000ZFK-E,HF
0010BL-E,HF
0010FM-E,HF
0010SD-E,HF
00116S-E,HF
0011J1-E,HF
0011TN-E,HF
0011XG-E,HF
0011Y4-E,HF
0012MH-E,HF
0012ZV-E,HF
00132N-E,HF
00134N-E,HF
001358-E,HF
0013X9-E,HF
0013XN-E,HF
0013ZM-E,HF
00140T-E,HF
0014VV-E,HF
0016FP-E,HF
0016HY-E,HF
0016Z2-E,HF
00176H-E,HF
00179W-E,HF
0017GJ-E,HF
0017HB-E,HF
0017ZB-E,HF
0018BF-E,HF
0018FW-E,HF
0018XT-E,HF
001BMP-E,HF
001BQN-E,HF
001BRP-E,HF
001CMV-E,HF
001DDN-E,HF
001DGK-E,HF
001DN5-E,HF
001DTQ-E,HF
001F5Z-E,HF
001FCX-E,HF
001G5D-E,HF
001H9C-E,HF
001H9G-E,HF
001J02-E,HF
001JJT-E,HF
001KZT-E,HF
001LH5-E,HF
001LRL-E,HF
001LTJ-E,HF
001M86-E,HF
001MWW-E,HF
001P2K-E,HF
001P7Y-E,HF
001PJY-E,HF
001PKQ-E,HF
001Q0T-E,HF
001Q1T-E,HF
001Q8G-E,HF
001QW9-E,HF
001RH3-E,HF
001S4P-E,HF
001SBP-E,HF
001SHD-E,HF
001T00-E,HF
001T4W-E,HF
001T9P-E,HF
001TFZ-E,HF
001TK8-E,HF
001TLD-E,HF
001TYJ-E,HF
001V32-E,HF
001V8S-E,HF
001VR9-E,HF
001W3Q-E,HF
001W41-E,HF
001WYK-E,HF
001Y8F-E,HF
001YD6-E,HF
001YPY-E,HF
001Z1N-E,HF
001Z79-E,HF
001ZRD-E,HF
001ZVG-E,HF
001ZYX-E,HF
00200W-E,HF
002013-E,HF
002074-E,HF
00208Z-E,HF
0020Z0-E,HF
0020ZT-E,HF
0021HZ-E,HF
0021QB-E,HF
0022H4-E,HF
0022Z8-E,HF
002340-E,HF
0023D5-E,HF
0023W3-E,HF
00245B-E,HF
0024FZ-E,HF
0024G2-E,HF
0024GN-E,HF
0024Q4-E,HF
00253Y-E,HF
002544-E,HF
002656-E,HF
00266Z-E,HF
0026MR-E,HF
0027WG-E,HF
00285H-E,HF
0029TB-E,HF
0029VD-E,HF
0029W3-E,HF
002B0Y-E,HF
002B2T-E,HF
002BX9-E,HF
002C4W-E,HF
002C68-E,HF
002CS5-E,HF
002CZ9-E,HF
002DDZ-E,HF
002DFS-E,HF
002DKJ-E,HF
002DZN-E,HF
002F3R-E,HF
002F9P-E,HF
002FVQ-E,HF
002GF2-E,HF
002GFZ-E,HF
002GK8-E,HF
002GQZ-E,HF
002GTL-E,HF
002GZZ-E,HF
002H22-E,HF
002H4C-E,HF
002H97-E,HF
002HB5-E,HF
002HCW-E,HF
002HDR-E,HF
002HDY-E,HF
002HF7-E,HF
002HFC-E,HF
002HFD-E,HF
002HFS-E,HF
002HFX-E,HF
002HH9-E,HF
002HKH-E,HF
002HLM-E,HF
002HMF-E,HF
002HMH-E,HF
002HNM-E,HF
002HP1-E,HF
002HP7-E,HF
002HPR-E,HF
002HPZ-E,HF
002HQV-E,HF
002HR1-E,HF
002HR5-E,HF
002HR6-E,HF
002HRF-E,HF
002HRY-E,HF
002HSB-E,HF
002HT8-E,HF
002HVD-E,HF
002HVP-E,HF
002HW1-E,HF
002HWL-E,HF
002HWN-E,HF
002HXC-E,HF
002HXK-E,HF
002HXV-E,HF
002HZR-E,HF
002HZW-E,HF
002HZX-E,HF
002J17-E,HF
002J1R-E,HF
002J39-E,HF
002J3K-E,HF
002J3W-E,HF
002J41-E,HF
002J4S-E,HF
002J57-E,HF
002J5H-E,HF
002J5N-E,HF
002J6G-E,HF
002J7Z-E,HF
002J85-E,HF
002J87-E,HF
002JCR-E,HF
002JJY-E,HF
002JKF-E,HF
002JKP-E,HF
002JL6-E,HF
002JLJ-E,HF
002JZ5-E,HF
002K07-E,HF
002K0C-E,HF
002K35-E,HF
002K5H-E,HF
002KCX-E,HF
002KFT-E,HF
002KJS-E,HF
002L82-E,HF
002LHN-E,HF
002LRJ-E,HF
002LTL-E,HF
002LY0-E,HF
002M54-E,HF
002MW6-E,HF
002NGP-E,HF
002NS3-E,HF
002NVS-E,HF
002P3C-E,HF
002P8N-E,HF
002P9V-E,HF
002PCB-E,HF
002PDZ-E,HF
002PFM-E,HF
002PTG-E,HF
002QKC-E,HF
002RW3-E,HF
002S10-E,HF
002S5Q-E,HF
002SBB-E,HF
002SQ3-E,HF
002SQC-E,HF
002SXM-E,HF
002T0B-E,HF
002T26-E,HF
002T2S-E,HF
002T3G-E,HF
002T44-E,HF
002T49-E,HF
002T5P-E,HF
002T62-E,HF
002T68-E,HF
002T6T-E,HF
002T7Z-E,HF
002T9S-E,HF
002TCB-E,HF
002TCM-E,HF
002TH3-E,HF
002THM-E,HF
002TJ0-E,HF
002TL6-E,HF
002TNC-E,HF
002TNZ-E,HF
002TQ2-E,HF
002TRD-E,HF
002TTR-E,HF
002TWC-E,HF
002TWV-E,HF
002TX2-E,HF
002TXY-E,HF
002TYF-E,HF
002V00-E,HF
002V70-E,HF
002V8D-E,HF
002VFW-E,HF
002VM0-E,HF
002VWN-E,HF
002W0N-E,HF
002W0R-E,HF
002WC9-E,HF
002WJL-E,HF
002XFZ-E,HF
002XHS-E,HF
002Y0Z-E,HF
002Y31-E,HF
002Y6P-E,HF
