factset_entity_id,name,ManagerStyle,InstitutionFixedStyle
00D1DJ-E,Global Endowment Management LP,NULL,GARP
00D2HW-E,Bluestone Investment Partners,NULL,
00D703-E,Parallax Volatility Advisers LP,NULL,GARP
06GS93-E,"Lehman Bros. Japan, Inc.",NULL,
06GTF2-E,ABN AMRO Bank NV (Norway),NULL,
06H03M-E,Shamrock Capital Partners LLC (North Carolina),NULL,
06H10T-E,Oldfield Partners LLP,NULL,Yield
06H26C-E,Platinum Group Holdings,NULL,
06H4M0-E,BMO Capital Markets (United States),NULL,
06H4QL-E,Pomona-gruppen Aktiebolag,NULL,
06H5FK-E,AllianceDBS Research Sdn Bhd.,NULL,
06H7ZB-E,North of South Capital LLP,NULL,Deep Value
06HQ1L-E,Abrias Investment Management AG,NULL,
06HSF0-E,Northern Light Venture Capital Development Ltd.,NULL,
06HTKT-E,HSBC Securities (Egypt) SAE,NULL,
06HTKZ-E,UOB Kay Hian Investment Consulting (Shanghai) Co. Ltd.,NULL,
06HZQV-E,BCEE Advisers Ltd.,NULL,
081F3G-E,Mercurius Brokerage House Sp zoo,NULL,
0823DG-E,Cedar Capital Partners Ltd.,NULL,
08291V-E,"Moloney Securities Co., Inc. (Asset Management)",NULL,
082S3D-E,Bain Capital Asia LLC (Tokyo Branch),NULL,
09W487-E,Caymus Equity Partners LLC,NULL,
09WDW0-E,Star Ventures Capital Management Ltd.,NULL,
09WFM6-E,The Silicon Valley Angels,NULL,
0CC5KP-E,BHS Verwaltungs AG,NULL,
0CD5H5-E,Ashbury Heights Capital LLC,NULL,
0DKVFF-E,CFG Capital,NULL,
0DL6N9-E,Jabodon Pt Co.,NULL,Deep Value
0DL9C6-E,TerraCap Management LLC,NULL,
0DL9P7-E,"Tecum Capital Management, Inc.",NULL,
0DLB6C-E,Field & Main Bank (Private Banking),NULL,GARP
0DLCY7-E,Argento Capital Markets Ltd.,NULL,
0DLD8V-E,Halstatt Management Co. LLC,NULL,
0DLDB0-E,Pulteney Street Capital Management LLC,NULL,Value
0DLF2C-E,Buckland Partners Management Co.,NULL,
0DLGPJ-E,Freeport Financial Partners LLC,NULL,
0DLMR9-E,Lloyds Banking Group Plc (Private Equity),NULL,
0FLX7F-E,Im Square SAS,NULL,
0FLZNL-E,"China Minsheng Trust Co., Ltd.",NULL,
0FM375-E,BSVC Pty Ltd.,NULL,
0FM4JF-E,SQN Venture Partners LLC,NULL,
0FM7MF-E,First American Title Insurance Co. (Investment Portfolio),NULL,
0FM9XV-E,Scale.VC Investment Partners LLC,NULL,
0FMBT8-E,"Housing Authority Risk Retention Group, Inc. (Invt Port)",NULL,
