factset_entity_id,total_aum,entity_sub_type,fds_13f_flag
000BDX-E,NULL,CP,0
000BKZ-E,NULL,BR,1
000BMG-E,NULL,IA,0
000BY7-E,NULL,CP,0
000BY9-E,NULL,MF,1
000BYR-E,NULL,IN,1
000BZV-E,NULL,CP,0
000C4S-E,NULL,CP,0
000C90-E,NULL,HF,1
000CCW-E,NULL,CP,1
000CK2-E,NULL,HF,0
000CKR-E,NULL,CP,0
000CKS-E,NULL,CP,1
000CPH-E,NULL,BR,0
000CS6-E,NULL,IA,0
000CW1-E,NULL,IA,1
000CX8-E,NULL,IA,0
000CXT-E,294,IA,0
000CY5-E,NULL,IA,0
000CZG-E,NULL,IA,1
000BJX-E,2512,IA,0
000DMV-E,189,IA,0
000DS6-E,NULL,CP,0
000DW1-E,NULL,CP,1
000DZH-E,NULL,MF,1
000FBM-E,NULL,RE,0
000FCS-E,NULL,VC,0
000FH6-E,NULL,CP,1
000HHF-E,NULL,IA,1
000HHL-E,NULL,VC,0
000HJ2-E,NULL,CP,0
000HJ6-E,NULL,IA,1
000HK7-E,NULL,HF,1
000HSW-E,NULL,CP,0
000HYP-E,NULL,PF,0
000J6G-E,NULL,IA,1
000JCY-E,NULL,HF,1
000JJ3-E,NULL,CP,0
000JN7-E,NULL,IA,1
000JPP-E,NULL,CP,1
000JQF-E,NULL,MF,1
000JQM-E,NULL,CP,0
000JVD-E,14344,VC,1
000JVK-E,NULL,BR,0
000KHM-E,NULL,IA,0
000KN8-E,NULL,IA,1
000KQ7-E,NULL,IA,0
000KR6-E,NULL,IA,0
000KS1-E,1357,VC,1
000KYJ-E,NULL,MF,1
000L1V-E,NULL,IA,1
000L2N-E,NULL,VC,0
000L8P-E,NULL,IA,0
000LGC-E,NULL,VC,0
000LM8-E,NULL,FO,0
000LT6-E,NULL,FH,1
004CBT-E,NULL,IA,0
000LVH-E,NULL,CP,0
000LVP-E,NULL,HF,1
000LXS-E,139,IA,1
000N3W-E,NULL,IA,1
000N98-E,NULL,VC,0
000NWD-E,592,IA,1
000NXG-E,NULL,HF,1
000P1Y-E,NULL,VC,1
000P2P-E,NULL,BR,0
000P30-E,NULL,IA,1
000P57-E,NULL,CP,1
000PF7-E,NULL,HF,1
000PPH-E,NULL,CP,1
000PPJ-E,NULL,CP,1
000PPL-E,NULL,IA,0
000PQ2-E,NULL,HF,0
000KVL-E,14271,IA,1
000N8F-E,168101,MF,1
000CGW-E,246845,IA,1
000BL3-E,7803,IA,1
000HJ9-E,569309,IA,1
000PHW-E,332686,MF,1
000C6K-E,NULL,HF,0
000KLZ-E,NULL,IA,1
000BKX-E,36000,VC,1
000P0M-E,31,HF,0
003GWP-E,157,HF,0
000LH9-E,NULL,IA,1
000NVY-E,16259,IA,1
003KZ8-E,NULL,HF,0
000LLN-E,1731,MF,1
000CN3-E,2640,HF,1
000C65-E,40215,HF,1
000BPX-E,565954,PF,1
000BQ0-E,NULL,MF,1
000CM9-E,71938,IA,1
000D1Q-E,170946,IA,1
000FF4-E,NULL,BR,1
000C8R-E,895,HF,1
000C8Y-E,11566,MF,1
000D9W-E,3170,MF,1
000DPG-E,2601,PB,1
000F6K-E,3300,FY,1
000LXL-E,NULL,HF,1
000J08-E,620,IA,1
000PQ4-E,NULL,CP,1
000PZ3-E,NULL,CP,1
000PZ6-E,NULL,IA,1
000Q6V-E,NULL,BR,0
000Q9Z-E,NULL,MF,1
000QVM-E,NULL,IA,1
000R3V-E,NULL,CP,0
001HPP-E,NULL,VC,0
001HPT-E,NULL,CP,0
001HRL-E,NULL,VC,1
001HTC-E,NULL,VC,0
001HX6-E,NULL,IA,1
001HY2-E,NULL,FY,0
001J02-E,NULL,HF,1
001J0L-E,NULL,VC,0
001J60-E,NULL,CP,0
001J6H-E,NULL,VC,0
001J97-E,11000,VC,0
001JF0-E,NULL,VC,0
001JFJ-E,NULL,VC,0
001JJ5-E,NULL,IA,1
001JJT-E,NULL,HF,0
001JKR-E,NULL,IA,1
001JLS-E,NULL,IA,0
001JNR-E,NULL,BR,0
001JQ2-E,NULL,MF,1
001JRC-E,NULL,BR,0
001JRF-E,NULL,IA,1
001K09-E,NULL,MF,0
001K0B-E,NULL,VC,0
001K20-E,NULL,VC,0
001K3H-E,NULL,BR,0
001K6F-E,4375,PB,1
001K8W-E,NULL,VC,0
001KC7-E,NULL,IA,1
001KFN-E,NULL,VC,0
001KJ7-E,1000,VC,0
001KMN-E,NULL,VC,0
001KPM-E,12669,VC,1
001KXQ-E,NULL,IA,1
001KZT-E,NULL,HF,1
001L1R-E,NULL,VC,0
001L20-E,NULL,VC,0
001L25-E,431,IA,1
001L49-E,NULL,VC,1
001L5K-E,NULL,VC,0
001L70-E,1900,VC,0
001L7K-E,NULL,VC,0
001L8L-E,NULL,CP,0
001L9N-E,NULL,IA,1
001LFQ-E,NULL,IA,0
001LGK-E,NULL,PB,1
001LH2-E,NULL,IA,1
001LH5-E,76,HF,0
001LKQ-E,296,VC,0
001JZX-E,NULL,IA,1
001LLJ-E,5203,IA,1
001LS9-E,NULL,VC,0
001MSD-E,996,IA,1
001N0P-E,2800,PB,1
001LWQ-E,3125,IA,1
001LX3-E,NULL,BR,0
001M2C-E,NULL,CP,0
001M37-E,NULL,BR,0
001MJQ-E,NULL,IA,1
001MKF-E,NULL,IA,1
001MQV-E,NULL,IA,0
001MR3-E,NULL,FY,0
001MRZ-E,NULL,IA,1
001MV1-E,NULL,IA,1
001MVG-E,NULL,IA,1
005H80-E,NULL,HF,0
001MWW-E,NULL,HF,1
001N18-E,NULL,IA,1
001N5T-E,NULL,IA,1
001N60-E,NULL,BR,0
001J20-E,393,IA,1
001MJ6-E,NULL,PF,1
001JJ6-E,6991,IA,1
001LYX-E,2909,IA,1
000Q6S-E,1401287,MF,1
001JWR-E,79200,MF,1
001J5S-E,7800,IA,1
001L2N-E,97089,MF,1
000PVR-E,24270,IA,1
001KSQ-E,13388,IA,1
001LWP-E,7217,PB,1
000R62-E,NULL,IA,1
000R9G-E,118100,PF,1
001J5M-E,NULL,IA,1
004Z3M-E,NULL,BR,0
001JK7-E,793,IA,1
0057F6-E,NULL,HF,0
005GHR-E,175,IA,0
001MDY-E,NULL,PF,1
001N4W-E,NULL,IA,1
001M0W-E,NULL,IA,1
001M67-E,2742,IA,1
001MYF-E,291,PB,1
001LHH-E,991,PB,1
001MJX-E,25398,MF,1
001K96-E,1988,IA,1
