"factset_entity_id","equity_aum"
"001MYF-E ",143
"002ZWQ-E ",120
"05K197-E ",53
"002JPD-E ",202
"0091Z1-E ",2
"002K02-E ",2686
"0090Q3-E ",5
"002JYR-E ",5237
"002JPM-E ",1738
"002JV7-E ",1175
"002JRV-E ",20843
"002JSD-E ",38970
"002JSF-E ",555
"002JMT-E ",2821
"008B76-E ",6
"002HLW-E ",8562
"002HJZ-E ",595
"002HJR-E ",948
"002JQ0-E ",501
"002JK4-E ",0
"002G98-E ",0
"002HJJ-E ",497
"002JV9-E ",185
"002HLM-E ",319
"002FYS-E ",3110629
"002HKG-E ",1315
"002JZX-E ",122
"002HDY-E ",203
"002JJ1-E ",556
"002HKT-E ",897
"002HKW-E ",143
"002HL1-E ",240063
"002JQ6-E ",5
"002HKC-E ",532
"002HLB-E ",4255
"002HLD-E ",2054
"001N0P-E ",2577
"001M0W-E ",5561
"001MSD-E ",230
"001LWQ-E ",2741
"001N4W-E ",430
"001LWP-E ",3782
"001M67-E ",1066
"001MJ6-E ",16457
"001MDY-E ",6900
"004Z3M-E ",27
"001LLJ-E ",513
"001L70-E ",127
"001L2N-E ",86242
"000R9G-E ",39405
"001HPP-E ",0
"001L20-E ",246
"001HRL-E ",105
"001L25-E ",207
"001KSQ-E ",9225
"000J08-E ",179
"001JZX-E ",15484
"001JJ6-E ",5758
"000LXL-E ",25427
"000R62-E ",1191
"000Q6S-E ",273371
"001J20-E ",121
"002HJG-E ",0
"0057F6-E ",1
"000PVR-E ",673
"005GHR-E ",2
"001J5M-E ",1636
"001J60-E ",1519
"001JWR-E ",28389
"001J97-E ",749
"001LYX-E ",2456
"001K6F-E ",2711
"001JK7-E ",585
"001KPM-E ",866
"002YD0-E ",1514
"0030PY-E ",750
"05K17K-E ",8440
"003261-E ",517
"002Y4P-E ",679
"0032ZP-E ",862
"002ZGD-E ",330
"0031Z8-E ",171
"0032R9-E ",2733
"002HMP-E ",233
"002HMM-E ",3976
"002HM2-E ",0
"002GXQ-E ",1297
"002GL5-E ",1203
"05K2QT-E ",2622
"002GG9-E ",9293
"002GGR-E ",1439
"002GGK-E ",892
"002GJ2-E ",28547
"05JW6J-E ",1515
"002HMY-E ",966
"002GDT-E ",19330
"05K4S4-E ",88
"002GG4-E ",890
"002GL7-E ",2318
"002GQ5-E ",581
"002GTP-E ",11263
"002YBS-E ",1368
"002GSP-E ",919
"002GQX-E ",497
"002Y8N-E ",568
"002GFH-E ",1505
"002GTR-E ",638
"002GMB-E ",505
"002GVK-E ",2633
"002GKD-E ",9970
"002GWD-E ",662
"002GRW-E ",0
"002GWM-E ",1289
"002JWC-E ",18654
"05J8FZ-E ",305
"002HHQ-E ",5015
"002HDD-E ",582
"05GNV5-E ",8724
"05GVB9-E ",5721
"00D1BB-E ",1372
"05GXCY-E ",19
"0DYJ10-E ",2583
"0FH12L-E ",76
"05NDVD-E ",88
"05NFB8-E ",3351
"0737G7-E ",0
"06TH28-E ",66
"05HMT6-E ",350
"075TVP-E ",0
"0FJ0QH-E ",27
"07GQHM-E ",0
"079FR7-E ",54
"080LDM-E ",1615
"08061Z-E ",89
"0728H3-E ",10
"09M5VX-E ",152
"09M7N1-E ",12
"0C856D-E ",163
"06S2SC-E ",35
"0DPPT8-E ",54
"0C8Q2P-E ",475
"0C8MD6-E ",303
"0FQRTY-E ",0
"0CRJDP-E ",274
"0CX5LT-E ",0
"0CX7ZN-E ",0
"05GPWC-E ",6687
"05GH73-E ",3465
"00D1FG-E ",39552
"0C8D96-E ",249
"05ZT40-E ",761
"05ZSKM-E ",2419
"002JLB-E ",40529
"0B2VZK-E ",209
"06DDSX-E ",23
"06P3Z8-E ",293
"088Z2M-E ",29
"072H57-E ",3538
"0CZB6B-E ",120
"0D9273-E ",1991
"0D4ZTX-E ",6479
"08T16N-E ",1
"0DJMPK-E ",17
"0DK074-E ",825
"09YBQ8-E ",0
"0GRD0C-E ",15978
"0C2S7N-E ",151
"0C2K7K-E ",504
"0C04XZ-E ",141
"0CPHJW-E ",460
"0C8LNG-E ",248
"0C39CN-E ",141
"0C38QN-E ",256
"0DG8N0-E ",552
"0HJFY5-E ",92
"06L6V8-E ",13
"06SST8-E ",5662
"0DN00Y-E ",46
"0DMK17-E ",198
"0DYHQG-E ",139
"0DSPXP-E ",0
"0CH96M-E ",28
"07MTQG-E ",24
"0J04L5-E ",116
"0D5X2B-E ",14
"0DX3QZ-E ",40
"0DX2L7-E ",0
