factset_fund_id,fs_perm_sec_id,fsym_id,security_name,FS_Market_Value,FS_Position,Upper_Case Name,Lower_case_name,Mkt Val,Pos
04CC29-E,DF3K29-S-US,DF3K29-S,MICROSOFT CORP  COM,10220315754,73580387,TREASURY ISSUES (LONG-TERM),Treasury Issues (Long-Term),1.83031E+11,1.83031E+11
04CC29-E,R85KLC-S-US,R85KLC-S,APPLE INC  COM,9425916676,45933028,CORPORATE BOND,Corporate Bond,97661996019,97661996019
04CC29-E,RMCVZ9-S-US,RMCVZ9-S,AMAZON COM INC  COM,8510995187,4211300,CASH/SHORT-TERM INVESTMENTS,Cash/Short-Term Investments,28565274892,28565274892
04CC29-E,H7CWS6-S-CH,H7CWS6-S,NESTLE SA  ORD REG,7987426905,76801591,PRIVATE PLACEMENT SECURITIES,Private Placement Securities,28157267164,28157267164
04CC29-E,DC1QVX-S-US,DC1QVX-S,ALPHABET INC  CL C,7393246683,6427010,AGENCY BOND,Agency Bond,12199310206,12199310206
04CC29-E,WPKKGB-S-GB,WPKKGB-S,ROYAL DUTCH SHELL PLC  ORD A,6536277677,201488525,FEDERAL GRID CO OF UNIFIED EN  ORD,Federal Grid Co Of Unified En  Ord,27081355,"9,403,248,282"
04CC29-E,M50G2S-S-CH,M50G2S-S,ROCHE HOLDING AG  ORD DRC,4959236305,18481952,MUNICIPAL BONDS,Municipal Bonds,8729827826,8729827826
04CC29-E,BHM9TN-S-US,BHM9TN-S,FACEBOOK INC  CL A,4860729502,23837622,MORTGAGE-BACKED SECURITIES,Mortgage-Backed Securities,5180833252,5180833252
04CC29-E,P6G3ZG-S-CH,P6G3ZG-S,NOVARTIS AG  ORD REG,4761172755,53421479,CHINA CONSTRUCTION BANK  ORD H,China Construction Bank  Ord H,1134327412,1415926967
04CC29-E,N138TY-S-US,N138TY-S,BERKSHIRE HATHAWAY INC  CL B,4036801160,18904192,LLOYDS BANKING GROUP PLC  ORD,Lloyds Banking Group Plc  Ord,1000670065,1382370096
04CC29-E,T7HSNM-S-US,T7HSNM-S,JOHNSON & JOHNSON  COM,3518153041,26116495,CHINA TOWER CORP LTD  ORD H,China Tower Corp Ltd  Ord H,346896399,1274651476
04CC29-E,FQWDJD-S-HK,FQWDJD-S,TENCENT HOLDINGS LTD  ORD,3496516546,75847185,INDUSTRIAL&COMMERCIAL BK CHINA ORD H,Industrial&Commercial Bk China Ord H,867218571,1229591475
04CC29-E,NB64DG-S-US,NB64DG-S,LINDE PLC  COM,3393161885,16627441,ITAU CORPBANCA  ORD,Itau Corpbanca  Ord,10045523,1223571592
04CC29-E,N5N6M6-S-US,N5N6M6-S,JPMORGAN CHASE & CO  COM,3356833578,29471761,EQUITY OTHER,Equity Other,1157131166,1157131166
04CC29-E,F3JG9C-S-DE,F3JG9C-S,SAP SE  ORD,3289477053,24055873,TMB BANK PCL  ORD,Tmb Bank Pcl  Ord,59294419,958216202
04CC29-E,T52H0Y-S-GB,T52H0Y-S,HSBC HOLDINGS PLC  ORD,3162014206,378744663,BANK OF CHINA LTD  ORD H,Bank Of China Ltd  Ord H,393534218,944792015
