factset_fund_id,fs_perm_sec_id,fsym_id,current_holdings,security_name,FS_Mkt_Val,FS_Position,Upper Case Name,NAME,FS_Mkt Val,FS_Pos
04CC29-E,BRW5PN-S-DE,BRW5PN-S,1089999,1&1 DRILLISCH AG ORD,38279411,1109543,1&1 DRILLISCH AG ORD,1&1 Drillisch Ag Ord,38279411,"1,109,543"
04CC29-E,T1N9J9-S-US,T1N9J9-S,332390,1ST SOURCE CORP  COM,14359418,314073,1ST SOURCE CORP  COM,1St Source Corp  Com,14359418,"314,073"
04CC29-E,LK2SPQ-S-US,LK2SPQ-S,88342,2U INC  COM,8803095,225028,21VIANET GROUP INC  SPONSORED ADR A,21Vianet Group Inc  Sponsored Adr A,9789395,1258277
04CC29-E,M3YB0T-S-HK,M3YB0T-S,23464850,361 DEGREES INTL LTD  ORD,4468695,23465109,2U INC  COM,2U Inc  Com,"8,803,095","225,028"
04CC29-E,HQ43T9-S-US,HQ43T9-S,86352,3D SYSTEMS CORP  COM,4670249,531919,361 DEGREES INTL LTD  ORD,361 Degrees Intl Ltd  Ord,4468695,23465109
04CC29-E,R1CDW6-S-GB,R1CDW6-S,17410859,3I GROUP PLC  ORD,273877339,19312474,3D SYSTEMS CORP  COM,3D Systems Corp  Com,4670249,531919
04CC29-E,R17LLM-S-US,R17LLM-S,4672092,3M CO  COM,802657804,4630540,3I GROUP PLC  ORD,3I Group Plc  Ord,273877339,19312474
04CC29-E,MCQN55-S-KR,MCQN55-S,242995,3S KOREA CO LTD  ORD,,,3M CO  COM,3M Co  Com,802657804,"4,630,540"
04CC29-E,R09S53-S-HK,R09S53-S,17910539,3SBIO INC  ORD,23335332,13524044,3SBIO INC  ORD,3Sbio Inc  Ord,23335332,13524044
04CC29-E,X469W6-S-VN,X469W6-S,2587067,577 INVESTMENT (NBB) CORP  ORD,,,51JOB INC  ORD,51Job Inc  Ord,"21,208,190","275,610"
04CC29-E,VNQD6D-S-US,VNQD6D-S,452936,58 COM INC  SPONSORED ADR,59535733,1028251,58 COM INC  SPONSORED ADR,58 Com Inc  Sponsored Adr,59535733,1028251
04CC29-E,RF2255-S-MY,RF2255-S,0,7 ELEVEN MALAYSIA HOLDINGS BHD  ORD,,,888 HOLDINGS PLC  ORD,888 Holdings Plc  Ord,19818453,"10,043,152"
