factset_entity_id,fs_perm_sec_id,fsym_id,security_name,Mkt_Value_Factset,Position_Factset
05KFYG-E,BRW5PN-S-DE,BRW5PN-S,1&1 DRILLISCH AG  ORD,37324831,1122286
,,,,,
05KFYG-E,T1N9J9-S-US,T1N9J9-S,1ST SOURCE CORP  COM,14459921,314073
05KFYG-E,LK2SPQ-S-US,LK2SPQ-S,2U INC  COM,8771591,225028
05KFYG-E,M3YB0T-S-HK,M3YB0T-S,361 DEGREES INTL LTD  ORD,4604793,23465109
05KFYG-E,HQ43T9-S-US,HQ43T9-S,3D SYSTEMS CORP  COM,4797909,531919
05KFYG-E,R1CDW6-S-GB,R1CDW6-S,3I GROUP PLC  ORD,323700852,22241000
05KFYG-E,R17LLM-S-US,R17LLM-S,3M CO  COM,843313835,4819487
,,,,,
05KFYG-E,R09S53-S-HK,R09S53-S,3SBIO INC  ORD,24111342,13524044
05KFYG-E,MCQN55-S-KR,MCQN55-S,3S KOREA CO LTD  ORD,130690,56693
,,,,,
05KFYG-E,X469W6-S-VN,X469W6-S,577 INVESTMENT (NBB) CORP  ORD,1867144,2087080
05KFYG-E,VNQD6D-S-US,VNQD6D-S,58 COM INC  SPONSORED ADR,65622979,1028251
05KFYG-E,RF2255-S-MY,RF2255-S,7 ELEVEN MALAYSIA HOLDINGS BHD  ORD,,
05KFYG-E,DRDJFN-S-GB,DRDJFN-S,888 HOLDINGS PLC  ORD,20578619,10043152
05KFYG-E,TP4L0D-S-US,TP4L0D-S,8X8 INC  COM,19762709,802058
,,,,,
,,,,,
05KFYG-E,GKZCDL-S-NZ,GKZCDL-S,A2 MILK CO LTD  ORD,108986250,10779554
05KFYG-E,GKYFMQ-S-IT,GKYFMQ-S,A2A SPA  ORD,57869957,32517423
05KFYG-E,NQQ04G-S-AU,NQQ04G-S,A2B AUSTRALIA LTD  ORD,3144041,2477203
,,,,,
05KFYG-E,WT16SC-S-HK,WT16SC-S,AAC TECHNOLOGIES HOLDINGS INC  ORD,57853698,9627665
05KFYG-E,VNQ8GS-S-SE,VNQ8GS-S,AAK AB  ORD,101183590,5214985
05KFYG-E,QCSKBL-S-NL,QCSKBL-S,AALBERTS NV ORD,123013562,3114541
05KFYG-E,HSDCT7-S-US,HSDCT7-S,AAON INC  COM,11803811,239574
05KFYG-E,JTPZQV-S-GB,JTPZQV-S,AA PLC  ORD,2143470,3352000
05KFYG-E,WHQNFK-S-US,WHQNFK-S,AAR CORP  COM,8690271,232236
05KFYG-E,QG67SP-S-DE,QG67SP-S,AAREAL BANK AG  ORD,47998539,1828373
05KFYG-E,RK3780-S-US,RK3780-S,AARONS INC  COM,58836366,918744
05KFYG-E,TKL39Q-S-AU,TKL39Q-S,ABACUS PROPERTY GROUP  ORD,19467072,6560556
,,,,,
05KFYG-E,CRKM9K-S,CRKM9K-S,ABB INDIA LTD  ORD,4436446,190205
05KFYG-E,B00N7M-S,B00N7M-S,ABB LTD  ORD REG,716039718,35812873
05KFYG-E,Q1KJQ2-S-US,Q1KJQ2-S,ABBOTT LABORATORIES  COM,1418417467,16562558
05KFYG-E,V3049L-S-US,V3049L-S,ABBVIE INC  COM,1019759513,13604049
05KFYG-E,S5N94S-S-GB,S5N94S-S,ABCAM PLC  ORD,1714046,92000
05KFYG-E,D1R73N-S,D1R73N-S,ABC ARBITRAGE SA  ORD,2896839,398105
05KFYG-E,BGYPC5-S,BGYPC5-S,ABC MART INC  ORD,40823828,628512
,,,,,
05KFYG-E,NL5QQY-S-SA,NL5QQY-S,ABDULLAH AL OTHAIM MARKETS CO  ORD,11045677,525707
05KFYG-E,CJQ9C9-S-ES,CJQ9C9-S,ABENGOA SA  ORD,,
05KFYG-E,QF2V5D-S-US,QF2V5D-S,ABERCROMBIE & FITCH CO  CL A,20997504,1282682
05KFYG-E,G8WYPH-S-TW,G8WYPH-S,ABILITY ENTERPRISE CO LTD  ORD,1907891,4012221
05KFYG-E,DF3N8D-S-US,DF3N8D-S,ABIOMED INC  COM,127663102,488513
,,,,,
05KFYG-E,S5MJQ2-S-KR,S5MJQ2-S,ABLE C&C  ORD,3003135,303226
05KFYG-E,L7GJB9-S-US,L7GJB9-S,ABM INDUSTRIES INC  COM,16961216,421711
05KFYG-E,X8SB80-S-NL,X8SB80-S,ABN AMRO GROUP NV  GDR,,
05KFYG-E,D7PLDB-S,D7PLDB-S,ABN AMRO GROUP NV  ORD,,
05KFYG-E,RS39N3-S-US,RS39N3-S,ABN AMRO GROUP NV  UNSPONS ADR,,
05KFYG-E,C4DTT9-S-EG,C4DTT9-S,ABOU KIR FERTILIZERS  ORD,,
05KFYG-E,H43PS7-S-ZA,H43PS7-S,ABSA GROUP LTD  ORD,83543595,6894037
05KFYG-E,LHK05H-S,LHK05H-S,AB SCIENCE SA  ORD,,
05KFYG-E,BNJXRR-S-AE,BNJXRR-S,ABU DHABI COMMERCIAL BANK  ORD,12769532,5617302
05KFYG-E,BYKJ48-S-EG,BYKJ48-S,ABU DHABI ISLAMIC BANK EGYPT  ORD,3875103,5580987
