fsym-id	Security	Ticker	Position	MV	factset_entity_id	fs_perm_sec_id	fsym_id	Security Name
DF3K29-S	MICROSOFT CORP COM	MSFT-NAS	594486899	70113784868	002FYS-E	BRW5PN-S-DE	BRW5PN-S	1&1 DRILLISCH AG  ORD
R85KLC-S	APPLE INC  COM	AAPL-NAS	331842458	63033474897	002FYS-E	R3WW0B-S-US	R3WW0B-S	1347 PROPERTY INSURANCE HLDGS  COM
RMCVZ9-S	AMAZON COM INC  COM	AMZN-NAS	30331912	54013552294	002FYS-E	P8R5H4-S-US	P8R5H4-S	1 800 FLOWERS COM INC  CL A
T7HSNM-S	JOHNSON & JOHNSON  COM	JNJ-NYS	219809180	30727125272	002FYS-E	XG95FP-S-US	XG95FP-S	1ST CONSTITUTION BANCORP  COM
BHM9TN-S	FACEBOOK INC  CL A	FB-NAS	173779404	28967288853	002FYS-E	T1N9J9-S-US	T1N9J9-S	1ST SOURCE CORP  COM
N138TY-S	BERKSHIRE HATHAWAY INC  CL B	BRK.B-NYS	136401538	27401704969	002FYS-E	DD9W48-S-US	DD9W48-S	21VIANET GROUP INC  SPONSORED ADR A
HP44R7-S	EXXON MOBIL CORP  COM	XOM-NYS	338989687	27390366710	002FYS-E	JG20NG-S-US	JG20NG-S	22ND CENTURY GROUP INC  COM
N5N6M6-S	JPMORGAN CHASE & CO  COM	JPM-NYS	256616906	25977329394	002FYS-E	LK2SPQ-S-US	LK2SPQ-S	2U INC  COM
DC1QVX-S	ALPHABET INC  CL C	GOOG-NAS	22004164	25817705663	002FYS-E	FC9QFS-S-CN	FC9QFS-S	360 SECURITY TECHNOLOGY INC  ORD A
XF9TK6-S	ALPHABET INC  CL A	GOOGL-NAS	21804752	25661794581	002FYS-E	M3YB0T-S-HK	M3YB0T-S	361 DEGREES INTL LTD  ORD
JS7D8K-S	VISA INC  CL A	V-NYS	142791224	22302561277	002FYS-E	HQ43T9-S-US	HQ43T9-S	3D SYSTEMS CORP  COM
RWC9XJ-S	PROCTER & GAMBLE CO  COM	PG-NYS	211209792	21976378858	002FYS-E	R1CDW6-S-GB	R1CDW6-S	3I GROUP PLC  ORD
PJSZYL-S	INTEL CORP  COM	INTC-NAS	355191699	19073794236	002FYS-E	R17LLM-S-US	R17LLM-S	3M CO  COM
MBKTVK-S	CHEVRON CORP  COM	CVX-NYS	153390935	18894695373	002FYS-E	G5LG69-S-US	G5LG69-S	3PEA INTERNATIONAL INC  COM
JDQZCY-S	PFIZER INC  COM	PFE-NYS	442134056	18777433358	002FYS-E	R09S53-S-HK	R09S53-S	3SBIO INC  ORD
K14DFC-S	CISCO SYSTEMS INC  COM	CSCO-NAS	347714147	18773086797	002FYS-E	DHCMR2-S-GB	DHCMR2-S	4IMPRINT GROUP PLC  ORD
RGW4H5-S	VERIZON COMMUNICATIONS INC  COM	VZ-NYS	314022756	18568165562	002FYS-E	S4GYVP-S-US	S4GYVP-S	51JOB INC  SPONSORED ADR
Q3TRMZ-S	BANK OF AMERICA CORP  COM	BAC-NYS	647751341	17871459498	002FYS-E	VNQD6D-S-US	VNQD6D-S	58 COM INC  SPONSORED ADR
R4SVX3-S	UNITEDHEALTH GROUP INC  COM	UNH-NYS	71037209	17564660297	002FYS-E	DRDJFN-S-GB	DRDJFN-S	888 HOLDINGS PLC  ORD
PQJ6YX-S	AT&T INC  COM	T-NYS	546592368	17141136660	002FYS-E	TP4L0D-S-US	TP4L0D-S	8X8 INC  COM
V9FMMN-S	MERCK & CO INC  COM	MRK-NYS	204196517	16983024319	002FYS-E	SBG5M0-S-US	SBG5M0-S	A10 NETWORKS INC  COM
HLTYZF-S	MASTERCARD INC  CL A	MA-NYS	69323961	16322326617	002FYS-E	GKYFMQ-S-IT	GKYFMQ-S	A2A SPA  ORD
DY0D0T-S	HOME DEPOT INC  COM	HD-NYS	82652913	15860267476	002FYS-E	NQQ04G-S-AU	NQQ04G-S	A2B AUSTRALIA LTD  ORD
G4G3T4-S	WELLS FARGO & CO  COM	WFC-NYS	318404539	15385307324	002FYS-E	GKZCDL-S-NZ	GKZCDL-S	A2 MILK CO LTD  ORD
M647FF-S	COMCAST CORP  CL A	CMCSA-NAS	377472464	15091349111	002FYS-E	CK874P-S-US	CK874P-S	AAC HOLDINGS INC  COM
P8WJT7-S	BOEING CO  COM	BA-NYS	39202521	14952625560	002FYS-E	WT16SC-S-HK	WT16SC-S	AAC TECHNOLOGIES HOLDINGS INC  ORD
T0JCXJ-S	COCA COLA CO  COM	KO-NYS	298322802	13979406502	002FYS-E	VNQ8GS-S-SE	VNQ8GS-S	AAK AB  ORD
K8YTSW-S	WALT DISNEY CO  COM	DIS-NYS	124462646	13819087585	002FYS-E	QCSKBL-S-NL	QCSKBL-S	AALBERTS INDUSTRIES NV  ORD
DCZH6D-S	PEPSICO INC  COM	PEP-NAS	111184510	13625661701	002FYS-E	HSDCT7-S-US	HSDCT7-S	AAON INC  COM
DWPYXW-S	WALMART INC  COM	WMT-NYS	127225039	12408258054	002FYS-E	JTPZQV-S-GB	JTPZQV-S	AA PLC  ORD
F1F0GY-S	MCDONALDS CORP  COM	MCD-NYS	64973693	12338504301	002FYS-E	WHQNFK-S-US	WHQNFK-S	AAR CORP  COM
Q1KJQ2-S	ABBOTT LABORATORIES  COM	ABT-NYS	143649492	11483340390	002FYS-E	QG67SP-S-DE	QG67SP-S	AAREAL BANK AG  ORD
T6BMPP-S	CITIGROUP INC  COM	C-NYS	183549711	11420463018	002FYS-E	RK3780-S-US	RK3780-S	AARONS INC  COM
W13F06-S	AMERICAN TOWER CORP  CL A	AMT-NYS	56505879	11135048516	002FYS-E	TKL39Q-S-AU	TKL39Q-S	ABACUS PROPERTY GROUP  ORD
BT4517-S	NETFLIX INC  COM	NFLX-NAS	30950104	11035569082	002FYS-E	CRKM9K-S-IN	CRKM9K-S	ABB INDIA LTD  ORD
PRHXMV-S	PHILIP MORRIS INTERNATIONAL INC  COM	PM-NYS	122561576	10833217703	002FYS-E	B00N7M-S-CH	B00N7M-S	ABB LTD  ORD REG
HVVK2Q-S	ORACLE CORP  COM	ORCL-NYS	188908691	10146285794	002FYS-E	Q1KJQ2-S-US	Q1KJQ2-S	ABBOTT LABORATORIES  COM
R17LLM-S	3M CO  COM	MMM-NYS	48457474	10068493948	002FYS-E	V3049L-S-US	V3049L-S	ABBVIE INC  COM
TTHQS7-S	MEDTRONIC PLC  COM	MDT-NYS	109803595	10000911433	002FYS-E	S5N94S-S-GB	S5N94S-S	ABCAM PLC  ORD
MCPQD9-S	INTERNATIONAL BUSINESS MACHINES  COM	IBM-NYS	70644599	9967952919	002FYS-E	D1R73N-S-FR	D1R73N-S	ABC ARBITRAGE SA  ORD
B2DTQ7-S	UNION PACIFIC CORP  COM	UNP-NYS	58756299	9824053193	002FYS-E	BGYPC5-S-JP	BGYPC5-S	ABC MART INC  ORD
DJH8TL-S	ADOBE INC  COM	ADBE-NAS	36846012	9819093738	002FYS-E	SN5RNX-S-ES	SN5RNX-S	ABENGOA SA  WT 03/31/25
V3049L-S	ABBVIE INC  COM	ABBV-NYS	118688577	9565112420	002FYS-E	HQ8PJL-S-US	HQ8PJL-S	ABEONA THERAPEUTICS INC  COM
	DUPONT DE NEMOURS INC  COM	DD-NYS	59559266	9525322954	002FYS-E	QF2V5D-S-US	QF2V5D-S	ABERCROMBIE & FITCH CO  CL A
W24RPK-S	ACCENTURE PLC  CL A	ACN-NYS	53519950	9420581599	002FYS-E	LGFTW9-S-GB	LGFTW9-S	ABERDEEN DIVERSIFIED INC & GROWTH TR
MDX5ZL-S	BROADCOM INC COM	AVGO-NAS	30665951	9221558125	002FYS-E	W289FW-S-GB	W289FW-S	ABERDEEN STANDARD ASIA FOCUS  ORD
T8GLHL-S	AMGEN INC  COM	AMGN-NAS	48482641	9210732137	002FYS-E	X31W4T-S-GB	X31W4T-S	ABERDEEN STANDARD EQUITY INCOME  ORD
W38FV3-S	ELI LILLY & CO  COM	LLY-NYS	69309074	8993545442	002FYS-E	DGCQ4F-S-GB	DGCQ4F-S	ABERDEEN STANDARD EUROPEAN  ORD
NGRNZY-S	PAYPAL HOLDINGS INC  COM	PYPL-NAS	86171934	8948093627	002FYS-E	TZ6KY3-S-GB	TZ6KY3-S	ABERFORTH SMALLER COS TRUST  ORD
SJWX0Y-S	TEXAS INSTRUMENTS INCORPORATED  COM	TXN-NAS	84149300	8925716251	002FYS-E	G8WYPH-S-TW	G8WYPH-S	ABILITY ENTERPRISE CO LTD  ORD
DVRKW9-S	SALESFORCE COM INC  COM	CRM-NYS	56199881	8900375154	002FYS-E	DF3N8D-S-US	DF3N8D-S	ABIOMED INC  COM
X0MHD2-S	COSTCO WHOLESALE CORP  COM	COST-NAS	36193426	8763876172	002FYS-E	S5MJQ2-S-KR	S5MJQ2-S	ABLE C&C  ORD
K6TLGQ-S	UNITED TECHNOLOGIES CORP  COM	UTX-NYS	66928216	8626377760	002FYS-E	L7GJB9-S-US	L7GJB9-S	ABM INDUSTRIES INC  COM
WK0NR3-S	NIKE INC  CL B	NKE-NYS	102065139	8594905355	002FYS-E	X8SB80-S-NL	X8SB80-S	ABN AMRO GROUP NV  GDR
