
New Source Data


Data Type(s):
Institution

Filtered By:
Qtr. Date - Current - Starting with 06/30/19


"","Q2 2019"
"Institution Name","POS"
"The Vanguard Group, Inc.","331842458"
"Berkshire Hathaway, Inc. (Investment Management)","249589329"
"BlackRock Fund Advisors","196990679"
"SSgA Funds Management, Inc.","190650277"
"Fidelity Management & Research Co.","93334761"
"Geode Capital Management LLC","61063812"
"Northern Trust Investments, Inc.(Investment Management)","59278139"
"Norges Bank Investment Management","47548836"
"Invesco Capital Management LLC","40886530"
"BlackRock Investment Management (UK) Ltd.","31200309"
